country1,ccode1,year,xr_gfd,xr_gfd_trade
Ireland,205,1915,4.7539001,.2103536
Ireland,205,1916,4.7591,.21012376
Ireland,205,1917,4.7547002,.21031821
Ireland,205,1918,4.7547002,.21031821
Ireland,205,1919,4.4162002,.22643901
Ireland,205,1920,3.6463001,.2742506
Ireland,205,1921,3.8371999,.26060671
Ireland,205,1922,4.4204001,.22622387
Ireland,205,1923,4.5679002,.21891896
Ireland,205,1924,4.4103999,.22673681
Ireland,205,1925,4.8243999,.20727967
Ireland,205,1926,4.8543,.20600292
Ireland,205,1927,4.8566999,.20590113
Ireland,205,1928,4.8618002,.20568512
Ireland,205,1929,4.8518,.20610908
Ireland,205,1930,4.8592,.2057952
Ireland,205,1931,4.5225,.22111663
Ireland,205,1932,3.4988,.28581229
Ireland,205,1933,4.2020001,.2379819
Ireland,205,1934,5.0338001,.19865708
Ireland,205,1935,4.8982,.20415662
Ireland,205,1936,4.9682999,.20127609
Ireland,205,1937,4.9422002,.20233904
Ireland,205,1938,4.8850002,.20470828
Ireland,205,1939,4.4308,.22569288
Ireland,205,1940,3.8153,.26210257
Ireland,205,1941,4.0304999,.24810818
Ireland,205,1942,4.0324998,.24798514
Ireland,205,1943,4.0219998,.24863254
Ireland,205,1944,4.02,.24875621
Ireland,205,1945,4.0225,.24860162
Ireland,205,1946,4.0250001,.24844719
Ireland,205,1947,4.0283999,.24823752
Ireland,205,1948,4.0317998,.24802819
Ireland,205,1949,3.6858001,.27131152
Ireland,205,1950,2.8009,.3570281
Ireland,205,1951,2.8004,.35709184
Ireland,205,1952,2.7931001,.3580251
