country1,ccode1,year,xr_gfd,xr_gfd_trade
Italy,325,1915,6.0527,6.0527
Italy,325,1916,6.5549002,6.5549002
Italy,325,1917,7.5139999,7.5139999
Italy,325,1918,7.8646002,7.8646002
Italy,325,1919,8.6679001,8.6679001
Italy,325,1920,21.101101,21.101101
Italy,325,1921,23.568899,23.568899
Italy,325,1922,21.174,21.174
Italy,325,1923,21.784599,21.784599
Italy,325,1924,22.989799,22.989799
Italy,325,1925,25.096399,25.096399
Italy,325,1926,25.7183,25.7183
Italy,325,1927,19.7075,19.7075
Italy,325,1928,19.016001,19.016001
Italy,325,1929,19.0942,19.0942
Italy,325,1930,19.089001,19.089001
Italy,325,1931,19.166,19.166
Italy,325,1932,19.4655,19.4655
Italy,325,1933,15.7036,15.7036
Italy,325,1934,11.6877,11.6877
Italy,325,1935,12.123,12.123
Italy,325,1936,14.1736,14.1736
Italy,325,1937,19,19
Italy,325,1938,19,19
Italy,325,1939,19.2316,19.2316
Italy,325,1940,19.799999,19.799999
Italy,325,1941,19.323601,19.323601
Italy,325,1942,19.0026,19.0026
Italy,325,1943,30.266899,30.266899
Italy,325,1944,100,100
Italy,325,1945,100,100
Italy,325,1946,212.54021,212.54021
Italy,325,1947,296.98291,296.98291
Italy,325,1948,574.6731,574.6731
Italy,325,1949,588.95587,588.95587
Italy,325,1950,624.78271,624.78271
Italy,325,1951,624.87708,624.87708
Italy,325,1952,624.9079,624.9079
