country1,ccode1,year,xr_gfd,xr_gfd_trade
Jamaica,51,1915,.2103,.2103
Jamaica,51,1916,.2098,.2098
Jamaica,51,1917,.20990001,.20990001
Jamaica,51,1918,.20990001,.20990001
Jamaica,51,1919,.22679999,.22679999
Jamaica,51,1920,.27399999,.27399999
Jamaica,51,1921,.25999999,.25999999
Jamaica,51,1922,.22589999,.22589999
Jamaica,51,1923,.2186,.2186
Jamaica,51,1924,.2265,.2265
Jamaica,51,1925,.2071,.2071
Jamaica,51,1926,.2059,.2059
Jamaica,51,1927,.2057,.2057
Jamaica,51,1928,.20550001,.20550001
Jamaica,51,1929,.2059,.2059
Jamaica,51,1930,.2057,.2057
Jamaica,51,1931,.22409999,.22409999
Jamaica,51,1932,.2859,.2859
Jamaica,51,1933,.2427,.2427
Jamaica,51,1934,.19850001,.19850001
Jamaica,51,1935,.204,.204
Jamaica,51,1936,.20119999,.20119999
Jamaica,51,1937,.2023,.2023
Jamaica,51,1938,.20469999,.20469999
Jamaica,51,1939,.22679999,.22679999
Jamaica,51,1940,.26190001,.26190001
Jamaica,51,1941,.248,.248
Jamaica,51,1942,.24779999,.24779999
Jamaica,51,1943,.24779999,.24779999
Jamaica,51,1944,.24779999,.24779999
Jamaica,51,1945,.248,.248
Jamaica,51,1946,.24789999,.24789999
Jamaica,51,1947,.24789999,.24789999
Jamaica,51,1948,.24789999,.24789999
Jamaica,51,1949,.2843,.2843
Jamaica,51,1950,.35710001,.35710001
Jamaica,51,1951,.35710001,.35710001
Jamaica,51,1952,.35710001,.35710001
