country1,ccode1,year,xr_gfd,xr_gfd_trade
Japan,740,1915,2.0458,2.0458
Japan,740,1916,1.9988,1.9988
Japan,740,1917,1.9782,1.9782
Japan,740,1918,1.9476,1.9476
Japan,740,1919,1.9739,1.9739
Japan,740,1920,1.9905,1.9905
Japan,740,1921,2.0613999,2.0613999
Japan,740,1922,2.0838001,2.0838001
Japan,740,1923,2.0494001,2.0494001
Japan,740,1924,2.4057,2.4057
Japan,740,1925,2.4229,2.4229
Japan,740,1926,2.1191001,2.1191001
Japan,740,1927,2.1122,2.1122
Japan,740,1928,2.1594999,2.1594999
Japan,740,1929,2.1733999,2.1733999
Japan,740,1930,2.0244999,2.0244999
Japan,740,1931,2.0520999,2.0520999
Japan,740,1932,3.6998,3.6998
Japan,740,1933,3.9958,3.9958
Japan,740,1934,3.3676,3.3676
Japan,740,1935,3.484,3.484
Japan,740,1936,3.4466,3.4466
Japan,740,1937,3.4735999,3.4735999
Japan,740,1938,3.5176001,3.5176001
Japan,740,1939,3.8685999,3.8685999
Japan,740,1940,4.2974,4.2974
Japan,740,1941,4.3070998,4.3070998
Japan,740,1942,4.3000002,4.3000002
Japan,740,1943,4.2975001,4.2975001
Japan,740,1944,4.29,4.29
Japan,740,1945,7.1314001,7.1314001
Japan,740,1946,15,15
Japan,740,1947,23.272699,23.272699
Japan,740,1948,160,160
Japan,740,1949,358.06451,358.06451
Japan,740,1950,360,360
Japan,740,1951,360,360
Japan,740,1952,360,360
