country1,ccode1,year,xr_gfd,xr_gfd_trade
Kenya,501,1918,2.8567693,2.8567693
Kenya,501,1919,2.6155961,2.6155961
Kenya,501,1920,3.9919372,3.9919372
Kenya,501,1921,5.2204275,5.2204275
Kenya,501,1922,4.5262775,4.5262775
Kenya,501,1923,4.3808575,4.3808575
Kenya,501,1924,4.5386248,4.5386248
Kenya,501,1925,4.1457615,4.1457615
Kenya,501,1926,4.120048,4.120048
Kenya,501,1927,4.1180258,4.1180258
Kenya,501,1928,4.1136785,4.1136785
Kenya,501,1929,4.1222153,4.1222153
Kenya,501,1930,4.1158714,4.1158714
Kenya,501,1931,4.4996238,4.4996238
Kenya,501,1932,5.7271061,5.7271061
Kenya,501,1933,4.8703485,4.8703485
Kenya,501,1934,3.9738488,3.9738488
Kenya,501,1935,4.0836806,4.0836806
Kenya,501,1936,4.0259743,4.0259743
Kenya,501,1937,4.0470324,4.0470324
Kenya,501,1938,4.0966911,4.0966911
Kenya,501,1939,4.5430613,4.5430613
Kenya,501,1940,5.2705417,5.2705417
Kenya,501,1941,4.9624052,4.9624052
Kenya,501,1942,4.96,4.96
Kenya,501,1943,4.9726291,4.9726291
Kenya,501,1944,4.9749999,4.9749999
Kenya,501,1945,4.9720516,4.9720516
Kenya,501,1946,4.9689999,4.9689999
Kenya,501,1947,4.964829,4.964829
Kenya,501,1948,4.9602089,4.9602089
Kenya,501,1949,5.5875936,5.5875936
Kenya,501,1950,7.1406078,7.1406078
Kenya,501,1951,7.1419387,7.1419387
