country1,ccode1,year,xr_gfd,xr_gfd_trade
Latvia,367,1921,6.5127301,6.5127301
Latvia,367,1922,9.8146696,9.8146696
Latvia,367,1923,19.502617,19.502617
Latvia,367,1924,19.309965,19.309965
Latvia,367,1925,19.355356,19.355356
Latvia,367,1926,19.30982,19.30982
Latvia,367,1927,19.306726,19.306726
Latvia,367,1928,19.369719,19.369719
Latvia,367,1929,19.334702,19.334702
Latvia,367,1930,19.324518,19.324518
Latvia,367,1931,19.206604,19.206604
Latvia,367,1932,18.999016,18.999016
Latvia,367,1933,24.361452,24.361452
Latvia,367,1934,32.040874,32.040874
Latvia,367,1935,32.336555,32.336555
Latvia,367,1936,29.426252,29.426252
Latvia,367,1937,19.800112,19.800112
Latvia,367,1938,19.497648,19.497648
Latvia,367,1939,18.744022,18.744022
Latvia,367,1940,18.74577,18.74577
Latvia,367,1941,3.8980751,3.8980751
Latvia,367,1942,2.49265,2.49265
Latvia,367,1943,2.4911749,2.4911749
Latvia,367,1944,5.3000002,5.3000002
Latvia,367,1945,5.3000002,5.3000002
Latvia,367,1946,5.3000002,5.3000002
Latvia,367,1947,5.3000002,5.3000002
Latvia,367,1948,5.3000002,5.3000002
Latvia,367,1949,5.3000002,5.3000002
Latvia,367,1950,4.1083331,4.1083331
Latvia,367,1951,4,4
