country1,ccode1,year,xr_gfd,xr_gfd_trade
Lithuania,368,1923,9.9552002,9.9552002
Lithuania,368,1924,9.9223671,9.9223671
Lithuania,368,1925,9.877367,9.877367
Lithuania,368,1926,9.8968334,9.8968334
Lithuania,368,1927,9.9245005,9.9245005
Lithuania,368,1928,10,10
Lithuania,368,1929,10,10
Lithuania,368,1930,10,10
Lithuania,368,1931,10.008333,10.008333
Lithuania,368,1932,10.016666,10.016666
Lithuania,368,1933,12.787925,12.787925
Lithuania,368,1934,16.765041,16.765041
Lithuania,368,1935,16.839867,16.839867
Lithuania,368,1936,16.753475,16.753475
Lithuania,368,1937,16.827442,16.827442
Lithuania,368,1938,16.816126,16.816126
Lithuania,368,1939,16.683575,16.683575
Lithuania,368,1940,14.786333,14.786333
Lithuania,368,1941,3.8980751,3.8980751
Lithuania,368,1942,2.49265,2.49265
Lithuania,368,1943,2.4911749,2.4911749
Lithuania,368,1944,5.3000002,5.3000002
Lithuania,368,1945,5.3000002,5.3000002
Lithuania,368,1946,5.3000002,5.3000002
Lithuania,368,1947,5.3000002,5.3000002
Lithuania,368,1948,5.3000002,5.3000002
Lithuania,368,1949,5.3000002,5.3000002
Lithuania,368,1950,4.1083331,4.1083331
Lithuania,368,1951,4,4
