country1,ccode1,year,xr_gfd,xr_gfd_trade
Malta,338,1918,.20985833,.20985833
Malta,338,1919,.22678334,.22678334
Malta,338,1920,.27402499,.27402499
Malta,338,1921,.25996667,.25996667
Malta,338,1922,.22587501,.22587501
Malta,338,1923,.21863334,.21863334
Malta,338,1924,.22654167,.22654167
Malta,338,1925,.20710833,.20710833
Malta,338,1926,.20586666,.20586666
Malta,338,1927,.20571667,.20571667
Malta,338,1928,.20549166,.20549166
Malta,338,1929,.20587499,.20587499
Malta,338,1930,.20566666,.20566666
Malta,338,1931,.22410834,.22410834
Malta,338,1932,.28589165,.28589165
Malta,338,1933,.24266666,.24266666
Malta,338,1934,.19849166,.19849166
Malta,338,1935,.204025,.204025
Malta,338,1936,.20121667,.20121667
Malta,338,1937,.20226666,.20226666
Malta,338,1938,.20465,.20465
Malta,338,1939,.22675833,.22675833
Malta,338,1940,.26190832,.26190832
Malta,338,1941,.24803333,.24803333
Malta,338,1942,.24779999,.24779999
Malta,338,1943,.24779999,.24779999
Malta,338,1944,.24779999,.24779999
Malta,338,1945,.24796666,.24796666
Malta,338,1946,.24789999,.24789999
Malta,338,1947,.24789999,.24789999
Malta,338,1948,.24789999,.24789999
Malta,338,1949,.2843,.2843
Malta,338,1950,.35710001,.35710001
Malta,338,1951,.35710001,.35710001
