country1,ccode1,year,xr_gfd,xr_gfd_trade
Mexico,70,1915,12.8812,12.8812
Mexico,70,1916,80.631401,80.631401
Mexico,70,1917,1.91,1.91
Mexico,70,1918,1.8099999,1.8099999
Mexico,70,1919,2.0035999,2.0035999
Mexico,70,1920,2.0033,2.0033
Mexico,70,1921,2.0218999,2.0218999
Mexico,70,1922,2.0545001,2.0545001
Mexico,70,1923,2.0529001,2.0529001
Mexico,70,1924,2.0597999,2.0597999
Mexico,70,1925,2.0250001,2.0250001
Mexico,70,1926,2.0706,2.0706
Mexico,70,1927,2.1178,2.1178
Mexico,70,1928,2.0789001,2.0789001
Mexico,70,1929,2.0754001,2.0754001
Mexico,70,1930,2.1222,2.1222
Mexico,70,1931,2.4065001,2.4065001
Mexico,70,1932,3.1721001,3.1721001
Mexico,70,1933,3.5481,3.5481
Mexico,70,1934,3.6047001,3.6047001
Mexico,70,1935,3.6022,3.6022
Mexico,70,1936,3.6034,3.6034
Mexico,70,1937,3.6036,3.6036
Mexico,70,1938,3.9607999,3.9607999
Mexico,70,1939,4.7462001,4.7462001
Mexico,70,1940,5.4348001,5.4348001
Mexico,70,1941,4.8687,4.8687
Mexico,70,1942,4.8629999,4.8629999
Mexico,70,1943,4.8449998,4.8449998
Mexico,70,1944,4.8473001,4.8473001
Mexico,70,1945,4.8473001,4.8473001
Mexico,70,1946,4.8529,4.8529
Mexico,70,1947,4.8499999,4.8499999
Mexico,70,1948,5.7556,5.7556
Mexico,70,1949,7.8551002,7.8551002
Mexico,70,1950,8.6457996,8.6457996
Mexico,70,1951,8.6507998,8.6507998
Mexico,70,1952,8.6313,8.6313
