country1,ccode1,year,xr_gfd,xr_gfd_trade
Netherlands,210,1915,2.4793,2.4793
Netherlands,210,1916,2.3982999,2.3982999
Netherlands,210,1917,2.395,2.395
Netherlands,210,1918,2.1622,2.1622
Netherlands,210,1919,2.5743999,2.5743999
Netherlands,210,1920,2.9408,2.9408
Netherlands,210,1921,2.9856999,2.9856999
Netherlands,210,1922,2.5991001,2.5991001
Netherlands,210,1923,2.5590999,2.5590999
Netherlands,210,1924,2.6229,2.6229
Netherlands,210,1925,2.4916999,2.4916999
Netherlands,210,1926,2.4951,2.4951
Netherlands,210,1927,2.4949,2.4949
Netherlands,210,1928,2.4883001,2.4883001
Netherlands,210,1929,2.4923,2.4923
Netherlands,210,1930,2.4875,2.4875
Netherlands,210,1931,2.4870999,2.4870999
Netherlands,210,1932,2.4837,2.4837
Netherlands,210,1933,2.0123,2.0123
Netherlands,210,1934,1.4859,1.4859
Netherlands,210,1935,1.4778,1.4778
Netherlands,210,1936,1.5684,1.5684
Netherlands,210,1937,1.8169,1.8169
Netherlands,210,1938,1.8187,1.8187
Netherlands,210,1939,1.8756,1.8756
Netherlands,210,1940,1.8762,1.8762
Netherlands,210,1941,1.8724999,1.8724999
Netherlands,210,1942,1.87,1.87
Netherlands,210,1943,1.8687,1.8687
Netherlands,210,1944,2.099,2.099
Netherlands,210,1945,2.652,2.652
Netherlands,210,1946,2.652,2.652
Netherlands,210,1947,2.6487999,2.6487999
Netherlands,210,1948,2.6484001,2.6484001
Netherlands,210,1949,3.0294001,3.0294001
Netherlands,210,1950,3.846,3.846
Netherlands,210,1951,3.846,3.846
Netherlands,210,1952,3.8081999,3.8081999
