country1,ccode1,year,xr_gfd,xr_gfd_trade
New Zealand,920,1915,4.7539001,.2103536
New Zealand,920,1916,4.7592001,.21011934
New Zealand,920,1917,4.7547002,.21031821
New Zealand,920,1918,4.7547002,.21031821
New Zealand,920,1919,4.4162002,.22643901
New Zealand,920,1920,3.6463001,.2742506
New Zealand,920,1921,3.8371999,.26060671
New Zealand,920,1922,4.4204001,.22622387
New Zealand,920,1923,4.5679002,.21891896
New Zealand,920,1924,4.4103999,.22673681
New Zealand,920,1925,4.8243999,.20727967
New Zealand,920,1926,4.8543,.20600292
New Zealand,920,1927,4.8566999,.20590113
New Zealand,920,1928,4.862,.20567667
New Zealand,920,1929,4.8519001,.20610482
New Zealand,920,1930,4.9903002,.20038874
New Zealand,920,1931,4.8867002,.20463707
New Zealand,920,1932,3.7962999,.26341438
New Zealand,920,1933,5.2076998,.19202335
New Zealand,920,1934,6.2923002,.1589244
New Zealand,920,1935,6.1227002,.16332664
New Zealand,920,1936,6.2104001,.16102022
New Zealand,920,1937,6.1777,.16187254
New Zealand,920,1938,6.1062002,.16376796
New Zealand,920,1939,5.5384002,.18055755
New Zealand,920,1940,4.7690001,.20968756
New Zealand,920,1941,5.0380998,.19848754
New Zealand,920,1942,3.2260001,.30998141
New Zealand,920,1943,3.2176001,.31079063
New Zealand,920,1944,3.2160001,.31094527
New Zealand,920,1945,3.2179999,.31075203
New Zealand,920,1946,3.22,.310559
New Zealand,920,1947,3.2356999,.30905214
New Zealand,920,1948,3.5153999,.28446266
New Zealand,920,1949,3.6526,.27377757
New Zealand,920,1950,2.7702999,.36097175
New Zealand,920,1951,2.77,.36101082
New Zealand,920,1952,2.7646,.36171597
