country1,ccode1,year,xr_gfd,xr_gfd_trade
Nigeria,475,1918,.21031919,.21031919
Nigeria,475,1919,.22758296,.22758296
Nigeria,475,1920,.27512723,.27512723
Nigeria,475,1921,.26102123,.26102123
Nigeria,475,1922,.22631419,.22631419
Nigeria,475,1923,.21904401,.21904401
Nigeria,475,1924,.2269311,.2269311
Nigeria,475,1925,.20728935,.20728935
Nigeria,475,1926,.20600353,.20600353
Nigeria,475,1927,.20589967,.20589967
Nigeria,475,1928,.20567846,.20567846
Nigeria,475,1929,.20610772,.20610772
Nigeria,475,1930,.20579582,.20579582
Nigeria,475,1931,.22498232,.22498232
Nigeria,475,1932,.28635561,.28635561
Nigeria,475,1933,.24352098,.24352098
Nigeria,475,1934,.19869421,.19869421
Nigeria,475,1935,.20418355,.20418355
Nigeria,475,1936,.2013016,.2013016
Nigeria,475,1937,.20234726,.20234726
Nigeria,475,1938,.20483248,.20483248
Nigeria,475,1939,.2271471,.2271471
Nigeria,475,1940,.26351732,.26351732
Nigeria,475,1941,.24809673,.24809673
Nigeria,475,1942,.248,.248
Nigeria,475,1943,.24867354,.24867354
Nigeria,475,1944,.24879999,.24879999
Nigeria,475,1945,.24860451,.24860451
Nigeria,475,1946,.2484,.2484
Nigeria,475,1947,.24823999,.24823999
Nigeria,475,1948,.24801543,.24801543
Nigeria,475,1949,.27938935,.27938935
Nigeria,475,1950,.35702959,.35702959
Nigeria,475,1951,.35709453,.35709453
