country1,ccode1,year,xr_gfd,xr_gfd_trade
Norway,385,1915,3.869,3.869
Norway,385,1916,3.4991,3.4991
Norway,385,1917,3.3213999,3.3213999
Norway,385,1918,3.3041,3.3041
Norway,385,1919,4.1293998,4.1293998
Norway,385,1920,6.2202001,6.2202001
Norway,385,1921,6.8288002,6.8288002
Norway,385,1922,5.7431002,5.7431002
Norway,385,1923,6.0251999,6.0251999
Norway,385,1924,7.1638999,7.1638999
Norway,385,1925,5.6522002,5.6522002
Norway,385,1926,4.4833002,4.4833002
Norway,385,1927,3.8304999,3.8304999
Norway,385,1928,3.7416,3.7416
Norway,385,1929,3.7392001,3.7392001
Norway,385,1930,3.7320001,3.7320001
Norway,385,1931,4.0349998,4.0349998
Norway,385,1932,5.5709,5.5709
Norway,385,1933,4.7733002,4.7733002
Norway,385,1934,3.9498999,3.9498999
Norway,385,1935,4.0626001,4.0626001
Norway,385,1936,4.0159001,4.0159001
Norway,385,1937,4.0367999,4.0367999
Norway,385,1938,4.0861001,4.0861001
Norway,385,1939,4.3017998,4.3017998
Norway,385,1940,4.3789001,4.3789001
Norway,385,1941,4.3789001,4.3789001
Norway,385,1942,4.3789001,4.3789001
Norway,385,1943,4.3789001,4.3789001
Norway,385,1944,4.3789001,4.3789001
Norway,385,1945,4.7179999,4.7179999
Norway,385,1946,4.9506998,4.9506998
Norway,385,1947,4.9545002,4.9545002
Norway,385,1948,4.9545002,4.9545002
Norway,385,1949,5.6083002,5.6083002
Norway,385,1950,7.1494999,7.1494999
Norway,385,1951,7.1487002,7.1487002
Norway,385,1952,7.1406002,7.1406002
