country1,ccode1,year,xr_gfd,xr_gfd_trade
Paraguay,150,1915,34.598,34.598
Paraguay,150,1916,35.0867,35.0867
Paraguay,150,1917,36.203201,36.203201
Paraguay,150,1918,37.015499,37.015499
Paraguay,150,1919,36.108799,36.108799
Paraguay,150,1920,41.2967,41.2967
Paraguay,150,1921,49.887699,49.887699
Paraguay,150,1922,44.2798,44.2798
Paraguay,150,1923,53.0952,53.0952
Paraguay,150,1924,54.661098,54.661098
Paraguay,150,1925,46.631699,46.631699
Paraguay,150,1926,46.253601,46.253601
Paraguay,150,1927,44.301498,44.301498
Paraguay,150,1928,44.227501,44.227501
Paraguay,150,1929,44.8419,44.8419
Paraguay,150,1930,51.353199,51.353199
Paraguay,150,1931,65.159203,65.159203
Paraguay,150,1932,74.1353,74.1353
Paraguay,150,1933,60.214199,60.214199
Paraguay,150,1934,55.870399,55.870399
Paraguay,150,1935,64.527603,64.527603
Paraguay,150,1936,171.92709,171.92709
Paraguay,150,1937,186.6555,186.6555
Paraguay,150,1938,188.90469,188.90469
Paraguay,150,1939,206.0822,206.0822
Paraguay,150,1940,235.7226,235.7226
Paraguay,150,1941,296.04129,296.04129
Paraguay,150,1942,327.2475,327.2475
Paraguay,150,1943,239.65691,239.65691
Paraguay,150,1944,3.0899999,3.0899999
Paraguay,150,1945,3.0899999,3.0899999
Paraguay,150,1946,3.0899999,3.0899999
Paraguay,150,1947,3.0899999,3.0899999
Paraguay,150,1948,3.0899999,3.0899999
Paraguay,150,1949,3.3729,3.3729
Paraguay,150,1950,5.7458,5.7458
Paraguay,150,1951,8.4736004,8.4736004
Paraguay,150,1952,11.5,11.5
