country1,ccode1,year,xr_gfd,xr_gfd_trade
Peru,135,1915,2.3714001,2.3714001
Peru,135,1916,2.096,2.096
Peru,135,1917,2.0099001,2.0099001
Peru,135,1918,1.9236,1.9236
Peru,135,1919,2.0481,.20480999
Peru,135,1920,2.0790999,.20790999
Peru,135,1921,2.6724,.26723999
Peru,135,1922,2.6113999,.26113999
Peru,135,1923,2.4054,.24054
Peru,135,1924,2.4426,.24426
Peru,135,1925,2.4660001,.2466
Peru,135,1926,2.6675999,.26675999
Peru,135,1927,2.6760001,.2676
Peru,135,1928,2.5165999,.25165999
Peru,135,1929,2.5118999,.25119001
Peru,135,1930,2.7881,2.7881
Peru,135,1931,3.5771999,3.5771999
Peru,135,1932,4.5776,4.5776
Peru,135,1933,5.5282001,5.5282001
Peru,135,1934,4.3422999,4.3422999
Peru,135,1935,4.1775999,4.1775999
Peru,135,1936,4.0068998,4.0068998
Peru,135,1937,3.9298999,3.9298999
Peru,135,1938,4.4273,4.4273
Peru,135,1939,5.3385,5.3385
Peru,135,1940,6.0296001,6.0296001
Peru,135,1941,6.4407001,6.4407001
Peru,135,1942,6.5,6.5
Peru,135,1943,6.5,6.5
Peru,135,1944,6.5,6.5
Peru,135,1945,6.5,6.5
Peru,135,1946,6.5401001,6.5401001
Peru,135,1947,11.2044,11.2044
Peru,135,1948,14.3959,6.5
Peru,135,1949,17.674801,17.674801
Peru,135,1950,15.2908,15.2908
Peru,135,1951,15.1879,15.1879
Peru,135,1952,15.6014,15.6014
