country1,ccode1,year,xr_gfd,xr_gfd_trade
Philippines,840,1915,2,2
Philippines,840,1916,2,2
Philippines,840,1917,2,2
Philippines,840,1918,2,2
Philippines,840,1919,2.0071001,2.0071001
Philippines,840,1920,2.0943999,2.0943999
Philippines,840,1921,2.1204,2.1204
Philippines,840,1922,2.0285001,2.0285001
Philippines,840,1923,2.013,2.013
Philippines,840,1924,2.0055001,2.0055001
Philippines,840,1925,2.0109999,2.0109999
Philippines,840,1926,2.0156,2.0156
Philippines,840,1927,2.0137,2.0137
Philippines,840,1928,2.0257001,2.0257001
Philippines,840,1929,2.0142,2.0142
Philippines,840,1930,2.0171001,2.0171001
Philippines,840,1931,2.0167,2.0167
Philippines,840,1932,2.0160999,2.0160999
Philippines,840,1933,2.0065999,2.0065999
Philippines,840,1934,2.0009,2.0009
Philippines,840,1935,2.0028999,2.0028999
Philippines,840,1936,1.9960001,1.9960001
Philippines,840,1937,1.9918,1.9918
Philippines,840,1938,2.0072,2.0072
Philippines,840,1939,2.007,2.007
Philippines,840,1940,2.0079,2.0079
Philippines,840,1941,2.0067,2.0067
Philippines,840,1942,2,2
Philippines,840,1943,2,2
Philippines,840,1944,2,2
Philippines,840,1945,2,2
Philippines,840,1946,2.0016999,2.0016999
Philippines,840,1947,2.0111001,2.0111001
Philippines,840,1948,2.0118999,2.0118999
Philippines,840,1949,2.0071001,2.0071001
Philippines,840,1950,2.0153999,2.0153999
Philippines,840,1951,2.0150001,2.0150001
Philippines,840,1952,2.0130999,2.0130999
