country1,ccode1,year,xr_gfd,xr_gfd_trade
Poland,290,1916,5.5083,5.5083
Poland,290,1917,6.6667,6.6667
Poland,290,1918,6.0167,6.0167
Poland,290,1919,32.7175,32.7175
Poland,290,1920,249.5556,249.5556
Poland,290,1921,2045.2904,2045.2904
Poland,290,1922,7256.9677,7256.9677
Poland,290,1923,667613.2251,667613.2251
Poland,290,1924,2537904.345,2537904.345
Poland,290,1925,5.7309,5.7309
Poland,290,1926,8.917,8.917
Poland,290,1927,8.8132,8.8132
Poland,290,1928,8.926,8.926
Poland,290,1929,8.9129,8.9129
Poland,290,1930,8.9178,8.9178
Poland,290,1931,8.9328,8.9328
Poland,290,1932,8.948700000000001,8.948700000000001
Poland,290,1933,7.208,7.208
Poland,290,1934,5.3074,5.3074
Poland,290,1935,5.2965,5.2965
Poland,290,1936,5.2991,5.2991
Poland,290,1937,5.2845,5.2845
Poland,290,1938,5.3023,5.3023
Poland,290,1939,5.2225,5.2225
Poland,290,1940,4.9995,4.9995
Poland,290,1941,4.9951,4.9951
Poland,290,1942,4.985,4.985
Poland,290,1943,4.9818,4.9818
Poland,290,1944,4.9747,4.9747
Poland,290,1945,5.0833,5.0833
Poland,290,1946,77.3383,77.3383
Poland,290,1947,176.4774,176.4774
Poland,290,1948,402,402
Poland,290,1949,402,402
Poland,290,1950,333.7346,333.7346
Poland,290,1951,4,4
Poland,290,1952,4,4
