country1,ccode1,year,xr_gfd,xr_gfd_trade
Portugal,235,1915,1.4157,1.4157
Portugal,235,1916,1.4744,1.4744
Portugal,235,1917,1.6176,1.6176
Portugal,235,1918,1.6712,1.6712
Portugal,235,1919,1.904,1.904
Portugal,235,1920,5.4649,5.4649
Portugal,235,1921,10.4681,10.4681
Portugal,235,1922,15.258,15.258
Portugal,235,1923,23.2778,23.2778
Portugal,235,1924,29.922199,29.922199
Portugal,235,1925,19.5769,19.5769
Portugal,235,1926,19.354099,19.354099
Portugal,235,1927,19.827101,19.827101
Portugal,235,1928,22.3559,22.3559
Portugal,235,1929,22.265499,22.265499
Portugal,235,1930,22.2356,22.2356
Portugal,235,1931,23.998301,23.998301
Portugal,235,1932,31.3971,31.3971
Portugal,235,1933,26.388399,26.388399
Portugal,235,1934,21.7103,21.7103
Portugal,235,1935,22.438999,22.438999
Portugal,235,1936,22.1672,22.1672
Portugal,235,1937,22.321301,22.321301
Portugal,235,1938,22.6059,22.6059
Portugal,235,1939,24.8943,24.8943
Portugal,235,1940,27.057199,27.057199
Portugal,235,1941,24.6471,24.6471
Portugal,235,1942,24.054899,24.054899
Portugal,235,1943,24.184999,24.184999
Portugal,235,1944,24.6931,24.6931
Portugal,235,1945,24.5795,24.5795
Portugal,235,1946,24.6719,24.6719
Portugal,235,1947,24.835699,24.835699
Portugal,235,1948,24.860701,24.860701
Portugal,235,1949,25.8706,25.8706
Portugal,235,1950,29.394899,29.394899
Portugal,235,1951,28.7878,28.7878
Portugal,235,1952,28.722,28.722
