country1,ccode1,year,xr_gfd,xr_gfd_trade
Romania,360,1920,5.5035,5.5035
Romania,360,1921,8.896599999999999,8.896599999999999
Romania,360,1922,14.4889,14.4889
Romania,360,1923,20.2759,20.2759
Romania,360,1924,20.0509,20.0509
Romania,360,1925,20.6631,20.6631
Romania,360,1926,21.8274,21.8274
Romania,360,1927,16.5558,16.5558
Romania,360,1928,16.3307,16.3307
Romania,360,1929,152.8438,152.8438
Romania,360,1930,168.2155,168.2155
Romania,360,1931,168.1071,168.1071
Romania,360,1932,168.4845,168.4845
Romania,360,1933,133.9689,133.9689
Romania,360,1934,100.178,100.178
Romania,360,1935,109.1949,109.1949
Romania,360,1936,135.4746,135.4746
Romania,360,1937,136.8954,136.8954
Romania,360,1938,136.4637,136.4637
Romania,360,1939,140.215,140.215
Romania,360,1940,184.3555,184.3555
Romania,360,1941,189.3449,189.3449
Romania,360,1942,186.96,186.96
Romania,360,1943,186.8489,186.8489
Romania,360,1944,186.52,186.52
Romania,360,1945,530,530
Romania,360,1946,93425.3846,93425.3846
Romania,360,1947,480060,480060
Romania,360,1948,150,150
Romania,360,1949,150,150
Romania,360,1950,150,150
Romania,360,1951,150,150
Romania,360,1952,11.2,11.2
