country1,ccode1,year,xr_gfd,xr_gfd_trade
Russia,365,1915,2.6607001,2.6607001
Russia,365,1916,3.2420001,3.2420001
Russia,365,1917,4.9329,4.9329
Russia,365,1918,12.5582,12.5582
Russia,365,1919,438.69171,438.69171
Russia,365,1920,637.48328,637.48328
Russia,365,1921,638.28479,638.28479
Russia,365,1922,667.14392,667.14392
Russia,365,1923,512.01672,512.01672
Russia,365,1924,762.34192,762.34192
Russia,365,1925,5.1521001,5.1521001
Russia,365,1926,5.1500001,5.1500001
Russia,365,1927,5.1500001,5.1500001
Russia,365,1928,1.9434,1.9434
Russia,365,1929,1.9434,1.9434
Russia,365,1930,1.9434,1.9434
Russia,365,1931,1.9434,1.9434
Russia,365,1932,1.9434,1.9434
Russia,365,1933,1.9434,1.9434
Russia,365,1934,5.0766001,5.0766001
Russia,365,1935,5.0497999,5.0497999
Russia,365,1936,5.0447001,5.0447001
Russia,365,1937,5.2319002,5.2319002
Russia,365,1938,5.3000002,5.3000002
Russia,365,1939,5.3000002,5.3000002
Russia,365,1940,5.3000002,5.3000002
Russia,365,1941,5.3000002,5.3000002
Russia,365,1942,5.3000002,5.3000002
Russia,365,1943,5.3000002,5.3000002
Russia,365,1944,5.3000002,5.3000002
Russia,365,1945,5.3000002,5.3000002
Russia,365,1946,5.3000002,5.3000002
Russia,365,1947,5.3000002,5.3000002
Russia,365,1948,5.3000002,5.3000002
Russia,365,1949,5.3000002,5.3000002
Russia,365,1950,4.1083002,4.1083002
Russia,365,1951,4,4
Russia,365,1952,4,4
