country1,ccode1,year,xr_gfd,xr_gfd_trade
South Africa,560,1915,.2104,.2104
South Africa,560,1916,.2101,.2101
South Africa,560,1917,.2103,.2103
South Africa,560,1918,.2103,.2103
South Africa,560,1919,.22759999,.22759999
South Africa,560,1920,.27509999,.27509999
South Africa,560,1921,.26100001,.26100001
South Africa,560,1922,.2263,.2263
South Africa,560,1923,.219,.219
South Africa,560,1924,.2269,.2269
South Africa,560,1925,.20730001,.20730001
South Africa,560,1926,.206,.206
South Africa,560,1927,.2059,.2059
South Africa,560,1928,.2057,.2057
South Africa,560,1929,.2061,.2061
South Africa,560,1930,.2058,.2058
South Africa,560,1931,.22499999,.22499999
South Africa,560,1932,.28639999,.28639999
South Africa,560,1933,.24349999,.24349999
South Africa,560,1934,.1987,.1987
South Africa,560,1935,.2042,.2042
South Africa,560,1936,.2013,.2013
South Africa,560,1937,.2023,.2023
South Africa,560,1938,.20479999,.20479999
South Africa,560,1939,.2271,.2271
South Africa,560,1940,.26350001,.26350001
South Africa,560,1941,.2481,.2481
South Africa,560,1942,.248,.248
South Africa,560,1943,.24869999,.24869999
South Africa,560,1944,.24879999,.24879999
South Africa,560,1945,.24860001,.24860001
South Africa,560,1946,.2484,.2484
South Africa,560,1947,.2482,.2482
South Africa,560,1948,.248,.248
South Africa,560,1949,.2791,.2791
South Africa,560,1950,.35699999,.35699999
South Africa,560,1951,.3572,.3572
South Africa,560,1952,.3594,.3594
