country1,ccode1,year,xr_gfd,xr_gfd_trade
El Salvador,92,1915,1.1136,1.1136
El Salvador,92,1916,1.1770999,1.1770999
El Salvador,92,1917,1.1529,1.1529
El Salvador,92,1918,1.1228,1.1228
El Salvador,92,1919,1.5008,1.5008
El Salvador,92,1920,2,2
El Salvador,92,1921,2,2
El Salvador,92,1922,2,2
El Salvador,92,1923,2,2
El Salvador,92,1924,2,2
El Salvador,92,1925,2,2
El Salvador,92,1926,2,2
El Salvador,92,1927,2,2
El Salvador,92,1928,2,2
El Salvador,92,1929,2,2
El Salvador,92,1930,2,2
El Salvador,92,1931,2,2
El Salvador,92,1932,2,2
El Salvador,92,1933,2,2
El Salvador,92,1934,2.4781001,2.4781001
El Salvador,92,1935,2.5,2.5
El Salvador,92,1936,2.5,2.5
El Salvador,92,1937,2.5,2.5
El Salvador,92,1938,2.5,2.5
El Salvador,92,1939,2.5,2.5
El Salvador,92,1940,2.5,2.5
El Salvador,92,1941,2.5,2.5
El Salvador,92,1942,2.5,2.5
El Salvador,92,1943,2.5,2.5
El Salvador,92,1944,2.5,2.5
El Salvador,92,1945,2.5,2.5
El Salvador,92,1946,2.5,2.5
El Salvador,92,1947,2.5,2.5
El Salvador,92,1948,2.5,2.5
El Salvador,92,1949,2.5,2.5
El Salvador,92,1950,2.5,2.5
El Salvador,92,1951,2.5,2.5
El Salvador,92,1952,2.5,2.5
