country1,ccode1,year,xr_gfd,xr_gfd_trade
Sierra Leone,451,1918,.21031818,.21031818
Sierra Leone,451,1919,.22758296,.22758296
Sierra Leone,451,1920,.27512917,.27512917
Sierra Leone,451,1921,.2610209,.2610209
Sierra Leone,451,1922,.22631645,.22631645
Sierra Leone,451,1923,.21904272,.21904272
Sierra Leone,451,1924,.22692949,.22692949
Sierra Leone,451,1925,.20729356,.20729356
Sierra Leone,451,1926,.20600514,.20600514
Sierra Leone,451,1927,.20590033,.20590033
Sierra Leone,451,1928,.20567878,.20567878
Sierra Leone,451,1929,.20610997,.20610997
Sierra Leone,451,1930,.20579582,.20579582
Sierra Leone,451,1931,.22498263,.22498263
Sierra Leone,451,1932,.28635561,.28635561
Sierra Leone,451,1933,.24352098,.24352098
Sierra Leone,451,1934,.19869614,.19869614
Sierra Leone,451,1935,.20418419,.20418419
Sierra Leone,451,1936,.20130707,.20130707
Sierra Leone,451,1937,.20234984,.20234984
Sierra Leone,451,1938,.2048344,.2048344
Sierra Leone,451,1939,.22714677,.22714677
Sierra Leone,451,1940,.26351762,.26351762
Sierra Leone,451,1941,.24809673,.24809673
Sierra Leone,451,1942,.248,.248
Sierra Leone,451,1943,.24867354,.24867354
Sierra Leone,451,1944,.24879999,.24879999
Sierra Leone,451,1945,.24860451,.24860451
Sierra Leone,451,1946,.2484,.2484
Sierra Leone,451,1947,.24823999,.24823999
Sierra Leone,451,1948,.24801543,.24801543
Sierra Leone,451,1949,.27938935,.27938935
Sierra Leone,451,1950,.35702959,.35702959
Sierra Leone,451,1951,.35709453,.35709453
