country1,ccode1,year,xr_gfd,xr_gfd_trade
Spain,230,1915,5.2096,5.2096
Spain,230,1916,5.0328999,5.0328999
Spain,230,1917,4.4580002,4.4580002
Spain,230,1918,4.1441998,4.1441998
Spain,230,1919,5.0781999,5.0781999
Spain,230,1920,6.3961,6.3961
Spain,230,1921,7.4295998,7.4295998
Spain,230,1922,6.4783001,6.4783001
Spain,230,1923,6.9705,6.9705
Spain,230,1924,7.5230999,7.5230999
Spain,230,1925,6.9840002,6.9840002
Spain,230,1926,6.7379999,6.7379999
Spain,230,1927,5.8776002,5.8776002
Spain,230,1928,6.0374999,6.0374999
Spain,230,1929,6.8371,6.8371
Spain,230,1930,8.6606998,8.6606998
Spain,230,1931,10.5932,10.5932
Spain,230,1932,12.4568,12.4568
Spain,230,1933,9.6886997,9.6886997
Spain,230,1934,7.3548999,7.3548999
Spain,230,1935,7.3141999,7.3141999
Spain,230,1936,8.4097004,8.4097004
Spain,230,1937,16.698799,16.698799
Spain,230,1938,17.953199,17.953199
Spain,230,1939,11.1539,11.1539
Spain,230,1940,10.9141,10.9141
Spain,230,1941,11.085,11.085
Spain,230,1942,11.085,11.085
Spain,230,1943,11.085,11.085
Spain,230,1944,11.085,11.085
Spain,230,1945,11.085,11.085
Spain,230,1946,16.605,16.605
Spain,230,1947,16.605,16.605
Spain,230,1948,16.957701,16.957701
Spain,230,1949,25,25
Spain,230,1950,31.055901,31.055901
Spain,230,1951,39.606602,39.606602
Spain,230,1952,39.639999,39.639999
