country1,ccode1,year,xr_gfd,xr_gfd_trade
Malaysia,820,1915,1.8033,1.8033
Malaysia,820,1916,1.8011,1.8011
Malaysia,820,1917,1.8027,1.8027
Malaysia,820,1918,1.8027,1.8027
Malaysia,820,1919,1.9507,1.9507
Malaysia,820,1920,2.2925999,2.2925999
Malaysia,820,1921,2.2158999,2.2158999
Malaysia,820,1922,1.9364001,1.9364001
Malaysia,820,1923,1.8597,1.8597
Malaysia,820,1924,1.9305,1.9305
Malaysia,820,1925,1.7617,1.7617
Malaysia,820,1926,1.7688,1.7688
Malaysia,820,1927,1.7776999,1.7776999
Malaysia,820,1928,1.7668,1.7668
Malaysia,820,1929,1.7759,1.7759
Malaysia,820,1930,1.7778,1.7778
Malaysia,820,1931,1.9099,1.9099
Malaysia,820,1932,2.4782,2.4782
Malaysia,820,1933,2.0906,2.0906
Malaysia,820,1934,1.6953,1.6953
Malaysia,820,1935,1.7488,1.7488
Malaysia,820,1936,1.7168,1.7168
Malaysia,820,1937,1.7249,1.7249
Malaysia,820,1938,1.7584,1.7584
Malaysia,820,1939,1.9424,1.9424
Malaysia,820,1940,2.1287,2.1287
Malaysia,820,1941,2.1213,2.1213
Malaysia,820,1942,2.1468999,2.1468999
Malaysia,820,1943,2.1489999,2.1489999
Malaysia,820,1944,2.1489999,2.1489999
Malaysia,820,1945,2.1489999,2.1489999
Malaysia,820,1946,2.1489999,2.1489999
Malaysia,820,1947,2.105,2.105
Malaysia,820,1948,2.105,2.105
Malaysia,820,1949,2.3834,2.3834
Malaysia,820,1950,3.0497999,3.0497999
Malaysia,820,1951,3.0441,3.0441
Malaysia,820,1952,3.0681,3.0681
