country1,ccode1,year,xr_gfd,xr_gfd_trade
Suriname,115,1918,2.1406,2.1406
Suriname,115,1919,2.5560918,2.5560918
Suriname,115,1920,2.9265916,2.9265916
Suriname,115,1921,2.9749999,2.9749999
Suriname,115,1922,2.5991001,2.5991001
Suriname,115,1923,2.5622084,2.5622084
Suriname,115,1924,2.6860082,2.6860082
Suriname,115,1925,2.4585249,2.4585249
Suriname,115,1926,2.4740083,2.4740083
Suriname,115,1927,2.4908082,2.4908082
Suriname,115,1928,2.4865999,2.4865999
Suriname,115,1929,2.4964001,2.4964001
Suriname,115,1930,2.4860499,2.4860499
Suriname,115,1931,2.4860582,2.4860582
Suriname,115,1932,2.479275,2.479275
Suriname,115,1933,1.9963083,1.9963083
Suriname,115,1934,1.4792583,1.4792583
Suriname,115,1935,1.4691083,1.4691083
Suriname,115,1936,1.558025,1.558025
Suriname,115,1937,1.8101833,1.8101833
Suriname,115,1938,1.8146833,1.8146833
Suriname,115,1939,1.8649417,1.8649417
Suriname,115,1940,1.8386917,1.8386917
Suriname,115,1941,1.885,1.885
Suriname,115,1942,1.8835083,1.8835083
Suriname,115,1943,1.8835,1.8835
Suriname,115,1944,1.8835,1.8835
Suriname,115,1945,1.8846333,1.8846333
Suriname,115,1946,1.885,1.885
Suriname,115,1947,1.885,1.885
Suriname,115,1948,1.885,1.885
Suriname,115,1949,1.885,1.885
Suriname,115,1950,1.885,1.885
Suriname,115,1951,1.885,1.885
