country1,ccode1,year,xr_gfd,xr_gfd_trade
Sweden,380,1915,3.8664,3.8664
Sweden,380,1916,3.4704001,3.4704001
Sweden,380,1917,3.1155,3.1155
Sweden,380,1918,3.0908,3.0908
Sweden,380,1919,3.9716001,3.9716001
Sweden,380,1920,4.9263,4.9263
Sweden,380,1921,4.4640002,4.4640002
Sweden,380,1922,3.8283,3.8283
Sweden,380,1923,3.7663,3.7663
Sweden,380,1924,3.7672999,3.7672999
Sweden,380,1925,3.7219999,3.7219999
Sweden,380,1926,3.7319,3.7319
Sweden,380,1927,3.7249999,3.7249999
Sweden,380,1928,3.7267001,3.7267001
Sweden,380,1929,3.7260001,3.7260001
Sweden,380,1930,3.7193999,3.7193999
Sweden,380,1931,4.0002999,4.0002999
Sweden,380,1932,5.4250998,5.4250998
Sweden,380,1933,4.6441998,4.6441998
Sweden,380,1934,3.8505001,3.8505001
Sweden,380,1935,3.9584,3.9584
Sweden,380,1936,3.9130001,3.9130001
Sweden,380,1937,3.9335999,3.9335999
Sweden,380,1938,3.9805,3.9805
Sweden,380,1939,4.1732998,4.1732998
Sweden,380,1940,4.2143002,4.2143002
Sweden,380,1941,4.2143002,4.2143002
Sweden,380,1942,4.2143002,4.2143002
Sweden,380,1943,4.2143002,4.2143002
Sweden,380,1944,4.2143002,4.2143002
Sweden,380,1945,4.2117,4.2117
Sweden,380,1946,3.9249001,3.9249001
Sweden,380,1947,3.5883999,3.5883999
Sweden,380,1948,3.5883999,3.5883999
Sweden,380,1949,4.0613999,4.0613999
Sweden,380,1950,5.191,5.191
Sweden,380,1951,5.191,5.191
Sweden,380,1952,5.191,5.191
