country1,ccode1,year,xr_gfd,xr_gfd_trade
Switzerland,225,1915,.1875,5.3333335
Switzerland,225,1916,.1913,5.2273912
Switzerland,225,1917,.20990001,4.764173
Switzerland,225,1918,.22840001,4.3782835
Switzerland,225,1919,.1893,5.28262
Switzerland,225,1920,.1683,5.9417706
Switzerland,225,1921,.1733,5.7703404
Switzerland,225,1922,.19059999,5.2465901
Switzerland,225,1923,.1806,5.5370984
Switzerland,225,1924,.1821,5.4914885
Switzerland,225,1925,.19320001,5.1759834
Switzerland,225,1926,.19310001,5.1786637
Switzerland,225,1927,.1925,5.1948051
Switzerland,225,1928,.1925,5.1948051
Switzerland,225,1929,.1927,5.1894135
Switzerland,225,1930,.1937,5.1626225
Switzerland,225,1931,.1939,5.1572976
Switzerland,225,1932,.19400001,5.1546392
Switzerland,225,1933,.2463,4.0600896
Switzerland,225,1934,.32350001,3.0911901
Switzerland,225,1935,.32480001,3.0788176
Switzerland,225,1936,.30149999,3.3167496
Switzerland,225,1937,.22930001,4.3610988
Switzerland,225,1938,.2286,4.3744531
Switzerland,225,1939,.2252,4.4404974
Switzerland,225,1940,.227,4.4052863
Switzerland,225,1941,.2322,4.306632
Switzerland,225,1942,.2326,4.2992263
Switzerland,225,1943,.23270001,4.2973785
Switzerland,225,1944,.2331,4.2900043
Switzerland,225,1945,.2331,4.2900043
Switzerland,225,1946,.23360001,4.2808218
Switzerland,225,1947,.23360001,4.2808218
Switzerland,225,1948,.23360001,4.2808218
Switzerland,225,1949,.2331,4.2900043
Switzerland,225,1950,.2314,4.3215213
Switzerland,225,1951,.2307,4.3346338
Switzerland,225,1952,.2316,4.3177891
