country1,ccode1,year,xr_gfd,xr_gfd_trade
Tanzania,510,1918,2.8567693,2.8567693
Tanzania,510,1919,2.6155961,2.6155961
Tanzania,510,1920,3.9919372,3.9919372
Tanzania,510,1921,5.2204275,5.2204275
Tanzania,510,1922,4.5262775,4.5262775
Tanzania,510,1923,4.3808575,4.3808575
Tanzania,510,1924,4.5386248,4.5386248
Tanzania,510,1925,4.1457615,4.1457615
Tanzania,510,1926,4.120048,4.120048
Tanzania,510,1927,4.1180258,4.1180258
Tanzania,510,1928,4.1136785,4.1136785
Tanzania,510,1929,4.1222153,4.1222153
Tanzania,510,1930,4.1158714,4.1158714
Tanzania,510,1931,4.4996238,4.4996238
Tanzania,510,1932,5.7271061,5.7271061
Tanzania,510,1933,4.8703485,4.8703485
Tanzania,510,1934,3.9738488,3.9738488
Tanzania,510,1935,4.0836806,4.0836806
Tanzania,510,1936,4.0259743,4.0259743
Tanzania,510,1937,4.0470324,4.0470324
Tanzania,510,1938,4.0966911,4.0966911
Tanzania,510,1939,4.5430613,4.5430613
Tanzania,510,1940,5.2705417,5.2705417
Tanzania,510,1941,4.9624052,4.9624052
Tanzania,510,1942,4.96,4.96
Tanzania,510,1943,4.9726291,4.9726291
Tanzania,510,1944,4.9749999,4.9749999
Tanzania,510,1945,4.9720516,4.9720516
Tanzania,510,1946,4.9689999,4.9689999
Tanzania,510,1947,4.964829,4.964829
Tanzania,510,1948,4.9602089,4.9602089
Tanzania,510,1949,5.5875936,5.5875936
Tanzania,510,1950,7.1406078,7.1406078
Tanzania,510,1951,7.1419387,7.1419387
