country1,ccode1,year,xr_gfd,xr_gfd_trade
Thailand,800,1915,2.7349999,2.7349999
Thailand,800,1916,2.7316999,2.7316999
Thailand,800,1917,2.7342999,2.7342999
Thailand,800,1918,2.7341001,2.7341001
Thailand,800,1919,2.8783,2.8783
Thailand,800,1920,3.3015001,3.3015001
Thailand,800,1921,3.1322999,3.1322999
Thailand,800,1922,2.7158,2.7158
Thailand,800,1923,2.6285,2.6285
Thailand,800,1924,2.7232001,2.7232001
Thailand,800,1925,2.4875,2.4875
Thailand,800,1926,2.4721,2.4721
Thailand,800,1927,2.4707999,2.4707999
Thailand,800,1928,2.3218999,2.3218999
Thailand,800,1929,2.2672,2.2672
Thailand,800,1930,2.2637999,2.2637999
Thailand,800,1931,2.4748001,2.4748001
Thailand,800,1932,3.1498001,3.1498001
Thailand,800,1933,2.6787,2.6787
Thailand,800,1934,2.1856,2.1856
Thailand,800,1935,2.2460001,2.2460001
Thailand,800,1936,2.2142999,2.2142999
Thailand,800,1937,2.2258,2.2258
Thailand,800,1938,2.2530999,2.2530999
Thailand,800,1939,2.4986,2.4986
Thailand,800,1940,2.8987,2.8987
Thailand,800,1941,2.7293999,2.7293999
Thailand,800,1942,3.8232999,3.8232999
Thailand,800,1943,4.2975001,4.2975001
Thailand,800,1944,4.29,4.29
Thailand,800,1945,4.2670002,4.2670002
Thailand,800,1946,7.9969001,7.9969001
Thailand,800,1947,19.5797,19.5797
Thailand,800,1948,20.8342,20.8342
Thailand,800,1949,22.296101,22.296101
Thailand,800,1950,22.386101,22.386101
Thailand,800,1951,21.563999,21.563999
Thailand,800,1952,18.907101,18.907101
