country1,ccode1,year,xr_gfd,xr_gfd_trade
Trinidad And Tobago,52,1918,1.00735,1.00735
Trinidad And Tobago,52,1919,1.088575,1.088575
Trinidad And Tobago,52,1920,1.3153167,1.3153167
Trinidad And Tobago,52,1921,1.247875,1.247875
Trinidad And Tobago,52,1922,1.0842583,1.0842583
Trinidad And Tobago,52,1923,1.0494083,1.0494083
Trinidad And Tobago,52,1924,1.0874584,1.0874584
Trinidad And Tobago,52,1925,.99414164,.99414164
Trinidad And Tobago,52,1926,.98822498,.98822498
Trinidad And Tobago,52,1927,.98745835,.98745835
Trinidad And Tobago,52,1928,.98643333,.98643333
Trinidad And Tobago,52,1929,.98826665,.98826665
Trinidad And Tobago,52,1930,.98723334,.98723334
Trinidad And Tobago,52,1931,1.0757583,1.0757583
Trinidad And Tobago,52,1932,1.3723333,1.3723333
Trinidad And Tobago,52,1933,1.1647583,1.1647583
Trinidad And Tobago,52,1934,.95285833,.95285833
Trinidad And Tobago,52,1935,.97934169,.97934169
Trinidad And Tobago,52,1936,.96582502,.96582502
Trinidad And Tobago,52,1937,.97091669,.97091669
Trinidad And Tobago,52,1938,.98233336,.98233336
Trinidad And Tobago,52,1939,1.0885084,1.0885084
Trinidad And Tobago,52,1940,1.2572,1.2572
Trinidad And Tobago,52,1941,1.1905251,1.1905251
Trinidad And Tobago,52,1942,1.1896,1.1896
Trinidad And Tobago,52,1943,1.1896,1.1896
Trinidad And Tobago,52,1944,1.1896,1.1896
Trinidad And Tobago,52,1945,1.1903167,1.1903167
Trinidad And Tobago,52,1946,1.1911,1.1911
Trinidad And Tobago,52,1947,1.1911,1.1911
Trinidad And Tobago,52,1948,1.1911,1.1911
Trinidad And Tobago,52,1949,1.3655,1.3655
Trinidad And Tobago,52,1950,1.7143,1.7143
Trinidad And Tobago,52,1951,1.7143,1.7143
