country1,ccode1,year,xr_gfd,xr_gfd_trade
Tunisia,616,1917,5.7646666,5.7646666
Tunisia,616,1918,5.6139998,5.6139998
Tunisia,616,1919,7.2826667,7.2826667
Tunisia,616,1920,14.41925,14.41925
Tunisia,616,1921,13.474833,13.474833
Tunisia,616,1922,12.313833,12.313833
Tunisia,616,1923,16.561666,16.561666
Tunisia,616,1924,19.272667,19.272667
Tunisia,616,1925,21.23275,21.23275
Tunisia,616,1926,31.364,31.364
Tunisia,616,1927,25.483749,25.483749
Tunisia,616,1928,25.504417,25.504417
Tunisia,616,1929,25.534916,25.534916
Tunisia,616,1930,25.478834,25.478834
Tunisia,616,1931,25.509666,25.509666
Tunisia,616,1932,25.460751,25.460751
Tunisia,616,1933,20.593916,20.593916
Tunisia,616,1934,15.229834,15.229834
Tunisia,616,1935,15.1495,15.1495
Tunisia,616,1936,16.712917,16.712917
Tunisia,616,1937,25.151167,25.151167
Tunisia,616,1938,34.963249,34.963249
Tunisia,616,1939,40.057751,40.057751
Tunisia,616,1940,47.110085,47.110085
Tunisia,616,1941,47.083832,47.083832
Tunisia,616,1942,52.532749,52.532749
Tunisia,616,1943,73.870918,73.870918
Tunisia,616,1944,50.446251,50.446251
Tunisia,616,1945,51.6735,51.6735
Tunisia,616,1946,119.3,119.3
Tunisia,616,1947,119.3,119.3
Tunisia,616,1948,206.42,206.42
Tunisia,616,1949,259.39334,259.39334
Tunisia,616,1950,349.5,349.5
Tunisia,616,1951,349.5,349.5
