country1,ccode1,year,xr_gfd,xr_gfd_trade
Turkey,640,1919,.79000002,.79000002
Turkey,640,1920,1.1658,1.1658
Turkey,640,1921,1.7474,1.7474
Turkey,640,1922,1.5397,1.5397
Turkey,640,1923,1.6783,1.6783
Turkey,640,1924,1.8825001,1.8825001
Turkey,640,1925,1.8329999,1.8329999
Turkey,640,1926,1.9059,1.9059
Turkey,640,1927,1.9378999,1.9378999
Turkey,640,1928,1.9526,1.9526
Turkey,640,1929,2.0687001,2.0687001
Turkey,640,1930,2.0639,2.0639
Turkey,640,1931,2.0741,2.0741
Turkey,640,1932,2.1125,2.1125
Turkey,640,1933,1.7138,1.7138
Turkey,640,1934,1.2639,1.2639
Turkey,640,1935,1.2571,1.2571
Turkey,640,1936,1.2677,1.2677
Turkey,640,1937,1.2879,1.2879
Turkey,640,1938,1.2886,1.2886
Turkey,640,1939,1.2994,1.2994
Turkey,640,1940,1.2589999,1.2589999
Turkey,640,1941,1.2553999,1.2553999
Turkey,640,1942,1.5784,1.5784
Turkey,640,1943,1.5825,1.5825
Turkey,640,1944,1.5833,1.5833
Turkey,640,1945,1.5824,1.5824
Turkey,640,1946,1.9658,1.9658
Turkey,640,1947,2.8,2.8
Turkey,640,1948,2.8,2.8
Turkey,640,1949,2.8,2.8
Turkey,640,1950,2.8,2.8
Turkey,640,1951,2.8,2.8
Turkey,640,1952,2.8,2.8
