country1,ccode1,year,xr_gfd,xr_gfd_trade
Uganda,500,1918,2.8567693,2.8567693
Uganda,500,1919,2.6155961,2.6155961
Uganda,500,1920,3.9919372,3.9919372
Uganda,500,1921,5.2204275,5.2204275
Uganda,500,1922,4.5262775,4.5262775
Uganda,500,1923,4.3808575,4.3808575
Uganda,500,1924,4.5386248,4.5386248
Uganda,500,1925,4.1457615,4.1457615
Uganda,500,1926,4.120048,4.120048
Uganda,500,1927,4.1180258,4.1180258
Uganda,500,1928,4.1136785,4.1136785
Uganda,500,1929,4.1222153,4.1222153
Uganda,500,1930,4.1158714,4.1158714
Uganda,500,1931,4.4996238,4.4996238
Uganda,500,1932,5.7271061,5.7271061
Uganda,500,1933,4.8703485,4.8703485
Uganda,500,1934,3.9738488,3.9738488
Uganda,500,1935,4.0836806,4.0836806
Uganda,500,1936,4.0259743,4.0259743
Uganda,500,1937,4.0470324,4.0470324
Uganda,500,1938,4.0966911,4.0966911
Uganda,500,1939,4.5430613,4.5430613
Uganda,500,1940,5.2705417,5.2705417
Uganda,500,1941,4.9624052,4.9624052
Uganda,500,1942,4.96,4.96
Uganda,500,1943,4.9726291,4.9726291
Uganda,500,1944,4.9749999,4.9749999
Uganda,500,1945,4.9720516,4.9720516
Uganda,500,1946,4.9689999,4.9689999
Uganda,500,1947,4.964829,4.964829
Uganda,500,1948,4.9602089,4.9602089
Uganda,500,1949,5.5875936,5.5875936
Uganda,500,1950,7.1406078,7.1406078
Uganda,500,1951,7.1419387,7.1419387
