country1,ccode1,year,xr_gfd,xr_gfd_trade
United Kingdom,200,1915,4.7539001,.2103536
United Kingdom,200,1916,4.7591,.21012376
United Kingdom,200,1917,4.7547002,.21031821
United Kingdom,200,1918,4.7547002,.21031821
United Kingdom,200,1919,4.4162002,.22643901
United Kingdom,200,1920,3.6463001,.2742506
United Kingdom,200,1921,3.8371999,.26060671
United Kingdom,200,1922,4.4204001,.22622387
United Kingdom,200,1923,4.5679002,.21891896
United Kingdom,200,1924,4.4103999,.22673681
United Kingdom,200,1925,4.8243999,.20727967
United Kingdom,200,1926,4.8543,.20600292
United Kingdom,200,1927,4.8566999,.20590113
United Kingdom,200,1928,4.8618002,.20568512
United Kingdom,200,1929,4.8518,.20610908
United Kingdom,200,1930,4.8592,.2057952
United Kingdom,200,1931,4.5225,.22111663
United Kingdom,200,1932,3.4988,.28581229
United Kingdom,200,1933,4.2020001,.2379819
United Kingdom,200,1934,5.0338001,.19865708
United Kingdom,200,1935,4.8982,.20415662
United Kingdom,200,1936,4.9682999,.20127609
United Kingdom,200,1937,4.9422002,.20233904
United Kingdom,200,1938,4.8850002,.20470828
United Kingdom,200,1939,4.4308,.22569288
United Kingdom,200,1940,3.8153,.26210257
United Kingdom,200,1941,4.0304999,.24810818
United Kingdom,200,1942,4.0324998,.24798514
United Kingdom,200,1943,4.0219998,.24863254
United Kingdom,200,1944,4.02,.24875621
United Kingdom,200,1945,4.0225,.24860162
United Kingdom,200,1946,4.0250001,.24844719
United Kingdom,200,1947,4.0283999,.24823752
United Kingdom,200,1948,4.0317998,.24802819
United Kingdom,200,1949,3.6773,.27193865
United Kingdom,200,1950,2.8009,.3570281
United Kingdom,200,1951,2.8004,.35709184
United Kingdom,200,1952,2.7931001,.3580251
