country1,ccode1,year,xr_gfd,xr_gfd_trade
Venezuela,101,1921,6.0264001,6.0264001
Venezuela,101,1922,5.4345002,5.4345002
Venezuela,101,1923,5.2090001,5.2090001
Venezuela,101,1924,5.1975999,5.1975999
Venezuela,101,1925,5.1933999,5.1933999
Venezuela,101,1926,5.1919999,5.1919999
Venezuela,101,1927,5.2684999,5.2684999
Venezuela,101,1928,5.2157001,5.2157001
Venezuela,101,1929,5.1957998,5.1957998
Venezuela,101,1930,5.3429999,5.3429999
Venezuela,101,1931,5.9699001,5.9699001
Venezuela,101,1932,6.6574001,6.6574001
Venezuela,101,1933,5.4984999,5.4984999
Venezuela,101,1934,3.4981,3.4981
Venezuela,101,1935,3.8390999,3.8390999
Venezuela,101,1936,3.891,3.891
Venezuela,101,1937,3.3678999,3.3678999
Venezuela,101,1938,3.1937001,3.1937001
Venezuela,101,1939,3.1791,3.1791
Venezuela,101,1940,3.5650001,3.5650001
Venezuela,101,1941,3.8164999,3.8164999
Venezuela,101,1942,3.4182999,3.4182999
Venezuela,101,1943,3.3187001,3.3187001
Venezuela,101,1944,3.3280001,3.3280001
Venezuela,101,1945,3.3280001,3.3280001
Venezuela,101,1946,3.3280001,3.3280001
Venezuela,101,1947,3.3440001,3.3440001
Venezuela,101,1948,3.3499999,3.3499999
Venezuela,101,1949,3.3499999,3.3499999
Venezuela,101,1950,3.3499999,3.3499999
Venezuela,101,1951,3.3499999,3.3499999
Venezuela,101,1952,3.3499999,3.3499999
