country1,ccode1,year,xr_gfd,xr_gfd_trade
Yugoslavia,345,1915,5.6149998,5.6149998
Yugoslavia,345,1916,5.8888001,5.8888001
Yugoslavia,345,1917,5.7743001,5.7743001
Yugoslavia,345,1918,5.6115999,5.6115999
Yugoslavia,345,1919,9.7301998,9.7301998
Yugoslavia,345,1920,32.889801,32.889801
Yugoslavia,345,1921,45.9025,45.9025
Yugoslavia,345,1922,74.629204,74.629204
Yugoslavia,345,1923,93.757202,93.757202
Yugoslavia,345,1924,78.207397,78.207397
Yugoslavia,345,1925,58.6493,58.6493
Yugoslavia,345,1926,56.589001,56.589001
Yugoslavia,345,1927,56.802898,56.802898
Yugoslavia,345,1928,56.798302,56.798302
Yugoslavia,345,1929,56.8181,56.8181
Yugoslavia,345,1930,56.519501,56.519501
Yugoslavia,345,1931,56.547298,56.547298
Yugoslavia,345,1932,61.765202,61.765202
Yugoslavia,345,1933,59.4258,59.4258
Yugoslavia,345,1934,44.047401,44.047401
Yugoslavia,345,1935,43.777,43.777
Yugoslavia,345,1936,43.529499,43.529499
Yugoslavia,345,1937,43.3512,43.3512
Yugoslavia,345,1938,43.264999,43.264999
Yugoslavia,345,1939,43.937901,43.937901
Yugoslavia,345,1940,44.509602,44.509602
Yugoslavia,345,1941,48.535,48.535
Yugoslavia,345,1942,49.849899,49.849899
Yugoslavia,345,1943,49.8181,49.8181
Yugoslavia,345,1944,49.746601,49.746601
Yugoslavia,345,1945,50,50
Yugoslavia,345,1946,50,50
Yugoslavia,345,1947,50,50
Yugoslavia,345,1948,50,50
Yugoslavia,345,1949,50,50
Yugoslavia,345,1950,50,50
Yugoslavia,345,1951,50,50
Yugoslavia,345,1952,300,300
