ccode1,ccode2,year,imp,places,currency,country1,country2
339,2,1921,0,1,Fr. Ar,Albania,United States
339,2,1922,192924,1,Fr. Ar,Albania,United States
339,2,1923,63370,1,Fr. Ar,Albania,United States
339,2,1924,136338,1,Fr. Ar,Albania,United States
339,2,1925,83437,1,Fr. Ar,Albania,United States
339,2,1926,563855,1,Fr. Ar,Albania,United States
339,2,1927,1004596,1,Fr. Ar,Albania,United States
339,2,1928,2651053,1,Frs. Or,Albania,United States
339,2,1929,3919500,1,Frs. Or,Albania,United States
339,2,1930,2416500,1,Frs. Or,Albania,United States
339,2,1931,2803600,1,Frs. Or,Albania,United States
339,2,1932,2215700,1,Frs. Or,Albania,United States
339,2,1933,1012842,1,Frs. Or,Albania,United States
339,2,1934,705281,1,Frs. Or,Albania,United States
339,2,1935,550346,1,Frs. Or,Albania,United States
339,2,1936,804680,1,Frs. Or,Albania,United States
339,20,1921,0,1,Fr. Ar,Albania,Canada
339,20,1922,0,1,Fr. Ar,Albania,Canada
339,20,1923,0,1,Fr. Ar,Albania,Canada
339,20,1924,0,1,Fr. Ar,Albania,Canada
339,20,1925,0,1,Fr. Ar,Albania,Canada
339,20,1926,0,1,Fr. Ar,Albania,Canada
339,20,1927,1500,1,Fr. Ar,Albania,Canada
339,20,1928,0,1,Frs. Or,Albania,Canada
339,20,1929,0,1,Frs. Or,Albania,Canada
339,20,1930,0,1,Frs. Or,Albania,Canada
339,20,1931,0,1,Frs. Or,Albania,Canada
339,20,1932,0,1,Frs. Or,Albania,Canada
339,20,1933,0,1,Frs. Or,Albania,Canada
339,20,1934,0,1,Frs. Or,Albania,Canada
339,20,1935,1222,1,Frs. Or,Albania,Canada
339,20,1936,312,1,Frs. Or,Albania,Canada
339,40,1921,0,1,Fr. Ar,Albania,Cuba
339,40,1922,0,1,Fr. Ar,Albania,Cuba
339,40,1923,0,1,Fr. Ar,Albania,Cuba
339,40,1924,0,1,Fr. Ar,Albania,Cuba
339,40,1925,0,1,Fr. Ar,Albania,Cuba
339,40,1926,0,1,Fr. Ar,Albania,Cuba
339,40,1927,25,1,Fr. Ar,Albania,Cuba
339,40,1928,0,1,Frs. Or,Albania,Cuba
339,40,1929,0,1,Frs. Or,Albania,Cuba
339,40,1930,0,1,Frs. Or,Albania,Cuba
339,40,1931,0,1,Frs. Or,Albania,Cuba
339,40,1932,0,1,Frs. Or,Albania,Cuba
339,40,1933,0,1,Frs. Or,Albania,Cuba
339,40,1934,0,1,Frs. Or,Albania,Cuba
339,40,1935,0,1,Frs. Or,Albania,Cuba
339,40,1936,0,1,Frs. Or,Albania,Cuba
339,140,1921,0,1,Fr. Ar,Albania,Brazil
339,140,1922,0,1,Fr. Ar,Albania,Brazil
339,140,1923,0,1,Fr. Ar,Albania,Brazil
339,140,1924,0,1,Fr. Ar,Albania,Brazil
339,140,1925,0,1,Fr. Ar,Albania,Brazil
339,140,1926,0,1,Fr. Ar,Albania,Brazil
339,140,1927,2430,1,Fr. Ar,Albania,Brazil
339,140,1928,56935,1,Frs. Or,Albania,Brazil
339,140,1929,0,1,Frs. Or,Albania,Brazil
339,140,1930,0,1,Frs. Or,Albania,Brazil
339,140,1931,0,1,Frs. Or,Albania,Brazil
339,140,1932,0,1,Frs. Or,Albania,Brazil
339,140,1933,0,1,Frs. Or,Albania,Brazil
339,140,1934,0,1,Frs. Or,Albania,Brazil
339,140,1935,317187,1,Frs. Or,Albania,Brazil
339,140,1936,312877,1,Frs. Or,Albania,Brazil
339,160,1921,0,1,Fr. Ar,Albania,Argentina
339,160,1922,0,1,Fr. Ar,Albania,Argentina
339,160,1923,0,1,Fr. Ar,Albania,Argentina
339,160,1924,0,1,Fr. Ar,Albania,Argentina
339,160,1925,0,1,Fr. Ar,Albania,Argentina
339,160,1926,0,1,Fr. Ar,Albania,Argentina
339,160,1927,0,1,Fr. Ar,Albania,Argentina
339,160,1928,77666,1,Frs. Or,Albania,Argentina
339,160,1929,0,1,Frs. Or,Albania,Argentina
339,160,1930,0,1,Frs. Or,Albania,Argentina
339,160,1931,0,1,Frs. Or,Albania,Argentina
339,160,1932,0,1,Frs. Or,Albania,Argentina
339,160,1933,0,1,Frs. Or,Albania,Argentina
339,160,1934,0,1,Frs. Or,Albania,Argentina
339,160,1935,0,1,Frs. Or,Albania,Argentina
339,160,1936,76727,1,Frs. Or,Albania,Argentina
339,200,1921,1135344,1,Fr. Ar,Albania,United Kingdom
339,200,1922,426298,1,Fr. Ar,Albania,United Kingdom
339,200,1923,58441,1,Fr. Ar,Albania,United Kingdom
339,200,1924,20592,1,Fr. Ar,Albania,United Kingdom
339,200,1925,135,1,Fr. Ar,Albania,United Kingdom
339,200,1926,1233768,1,Fr. Ar,Albania,United Kingdom
339,200,1927,1769921,1,Fr. Ar,Albania,United Kingdom
339,200,1928,2062426,1,Frs. Or,Albania,United Kingdom
339,200,1929,2694200,1,Frs. Or,Albania,United Kingdom
339,200,1930,2464600,1,Frs. Or,Albania,United Kingdom
339,200,1931,1770900,1,Frs. Or,Albania,United Kingdom
339,200,1932,1586200,1,Frs. Or,Albania,United Kingdom
339,200,1933,1438222,1,Frs. Or,Albania,United Kingdom
339,200,1934,1134154,1,Frs. Or,Albania,United Kingdom
339,200,1935,1344524,1,Frs. Or,Albania,United Kingdom
339,200,1936,1407614,1,Frs. Or,Albania,United Kingdom
339,210,1921,0,1,Fr. Ar,Albania,Netherlands
339,210,1922,0,1,Fr. Ar,Albania,Netherlands
339,210,1923,0,1,Fr. Ar,Albania,Netherlands
339,210,1924,0,1,Fr. Ar,Albania,Netherlands
339,210,1925,0,1,Fr. Ar,Albania,Netherlands
339,210,1926,106633,1,Fr. Ar,Albania,Netherlands
339,210,1927,22711,1,Fr. Ar,Albania,Netherlands
339,210,1928,42872,1,Frs. Or,Albania,Netherlands
339,210,1929,31460,1,Frs. Or,Albania,Netherlands
339,210,1930,63000,1,Frs. Or,Albania,Netherlands
339,210,1931,40500,1,Frs. Or,Albania,Netherlands
339,210,1932,48100,1,Frs. Or,Albania,Netherlands
339,210,1933,67775,1,Frs. Or,Albania,Netherlands
339,210,1934,61184,1,Frs. Or,Albania,Netherlands
339,210,1935,71415,1,Frs. Or,Albania,Netherlands
339,210,1936,96404,1,Frs. Or,Albania,Netherlands
339,211,1921,0,1,Fr. Ar,Albania,Belgium
339,211,1922,0,1,Fr. Ar,Albania,Belgium
339,211,1923,0,1,Fr. Ar,Albania,Belgium
339,211,1924,0,1,Fr. Ar,Albania,Belgium
339,211,1925,316,1,Fr. Ar,Albania,Belgium
339,211,1926,113679,1,Fr. Ar,Albania,Belgium
339,211,1927,318747,1,Fr. Ar,Albania,Belgium
339,211,1928,422221,1,Frs. Or,Albania,Belgium
339,211,1929,796600,1,Frs. Or,Albania,Belgium
339,211,1930,695800,1,Frs. Or,Albania,Belgium
339,211,1931,600100,1,Frs. Or,Albania,Belgium
339,211,1932,374700,1,Frs. Or,Albania,Belgium
339,211,1933,380655,1,Frs. Or,Albania,Belgium
339,211,1934,409596,1,Frs. Or,Albania,Belgium
339,211,1935,457219,1,Frs. Or,Albania,Belgium
339,211,1936,629331,1,Frs. Or,Albania,Belgium
339,212,1921,0,1,Fr. Ar,Albania,Luxembourg
339,212,1922,0,1,Fr. Ar,Albania,Luxembourg
339,212,1923,0,1,Fr. Ar,Albania,Luxembourg
