ccode1,ccode2,year,imp,places,currency,country1,country2
160,2,1900,13438529,1,Valor En $ Oro,Argentina,United States
160,2,1901,15533639,1,Valor En $ Oro,Argentina,United States
160,2,1902,13303504,1,Valor En $ Oro,Argentina,United States
160,2,1903,16684954,1,Valor En $ Oro,Argentina,United States
160,2,1904,24473877,1,Valor En $ Oro,Argentina,United States
160,2,1905,28920443,1,Valor En $ Oro,Argentina,United States
160,2,1906,39474894,1,Valor En $ Oro,Argentina,United States
160,2,1907,38842271,1,Valor En $ Oro,Argentina,United States
160,2,1908,35597004,1,Valor En $ Oro,Argentina,United States
160,2,1909,43068829,1,Valor En $ Oro,Argentina,United States
160,2,1910,48418892,1,Valor En $ Oro,Argentina,United States
160,2,1911,52353390,1,Valor En $ Oro,Argentina,United States
160,2,1912,59126951,1,Valor En $ Oro,Argentina,United States
160,2,1913,62032853,1,Valor En $ Oro,Argentina,United States
160,2,1914,36684446,1,,Argentina,United States
160,2,1915,56158904,1,Valor En $ Oro,Argentina,United States
160,2,1916,63532368,1,Valor En $ Oro,Argentina,United States
160,2,1917,66998991,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1918,56150440,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1919,87182952,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1920,108377980,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1921,90690456,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1922,85442740,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1923,104941773,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1924,136456022,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1925,155153696,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1926,175766544,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1927,194360508,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1928,210702596,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1929,237040673,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1930,166301363,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1931,84928952,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1932,52054907,1,Valores De Tarifa En $ Oro,Argentina,United States
160,2,1933,123286832,1,Pesos Moneda Nacional De Curso Legal (Pesos M/N),Argentina,United States
160,2,1934,151803785,1,,Argentina,United States
160,2,1935,161122941,1,"Valores De Tarifa, $ M/N",Argentina,United States
160,2,1936,170065024,1,"Valores De Tarifa, $ M/N",Argentina,United States
160,2,1937,248139854,1,"Valores De Tarifa, $ M/N",Argentina,United States
160,2,1938,250527021,1,,Argentina,United States
160,2,1939,215151505,1,,Argentina,United States
160,2,1940,314576253,1,"Valores De Tarifa, $ M/N",Argentina,United States
160,2,1941,245488016,1,"Valores De Tarifa, $ M/N",Argentina,United States
160,2,1942,194929206,1,"Valores De Tarifa, $ M/N",Argentina,United States
160,2,1943,84794665,1,"Valores De Tarifa, $ M/N",Argentina,United States
160,2,1944,72821.39999999999,1000,"Valores De Tarifa, Miles De $ M/N",Argentina,United States
160,2,1945,82044.89999999999,1000,"Valores De Tarifa, Miles De $ M/N",Argentina,United States
160,2,1946,361043,1000,"Valores De Tarifa, Miles De $ M/N",Argentina,United States
160,2,1947,993025.5,1000,"Valores De Tarifa, Miles De $ M/N",Argentina,United States
160,2,1948,993517.1,1000,"Valores De Tarifa, Miles De $ M/N",Argentina,United States
160,2,1949,443501.6,1000,"Valores De Tarifa, Miles De $ M/N",Argentina,United States
160,3,1900,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1901,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1902,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1903,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1904,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1905,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1906,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1907,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1908,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1909,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1910,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1911,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1912,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1913,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1914,0,1,,Argentina,Alaska
160,3,1915,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1916,0,1,Valor En $ Oro,Argentina,Alaska
160,3,1917,0,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1918,0,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1919,0,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1920,0,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1921,0,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1922,0,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1923,0,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1924,0,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1925,0,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1926,0,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1927,0,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1928,0,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1929,0,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1930,0,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1931,0,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1932,241,1,Valores De Tarifa En $ Oro,Argentina,Alaska
160,3,1933,1739,1,Pesos Moneda Nacional De Curso Legal (Pesos M/N),Argentina,Alaska
160,3,1934,3205,1,,Argentina,Alaska
160,3,1935,3499,1,"Valores De Tarifa, $ M/N",Argentina,Alaska
160,3,1936,0,1,"Valores De Tarifa, $ M/N",Argentina,Alaska
160,3,1937,0,1,"Valores De Tarifa, $ M/N",Argentina,Alaska
160,3,1938,0,1,,Argentina,Alaska
160,3,1939,0,1,,Argentina,Alaska
160,3,1940,0,1,"Valores De Tarifa, $ M/N",Argentina,Alaska
160,3,1941,3995,1,"Valores De Tarifa, $ M/N",Argentina,Alaska
160,3,1942,0,1,"Valores De Tarifa, $ M/N",Argentina,Alaska
160,3,1943,0,1,"Valores De Tarifa, $ M/N",Argentina,Alaska
160,3,1944,0,1000,"Valores De Tarifa, Miles De $ M/N",Argentina,Alaska
160,3,1945,0,1000,"Valores De Tarifa, Miles De $ M/N",Argentina,Alaska
160,3,1946,8.9,1000,"Valores De Tarifa, Miles De $ M/N",Argentina,Alaska
160,3,1947,0,1000,"Valores De Tarifa, Miles De $ M/N",Argentina,Alaska
160,3,1948,0,1000,"Valores De Tarifa, Miles De $ M/N",Argentina,Alaska
160,3,1949,0,1000,"Valores De Tarifa, Miles De $ M/N",Argentina,Alaska
160,10,1900,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1901,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1902,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1903,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1904,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1905,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1906,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1907,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1908,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1909,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1910,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1911,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1912,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1913,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1914,0,1,,Argentina,Greenland
160,10,1915,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1916,0,1,Valor En $ Oro,Argentina,Greenland
160,10,1917,0,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1918,0,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1919,0,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1920,0,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1921,0,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1922,0,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1923,0,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1924,0,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1925,0,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1926,0,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1927,0,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1928,0,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1929,0,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1930,5000,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1931,14116,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1932,14740,1,Valores De Tarifa En $ Oro,Argentina,Greenland
160,10,1933,21832,1,Pesos Moneda Nacional De Curso Legal (Pesos M/N),Argentina,Greenland
160,10,1934,92066,1,,Argentina,Greenland
160,10,1935,13066,1,"Valores De Tarifa, $ M/N",Argentina,Greenland
160,10,1936,0,1,"Valores De Tarifa, $ M/N",Argentina,Greenland
160,10,1937,193,1,"Valores De Tarifa, $ M/N",Argentina,Greenland
160,10,1938,0,1,,Argentina,Greenland
160,10,1939,0,1,,Argentina,Greenland
160,10,1940,0,1,"Valores De Tarifa, $ M/N",Argentina,Greenland
160,10,1941,482,1,"Valores De Tarifa, $ M/N",Argentina,Greenland
