ccode1,ccode2,year,imp,places,currency,country1,country2
900,2,1905,5005387,1,Pounds Sterling,Australia,United States
900,2,1906,5605612,1,Pounds Sterling,Australia,United States
900,2,1907,6765182,1,Pounds Sterling,Australia,United States
900,2,1908,6581846,1,Pounds Sterling,Australia,United States
900,2,1909,5935740,1,Pounds Sterling,Australia,United States
900,2,1910,7659150,1,Pounds Sterling,Australia,United States
900,2,1911,9007657,1,Pounds Sterling,Australia,United States
900,2,1912,10764257,1,Pounds Sterling,Australia,United States
900,2,1913,10908653,1,Pounds Sterling,Australia,United States
900,2,1914,0,1,Pounds Sterling,Australia,United States
900,2,1915,10871298,1,Pounds Sterling,Australia,United States
900,2,1916,15864516,1,Pounds Sterling,Australia,United States
900,2,1917,15876010,1,Pounds Sterling,Australia,United States
900,2,1918,15456002,1,Pounds Sterling,Australia,United States
900,2,1919,27183792,1,Pounds Sterling,Australia,United States
900,2,1920,23826313,1,Pounds Sterling,Australia,United States
900,2,1921,36113477,1,Pounds Sterling,Australia,United States
900,2,1922,18823113,1,Pounds Sterling,Australia,United States
900,2,1923,24851303,1,Pounds Sterling,Australia,United States
900,2,1924,34556529,1,Pounds Sterling,Australia,United States
900,2,1925,38728814,1,Pounds Sterling,Australia,United States
900,2,1926,37234257,1,Pounds Sterling,Australia,United States
900,2,1927,41394277,1,Pounds Sterling,Australia,United States
900,2,1928,35005736,1,Pounds Sterling,Australia,United States
900,2,1929,35308345,1,Pounds Sterling,Australia,United States
900,2,1930,30316208,1,Pounds Sterling,Australia,United States
900,2,1931,11400058,1,Pounds Sterling,Australia,United States
900,2,1932,7037751,1,Pounds Sterling,Australia,United States
900,2,1933,8084160,1,Pounds Sterling,Australia,United States
900,2,1934,7839250,1,Pounds Sterling,Australia,United States
900,2,1935,11041660,1,Pounds Sterling,Australia,United States
900,2,1936,13901857,1,Pounds Sterling,Australia,United States
900,2,1937,12959343,1,Pounds Sterling,Australia,United States
900,2,1938,17759175,1,Pounds Sterling,Australia,United States
900,2,1939,14648667,1,Pounds Sterling,Australia,United States
900,2,1940,22939241,1,Australian Pounds,Australia,United States
900,2,1941,19829092,1,Australian Pounds,Australia,United States
900,2,1942,51063212,1,Australian Pounds,Australia,United States
900,2,1943,107781315,1,Australian Pounds,Australia,United States
900,2,1944,118580900,1,Australian Pounds,Australia,United States
900,2,1945,83079444,1,Australian Pounds,Australia,United States
900,2,1946,47704847,1,Australian Pounds,Australia,United States
900,2,1947,39791189,1,Australian Pounds,Australia,United States
900,2,1948,66825699,1,Australian Pounds,Australia,United States
900,2,1949,41527482,1,Australian Pounds,Australia,United States
900,3,1905,2489,1,Pounds Sterling,Australia,Alaska
900,3,1906,0,1,Pounds Sterling,Australia,Alaska
900,3,1907,3558,1,Pounds Sterling,Australia,Alaska
900,3,1908,4521,1,Pounds Sterling,Australia,Alaska
900,3,1909,5902,1,Pounds Sterling,Australia,Alaska
900,3,1910,4868,1,Pounds Sterling,Australia,Alaska
900,3,1911,10706,1,Pounds Sterling,Australia,Alaska
900,3,1912,4141,1,Pounds Sterling,Australia,Alaska
900,3,1913,3785,1,Pounds Sterling,Australia,Alaska
900,3,1914,0,1,Pounds Sterling,Australia,Alaska
900,3,1915,34343,1,Pounds Sterling,Australia,Alaska
900,3,1916,31648,1,Pounds Sterling,Australia,Alaska
900,3,1917,27034,1,Pounds Sterling,Australia,Alaska
900,3,1918,30304,1,Pounds Sterling,Australia,Alaska
900,3,1919,25429,1,Pounds Sterling,Australia,Alaska
900,3,1920,91719,1,Pounds Sterling,Australia,Alaska
900,3,1921,4292,1,Pounds Sterling,Australia,Alaska
900,3,1922,108928,1,Pounds Sterling,Australia,Alaska
900,3,1923,94042,1,Pounds Sterling,Australia,Alaska
900,3,1924,162843,1,Pounds Sterling,Australia,Alaska
900,3,1925,146585,1,Pounds Sterling,Australia,Alaska
900,3,1926,111624,1,Pounds Sterling,Australia,Alaska
900,3,1927,85731,1,Pounds Sterling,Australia,Alaska
900,3,1928,34417,1,Pounds Sterling,Australia,Alaska
900,3,1929,27052,1,Pounds Sterling,Australia,Alaska
900,3,1930,30792,1,Pounds Sterling,Australia,Alaska
900,3,1931,4228,1,Pounds Sterling,Australia,Alaska
900,3,1932,0,1,Pounds Sterling,Australia,Alaska
900,3,1933,1041,1,Pounds Sterling,Australia,Alaska
900,3,1934,13378,1,Pounds Sterling,Australia,Alaska
900,3,1935,13645,1,Pounds Sterling,Australia,Alaska
900,3,1936,18591,1,Pounds Sterling,Australia,Alaska
900,3,1937,29962,1,Pounds Sterling,Australia,Alaska
900,3,1938,7794,1,Pounds Sterling,Australia,Alaska
900,3,1939,15674,1,Pounds Sterling,Australia,Alaska
900,3,1940,17288,1,Australian Pounds,Australia,Alaska
900,3,1941,448,1,Australian Pounds,Australia,Alaska
900,3,1942,0,1,Australian Pounds,Australia,Alaska
900,3,1943,0,1,Australian Pounds,Australia,Alaska
900,3,1944,0,1,Australian Pounds,Australia,Alaska
900,3,1945,0,1,Australian Pounds,Australia,Alaska
900,3,1946,0,1,Australian Pounds,Australia,Alaska
900,3,1947,4673,1,Australian Pounds,Australia,Alaska
900,3,1948,8,1,Australian Pounds,Australia,Alaska
900,3,1949,257,1,Australian Pounds,Australia,Alaska
900,4,1905,482,1,Pounds Sterling,Australia,Hawaii
900,4,1906,1159,1,Pounds Sterling,Australia,Hawaii
900,4,1907,587,1,Pounds Sterling,Australia,Hawaii
900,4,1908,40,1,Pounds Sterling,Australia,Hawaii
900,4,1909,887,1,Pounds Sterling,Australia,Hawaii
900,4,1910,1594,1,Pounds Sterling,Australia,Hawaii
900,4,1911,614,1,Pounds Sterling,Australia,Hawaii
900,4,1912,591,1,Pounds Sterling,Australia,Hawaii
900,4,1913,760,1,Pounds Sterling,Australia,Hawaii
900,4,1914,0,1,Pounds Sterling,Australia,Hawaii
900,4,1915,703,1,Pounds Sterling,Australia,Hawaii
900,4,1916,1811,1,Pounds Sterling,Australia,Hawaii
900,4,1917,636,1,Pounds Sterling,Australia,Hawaii
900,4,1918,3065,1,Pounds Sterling,Australia,Hawaii
900,4,1919,2295,1,Pounds Sterling,Australia,Hawaii
900,4,1920,5849,1,Pounds Sterling,Australia,Hawaii
900,4,1921,2450,1,Pounds Sterling,Australia,Hawaii
900,4,1922,4938,1,Pounds Sterling,Australia,Hawaii
900,4,1923,2570,1,Pounds Sterling,Australia,Hawaii
900,4,1924,1872,1,Pounds Sterling,Australia,Hawaii
900,4,1925,1879,1,Pounds Sterling,Australia,Hawaii
900,4,1926,2001,1,Pounds Sterling,Australia,Hawaii
900,4,1927,2437,1,Pounds Sterling,Australia,Hawaii
900,4,1928,2451,1,Pounds Sterling,Australia,Hawaii
900,4,1929,2758,1,Pounds Sterling,Australia,Hawaii
900,4,1930,2986,1,Pounds Sterling,Australia,Hawaii
900,4,1931,618,1,Pounds Sterling,Australia,Hawaii
900,4,1932,749,1,Pounds Sterling,Australia,Hawaii
900,4,1933,1788,1,Pounds Sterling,Australia,Hawaii
900,4,1934,1683,1,Pounds Sterling,Australia,Hawaii
900,4,1935,2463,1,Pounds Sterling,Australia,Hawaii
900,4,1936,5958,1,Pounds Sterling,Australia,Hawaii
900,4,1937,782,1,Pounds Sterling,Australia,Hawaii
900,4,1938,4040,1,Pounds Sterling,Australia,Hawaii
900,4,1939,9638,1,Pounds Sterling,Australia,Hawaii
900,4,1940,9934,1,Australian Pounds,Australia,Hawaii
900,4,1941,3414,1,Australian Pounds,Australia,Hawaii
900,4,1942,3377,1,Australian Pounds,Australia,Hawaii
900,4,1943,40,1,Australian Pounds,Australia,Hawaii
900,4,1944,32,1,Australian Pounds,Australia,Hawaii
900,4,1945,6,1,Australian Pounds,Australia,Hawaii
900,4,1946,6,1,Australian Pounds,Australia,Hawaii
900,4,1947,209,1,Australian Pounds,Australia,Hawaii
900,4,1948,10286,1,Australian Pounds,Australia,Hawaii
900,4,1949,2686,1,Australian Pounds,Australia,Hawaii
900,5,1905,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1906,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1907,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1908,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1909,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1910,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1911,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1912,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1913,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1914,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1915,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1916,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1917,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1918,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1919,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1920,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1921,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1922,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1923,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1924,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1925,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1926,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1927,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1928,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1929,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1930,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1931,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1932,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1933,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1934,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1935,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
900,5,1936,0,1,Pounds Sterling,Australia,"Virgin Islands, U.S."
