ccode1,ccode2,year,imp,places,currency,country1,country2
305,2,1922,144450,1000,Goldkronen,Austria,United States
305,2,1923,175519,1000,Shilling,Austria,United States
305,2,1924,192024,1000,Shilling,Austria,United States
305,2,1925,222010,1000,Shilling,Austria,United States
305,2,1926,150780,1000,Shilling,Austria,United States
305,2,1927,192732,1000,Shilling,Austria,United States
305,2,1928,218295,1000,Shilling,Austria,United States
305,2,1929,198039,1000,Shilling,Austria,United States
305,2,1930,144969,1000,Shilling,Austria,United States
305,2,1931,96148,1000,Shilling,Austria,United States
305,2,1932,56234,1000,Shilling,Austria,United States
305,2,1933,61876,1000,Shilling,Austria,United States
305,2,1934,61855,1000,Shilling,Austria,United States
305,2,1935,70805,1000,1000 Shilling,Austria,United States
305,2,1936,77907,1000,1000 Shilling,Austria,United States
305,2,1937,87296,1000,1000 Shilling,Austria,United States
305,2,1947,40183,1000,1000 S,Austria,United States
305,2,1948,172608,1000,,Austria,United States
305,2,1949,1842658,1000,1000 S,Austria,United States
305,20,1922,831,1000,Goldkronen,Austria,Canada
305,20,1923,3390,1000,Shilling,Austria,Canada
305,20,1924,1687,1000,Shilling,Austria,Canada
305,20,1925,2615,1000,Shilling,Austria,Canada
305,20,1926,6914,1000,Shilling,Austria,Canada
305,20,1927,16887,1000,Shilling,Austria,Canada
305,20,1928,21557,1000,Shilling,Austria,Canada
305,20,1929,11583,1000,Shilling,Austria,Canada
305,20,1930,20085,1000,Shilling,Austria,Canada
305,20,1931,12393,1000,Shilling,Austria,Canada
305,20,1932,11067,1000,Shilling,Austria,Canada
305,20,1933,13333,1000,Shilling,Austria,Canada
305,20,1934,4206,1000,Shilling,Austria,Canada
305,20,1935,2555,1000,1000 Shilling,Austria,Canada
305,20,1936,4247,1000,1000 Shilling,Austria,Canada
305,20,1937,5353,1000,1000 Shilling,Austria,Canada
305,20,1947,674,1000,1000 S,Austria,Canada
305,20,1948,642,1000,,Austria,Canada
305,20,1949,36949,1000,1000 S,Austria,Canada
305,40,1922,165,1000,Goldkronen,Austria,Cuba
305,40,1923,595,1000,Shilling,Austria,Cuba
305,40,1924,570,1000,Shilling,Austria,Cuba
305,40,1925,1344,1000,Shilling,Austria,Cuba
305,40,1926,818,1000,Shilling,Austria,Cuba
305,40,1927,2140,1000,Shilling,Austria,Cuba
305,40,1928,1230,1000,Shilling,Austria,Cuba
305,40,1929,2116,1000,Shilling,Austria,Cuba
305,40,1930,1370,1000,Shilling,Austria,Cuba
305,40,1931,1144,1000,Shilling,Austria,Cuba
305,40,1932,32,1000,Shilling,Austria,Cuba
305,40,1933,31,1000,Shilling,Austria,Cuba
305,40,1934,85,1000,Shilling,Austria,Cuba
305,40,1935,345,1000,1000 Shilling,Austria,Cuba
305,40,1936,344,1000,1000 Shilling,Austria,Cuba
305,40,1937,482,1000,1000 Shilling,Austria,Cuba
305,40,1947,33,1000,1000 S,Austria,Cuba
305,40,1948,0,1000,,Austria,Cuba
305,40,1949,106454,1000,1000 S,Austria,Cuba
305,41,1922,0,1000,Goldkronen,Austria,Haiti
305,41,1923,0,1000,Shilling,Austria,Haiti
305,41,1924,0,1000,Shilling,Austria,Haiti
305,41,1925,0,1000,Shilling,Austria,Haiti
305,41,1926,56,1000,Shilling,Austria,Haiti
305,41,1927,332,1000,Shilling,Austria,Haiti
305,41,1928,94,1000,Shilling,Austria,Haiti
305,41,1929,52,1000,Shilling,Austria,Haiti
305,41,1930,28,1000,Shilling,Austria,Haiti
305,41,1931,18,1000,Shilling,Austria,Haiti
305,41,1932,15,1000,Shilling,Austria,Haiti
305,41,1933,11,1000,Shilling,Austria,Haiti
305,41,1934,7,1000,Shilling,Austria,Haiti
305,41,1935,0,1000,1000 Shilling,Austria,Haiti
305,41,1936,10,1000,1000 Shilling,Austria,Haiti
305,41,1937,0,1000,1000 Shilling,Austria,Haiti
305,41,1947,269,1000,1000 S,Austria,Haiti
305,41,1948,0,1000,,Austria,Haiti
305,41,1949,173,1000,1000 S,Austria,Haiti
305,42,1922,0,1000,Goldkronen,Austria,Dominican Republic
305,42,1923,2943,1000,Shilling,Austria,Dominican Republic
305,42,1924,2598,1000,Shilling,Austria,Dominican Republic
305,42,1925,849,1000,Shilling,Austria,Dominican Republic
305,42,1926,637,1000,Shilling,Austria,Dominican Republic
305,42,1927,63,1000,Shilling,Austria,Dominican Republic
305,42,1928,5,1000,Shilling,Austria,Dominican Republic
305,42,1929,12,1000,Shilling,Austria,Dominican Republic
305,42,1930,3,1000,Shilling,Austria,Dominican Republic
305,42,1931,194,1000,Shilling,Austria,Dominican Republic
305,42,1932,13,1000,Shilling,Austria,Dominican Republic
305,42,1933,128,1000,Shilling,Austria,Dominican Republic
305,42,1934,68,1000,Shilling,Austria,Dominican Republic
305,42,1935,116,1000,1000 Shilling,Austria,Dominican Republic
305,42,1936,66,1000,1000 Shilling,Austria,Dominican Republic
305,42,1937,74,1000,1000 Shilling,Austria,Dominican Republic
305,42,1947,4317,1000,1000 S,Austria,Dominican Republic
305,42,1948,4362,1000,,Austria,Dominican Republic
305,42,1949,3178,1000,1000 S,Austria,Dominican Republic
305,68,1922,0,1000,Goldkronen,Austria,Netherlands Antilles
305,68,1923,0,1000,Shilling,Austria,Netherlands Antilles
305,68,1924,0,1000,Shilling,Austria,Netherlands Antilles
305,68,1925,0,1000,Shilling,Austria,Netherlands Antilles
305,68,1926,84,1000,Shilling,Austria,Netherlands Antilles
305,68,1927,29,1000,Shilling,Austria,Netherlands Antilles
305,68,1928,95,1000,Shilling,Austria,Netherlands Antilles
305,68,1929,38,1000,Shilling,Austria,Netherlands Antilles
305,68,1930,134,1000,Shilling,Austria,Netherlands Antilles
305,68,1931,12,1000,Shilling,Austria,Netherlands Antilles
305,68,1932,0,1000,Shilling,Austria,Netherlands Antilles
305,68,1933,0,1000,Shilling,Austria,Netherlands Antilles
305,68,1934,0,1000,Shilling,Austria,Netherlands Antilles
305,68,1935,0,1000,1000 Shilling,Austria,Netherlands Antilles
305,68,1936,0,1000,1000 Shilling,Austria,Netherlands Antilles
305,68,1937,0,1000,1000 Shilling,Austria,Netherlands Antilles
305,68,1947,0,1000,1000 S,Austria,Netherlands Antilles
305,68,1948,0,1000,,Austria,Netherlands Antilles
305,68,1949,0,1000,1000 S,Austria,Netherlands Antilles
305,70,1922,304,1000,Goldkronen,Austria,Mexico
305,70,1923,883,1000,Shilling,Austria,Mexico
305,70,1924,585,1000,Shilling,Austria,Mexico
305,70,1925,3590,1000,Shilling,Austria,Mexico
305,70,1926,872,1000,Shilling,Austria,Mexico
305,70,1927,14312,1000,Shilling,Austria,Mexico
305,70,1928,5111,1000,Shilling,Austria,Mexico
305,70,1929,3593,1000,Shilling,Austria,Mexico
305,70,1930,3540,1000,Shilling,Austria,Mexico
305,70,1931,2075,1000,Shilling,Austria,Mexico
305,70,1932,906,1000,Shilling,Austria,Mexico
