ccode1,ccode2,year,imp,places,currency,country1,country2
53,2,1925,427438,1,834681,Barbados,United States
53,2,1926,465917,1,664242,Barbados,United States
53,2,1927,453710,1,764320,Barbados,United States
53,2,1928,405094,1,827350,Barbados,United States
53,2,1929,400289,1,691216,Barbados,United States
53,2,1930,340908,1,582244,Barbados,United States
53,2,1932,168217,1,749509,Barbados,United States
53,5,1925,382,1,834681,Barbados,"Virgin Islands, U.S."
53,5,1926,872,1,664242,Barbados,"Virgin Islands, U.S."
53,5,1927,419,1,764320,Barbados,"Virgin Islands, U.S."
53,5,1928,234,1,827350,Barbados,"Virgin Islands, U.S."
53,5,1929,129,1,691216,Barbados,"Virgin Islands, U.S."
53,5,1930,162,1,582244,Barbados,"Virgin Islands, U.S."
53,5,1932,408,1,749509,Barbados,"Virgin Islands, U.S."
53,6,1925,0,1,834681,Barbados,Puerto Rico
53,6,1926,0,1,664242,Barbados,Puerto Rico
53,6,1927,0,1,764320,Barbados,Puerto Rico
53,6,1928,0,1,827350,Barbados,Puerto Rico
53,6,1929,0,1,691216,Barbados,Puerto Rico
53,6,1930,1040,1,582244,Barbados,Puerto Rico
53,6,1932,0,1,749509,Barbados,Puerto Rico
53,20,1925,479979,1,834681,Barbados,Canada
53,20,1926,442764,1,664242,Barbados,Canada
53,20,1927,439350,1,764320,Barbados,Canada
53,20,1928,485110,1,827350,Barbados,Canada
53,20,1929,381704,1,691216,Barbados,Canada
53,20,1930,286583,1,582244,Barbados,Canada
53,20,1932,248560,1,749509,Barbados,Canada
53,21,1925,48752,1,834681,Barbados,Newfoundland
53,21,1926,35666,1,664242,Barbados,Newfoundland
53,21,1927,51590,1,764320,Barbados,Newfoundland
53,21,1928,58923,1,827350,Barbados,Newfoundland
53,21,1929,52517,1,691216,Barbados,Newfoundland
53,21,1930,48726,1,582244,Barbados,Newfoundland
53,21,1932,41490,1,749509,Barbados,Newfoundland
53,30,1925,1671,1,834681,Barbados,Bermuda
53,30,1926,2541,1,664242,Barbados,Bermuda
53,30,1927,736,1,764320,Barbados,Bermuda
53,30,1928,965,1,827350,Barbados,Bermuda
53,30,1929,340,1,691216,Barbados,Bermuda
53,30,1930,331,1,582244,Barbados,Bermuda
53,30,1932,258,1,749509,Barbados,Bermuda
53,31,1925,0,1,834681,Barbados,Bahamas
53,31,1926,0,1,664242,Barbados,Bahamas
53,31,1927,0,1,764320,Barbados,Bahamas
53,31,1928,0,1,827350,Barbados,Bahamas
53,31,1929,0,1,691216,Barbados,Bahamas
53,31,1930,0,1,582244,Barbados,Bahamas
53,31,1932,0,1,749509,Barbados,Bahamas
53,40,1925,3,1,834681,Barbados,Cuba
53,40,1926,0,1,664242,Barbados,Cuba
53,40,1927,14,1,764320,Barbados,Cuba
53,40,1928,0,1,827350,Barbados,Cuba
53,40,1929,0,1,691216,Barbados,Cuba
53,40,1930,0,1,582244,Barbados,Cuba
53,40,1932,88,1,749509,Barbados,Cuba
53,42,1925,0,1,834681,Barbados,Dominican Republic
53,42,1926,0,1,664242,Barbados,Dominican Republic
53,42,1927,0,1,764320,Barbados,Dominican Republic
53,42,1928,0,1,827350,Barbados,Dominican Republic
53,42,1929,0,1,691216,Barbados,Dominican Republic
53,42,1930,0,1,582244,Barbados,Dominican Republic
53,42,1932,327,1,749509,Barbados,Dominican Republic
53,51,1925,1199,1,834681,Barbados,Jamaica
53,51,1926,1380,1,664242,Barbados,Jamaica
53,51,1927,2231,1,764320,Barbados,Jamaica
53,51,1928,2459,1,827350,Barbados,Jamaica
53,51,1929,4048,1,691216,Barbados,Jamaica
53,51,1930,1714,1,582244,Barbados,Jamaica
53,51,1932,518,1,749509,Barbados,Jamaica
53,52,1925,76327,1,834681,Barbados,Trinidad And Tobago
53,52,1926,88344,1,664242,Barbados,Trinidad And Tobago
53,52,1927,69652,1,764320,Barbados,Trinidad And Tobago
53,52,1928,63515,1,827350,Barbados,Trinidad And Tobago
53,52,1929,53116,1,691216,Barbados,Trinidad And Tobago
53,52,1930,60591,1,582244,Barbados,Trinidad And Tobago
53,52,1932,64297,1,749509,Barbados,Trinidad And Tobago
53,52,1934,840062,,,Barbados,Trinidad And Tobago
53,54,1925,7259,1,834681,Barbados,Dominica
53,54,1926,5252,1,664242,Barbados,Dominica
53,54,1927,6235,1,764320,Barbados,Dominica
53,54,1928,4110,1,827350,Barbados,Dominica
53,54,1929,3241,1,691216,Barbados,Dominica
53,54,1930,1299,1,582244,Barbados,Dominica
53,54,1932,1308,1,749509,Barbados,Dominica
53,55,1925,6935,1,834681,Barbados,Grenada
53,55,1926,5972,1,664242,Barbados,Grenada
53,55,1927,7652,1,764320,Barbados,Grenada
53,55,1928,5177,1,827350,Barbados,Grenada
53,55,1929,5583,1,691216,Barbados,Grenada
53,55,1930,4487,1,582244,Barbados,Grenada
53,55,1932,3052,1,749509,Barbados,Grenada
53,56,1925,16103,1,834681,Barbados,St. Lucia
53,56,1926,17489,1,664242,Barbados,St. Lucia
