ccode1,ccode2,year,imp,places,currency,country1,country2
211,2,1911,341423,1000,Mille Francs,Belgium,United States
211,2,1912,413829,1000,Mille Francs,Belgium,United States
211,2,1913,420496,1000,Mille Francs,Belgium,United States
211,2,1919,1086739,1000,,Belgium,United States
211,2,1920,2279998,1000,Mille Francs,Belgium,United States
211,2,1921,1615040,1000,Mille Francs,Belgium,United States
211,2,1922,746653,1000,Mille Francs,Belgium,United States
211,2,1923,1478825,1000,Mille Francs,Belgium,United States
211,2,1924,1985146,1000,Mille Francs,Belgium,United States
211,2,1925,2204920,1000,Milliers De Francs,Belgium,United States
211,2,1926,2625009,1000,Mille Francs,Belgium,United States
211,2,1927,3200393,1000,Mille Francs,Belgium,United States
211,2,1928,3097821,1000,1000 Francs,Belgium,United States
211,2,1929,3406555,1000,Mille Francs,Belgium,United States
211,2,1930,3106021,1000,1000 Franc,Belgium,United States
211,2,1931,2098507,1000,1000 Franc,Belgium,United States
211,2,1932,1410887,1000,1000 Franc,Belgium,United States
211,2,1933,1200897,1000,1000 Franc,Belgium,United States
211,2,1938,2488588,1000,1000 Franc,Belgium,United States
211,2,1939,1928070,1000,1000 Franc,Belgium,United States
211,2,1945,2525662,1000,1000 Franc,Belgium,United States
211,2,1946,9263093,1000,1000 Franc,Belgium,United States
211,2,1947,22661763,1000,1000 Franc,Belgium,United States
211,2,1948,15647006,1000,1000 Franc,Belgium,United States
211,2,1949,14762329,1000,1000 Franc,Belgium,United States
211,6,1911,0,1000,Mille Francs,Belgium,Puerto Rico
211,6,1912,2,1000,Mille Francs,Belgium,Puerto Rico
211,6,1913,11,1000,Mille Francs,Belgium,Puerto Rico
211,6,1919,4,1000,,Belgium,Puerto Rico
211,6,1920,0,1000,Mille Francs,Belgium,Puerto Rico
211,6,1921,30,1000,Mille Francs,Belgium,Puerto Rico
211,6,1922,105,1000,Mille Francs,Belgium,Puerto Rico
211,6,1923,50,1000,Mille Francs,Belgium,Puerto Rico
211,6,1924,0,1000,Mille Francs,Belgium,Puerto Rico
211,6,1925,0,1000,Milliers De Francs,Belgium,Puerto Rico
211,6,1926,2,1000,Mille Francs,Belgium,Puerto Rico
211,6,1927,13,1000,Mille Francs,Belgium,Puerto Rico
211,6,1928,103,1000,1000 Francs,Belgium,Puerto Rico
211,6,1929,17,1000,Mille Francs,Belgium,Puerto Rico
211,6,1930,5,1000,1000 Franc,Belgium,Puerto Rico
211,6,1931,20,1000,1000 Franc,Belgium,Puerto Rico
211,6,1932,0,1000,1000 Franc,Belgium,Puerto Rico
211,6,1933,0,1000,1000 Franc,Belgium,Puerto Rico
211,6,1938,0,1000,1000 Franc,Belgium,Puerto Rico
211,6,1939,0,1000,1000 Franc,Belgium,Puerto Rico
211,6,1945,0,1000,1000 Franc,Belgium,Puerto Rico
211,6,1946,0,1000,1000 Franc,Belgium,Puerto Rico
211,6,1947,0,1000,1000 Franc,Belgium,Puerto Rico
211,6,1948,0,1000,1000 Franc,Belgium,Puerto Rico
211,6,1949,0,1000,1000 Franc,Belgium,Puerto Rico
211,20,1911,21187,1000,Mille Francs,Belgium,Canada
211,20,1912,28582,1000,Mille Francs,Belgium,Canada
211,20,1913,29415,1000,Mille Francs,Belgium,Canada
211,20,1919,67402,1000,,Belgium,Canada
211,20,1920,262474,1000,Mille Francs,Belgium,Canada
211,20,1921,202866,1000,Mille Francs,Belgium,Canada
211,20,1922,154445,1000,Mille Francs,Belgium,Canada
211,20,1923,253189,1000,Mille Francs,Belgium,Canada
211,20,1924,314459,1000,Mille Francs,Belgium,Canada
211,20,1925,409426,1000,Milliers De Francs,Belgium,Canada
211,20,1926,545839,1000,Mille Francs,Belgium,Canada
211,20,1927,643428,1000,Mille Francs,Belgium,Canada
211,20,1928,827374,1000,1000 Francs,Belgium,Canada
211,20,1929,596738,1000,Mille Francs,Belgium,Canada
211,20,1930,289548,1000,1000 Franc,Belgium,Canada
211,20,1931,206592,1000,1000 Franc,Belgium,Canada
211,20,1932,184778,1000,1000 Franc,Belgium,Canada
211,20,1933,154250,1000,1000 Franc,Belgium,Canada
211,20,1938,314118,1000,1000 Franc,Belgium,Canada
211,20,1939,324926,1000,1000 Franc,Belgium,Canada
211,20,1945,580997,1000,1000 Franc,Belgium,Canada
211,20,1946,1773895,1000,1000 Franc,Belgium,Canada
211,20,1947,1503766,1000,1000 Franc,Belgium,Canada
211,20,1948,1227430,1000,1000 Franc,Belgium,Canada
211,20,1949,2349233,1000,1000 Franc,Belgium,Canada
211,21,1911,0,1000,Mille Francs,Belgium,Newfoundland
211,21,1912,0,1000,Mille Francs,Belgium,Newfoundland
211,21,1913,0,1000,Mille Francs,Belgium,Newfoundland
211,21,1919,0,1000,,Belgium,Newfoundland
211,21,1920,0,1000,Mille Francs,Belgium,Newfoundland
211,21,1921,0,1000,Mille Francs,Belgium,Newfoundland
211,21,1922,0,1000,Mille Francs,Belgium,Newfoundland
211,21,1923,0,1000,Mille Francs,Belgium,Newfoundland
211,21,1924,0,1000,Mille Francs,Belgium,Newfoundland
211,21,1925,0,1000,Milliers De Francs,Belgium,Newfoundland
211,21,1926,0,1000,Mille Francs,Belgium,Newfoundland
211,21,1927,0,1000,Mille Francs,Belgium,Newfoundland
211,21,1928,2,1000,1000 Francs,Belgium,Newfoundland
211,21,1929,14,1000,Mille Francs,Belgium,Newfoundland
211,21,1930,24,1000,1000 Franc,Belgium,Newfoundland
211,21,1931,2,1000,1000 Franc,Belgium,Newfoundland
211,21,1932,0,1000,1000 Franc,Belgium,Newfoundland
211,21,1933,0,1000,1000 Franc,Belgium,Newfoundland
211,21,1938,0,1000,1000 Franc,Belgium,Newfoundland
211,21,1939,0,1000,1000 Franc,Belgium,Newfoundland
211,21,1945,0,1000,1000 Franc,Belgium,Newfoundland
211,21,1946,0,1000,1000 Franc,Belgium,Newfoundland
211,21,1947,0,1000,1000 Franc,Belgium,Newfoundland
211,21,1948,0,1000,1000 Franc,Belgium,Newfoundland
211,21,1949,0,1000,1000 Franc,Belgium,Newfoundland
211,40,1911,168,1000,Mille Francs,Belgium,Cuba
211,40,1912,326,1000,Mille Francs,Belgium,Cuba
211,40,1913,424,1000,Mille Francs,Belgium,Cuba
211,40,1919,4997,1000,,Belgium,Cuba
211,40,1920,110905,1000,Mille Francs,Belgium,Cuba
