ccode1,ccode2,year,imp,places,currency,country1,country2
490,2,1918,10716694,1,Francs,"Congo, Dem. Republic",United States
490,2,1919,16756008,1,Francs,"Congo, Dem. Republic",United States
490,2,1920,10844247,1,Francs,"Congo, Dem. Republic",United States
490,2,1921,13013440,1,Francs,"Congo, Dem. Republic",United States
490,2,1922,8691279,1,Francs,"Congo, Dem. Republic",United States
490,2,1923,11942822,1,Francs,"Congo, Dem. Republic",United States
490,2,1924,17020946,1,Francs,"Congo, Dem. Republic",United States
490,2,1925,31890,1000,,"Congo, Dem. Republic",United States
490,2,1926,76452,1000,1000 Francs,"Congo, Dem. Republic",United States
490,2,1927,87507,1000,1000 Francs,"Congo, Dem. Republic",United States
490,2,1928,108509491,1,Francs,"Congo, Dem. Republic",United States
490,2,1929,123422830,1,Francs,"Congo, Dem. Republic",United States
490,2,1930,100959421,1,Francs,"Congo, Dem. Republic",United States
490,2,1931,66142510,1,Francs,"Congo, Dem. Republic",United States
490,2,1932,30861455,1,Francs,"Congo, Dem. Republic",United States
490,2,1933,30767340,1,Francs,"Congo, Dem. Republic",United States
490,2,1934,29542729,1,Francs,"Congo, Dem. Republic",United States
490,2,1935,44622714,1,Francs,"Congo, Dem. Republic",United States
490,2,1936,59551592,1,Francs,"Congo, Dem. Republic",United States
490,2,1937,97045,1000,1000 Fr,"Congo, Dem. Republic",United States
490,2,1938,77670958,1,Francs,"Congo, Dem. Republic",United States
490,2,1939,68705354,1,Francs,"Congo, Dem. Republic",United States
490,2,1940,138517956,1,Francs,"Congo, Dem. Republic",United States
490,2,1941,592422215,1,Francs,"Congo, Dem. Republic",United States
490,2,1942,854940701,1,Francs,"Congo, Dem. Republic",United States
490,2,1943,946672641,1,Francs,"Congo, Dem. Republic",United States
490,2,1944,1153570841,1,Francs,"Congo, Dem. Republic",United States
490,2,1945,829902020,1,Francs,"Congo, Dem. Republic",United States
490,2,1946,1185522705,1,Francs,"Congo, Dem. Republic",United States
490,2,1947,2314312973,1,Francs,"Congo, Dem. Republic",United States
490,2,1948,2586723,1000,1000 Fr,"Congo, Dem. Republic",United States
490,2,1949,2881339,1000,1000 Fr,"Congo, Dem. Republic",United States
490,20,1918,47367,1,Francs,"Congo, Dem. Republic",Canada
490,20,1919,2548,1,Francs,"Congo, Dem. Republic",Canada
490,20,1920,34215,1,Francs,"Congo, Dem. Republic",Canada
490,20,1921,40270,1,Francs,"Congo, Dem. Republic",Canada
490,20,1922,184409,1,Francs,"Congo, Dem. Republic",Canada
490,20,1923,101954,1,Francs,"Congo, Dem. Republic",Canada
490,20,1924,67199,1,Francs,"Congo, Dem. Republic",Canada
490,20,1925,0,1000,,"Congo, Dem. Republic",Canada
490,20,1926,0,1000,1000 Francs,"Congo, Dem. Republic",Canada
490,20,1927,0,1000,1000 Francs,"Congo, Dem. Republic",Canada
490,20,1928,1615726,1,Francs,"Congo, Dem. Republic",Canada
490,20,1929,4611884,1,Francs,"Congo, Dem. Republic",Canada
490,20,1930,5009822,1,Francs,"Congo, Dem. Republic",Canada
490,20,1931,2551946,1,Francs,"Congo, Dem. Republic",Canada
490,20,1932,1223437,1,Francs,"Congo, Dem. Republic",Canada
490,20,1933,707654,1,Francs,"Congo, Dem. Republic",Canada
490,20,1934,1031773,1,Francs,"Congo, Dem. Republic",Canada
490,20,1935,536478,1,Francs,"Congo, Dem. Republic",Canada
490,20,1936,437515,1,Francs,"Congo, Dem. Republic",Canada
490,20,1937,694,1000,1000 Fr,"Congo, Dem. Republic",Canada
490,20,1938,518004,1,Francs,"Congo, Dem. Republic",Canada
490,20,1939,383843,1,Francs,"Congo, Dem. Republic",Canada
490,20,1940,695773,1,Francs,"Congo, Dem. Republic",Canada
490,20,1941,4389316,1,Francs,"Congo, Dem. Republic",Canada
490,20,1942,14193802,1,Francs,"Congo, Dem. Republic",Canada
490,20,1943,8482063,1,Francs,"Congo, Dem. Republic",Canada
490,20,1944,11022408,1,Francs,"Congo, Dem. Republic",Canada
490,20,1945,14412180,1,Francs,"Congo, Dem. Republic",Canada
490,20,1946,19479800,1,Francs,"Congo, Dem. Republic",Canada
490,20,1947,21396546,1,Francs,"Congo, Dem. Republic",Canada
490,20,1948,51259,1000,1000 Fr,"Congo, Dem. Republic",Canada
490,20,1949,57249,1000,1000 Fr,"Congo, Dem. Republic",Canada
490,40,1918,772,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1919,180,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1920,1493,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1921,0,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1922,2381,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1923,7920,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1924,5060,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1925,0,1000,,"Congo, Dem. Republic",Cuba
490,40,1926,0,1000,1000 Francs,"Congo, Dem. Republic",Cuba
490,40,1927,0,1000,1000 Francs,"Congo, Dem. Republic",Cuba
490,40,1928,9247992,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1929,18440,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1930,0,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1931,21635,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1932,3000,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1933,690,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1934,0,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1935,4380,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1936,545,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1937,0,1000,1000 Fr,"Congo, Dem. Republic",Cuba
490,40,1938,0,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1939,16740,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1940,0,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1941,19971,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1942,0,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1943,0,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1944,0,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1945,369980,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1946,0,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1947,8830,1,Francs,"Congo, Dem. Republic",Cuba
490,40,1948,0,1000,1000 Fr,"Congo, Dem. Republic",Cuba
490,40,1949,0,1000,1000 Fr,"Congo, Dem. Republic",Cuba
490,41,1918,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1919,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1920,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1921,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1922,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1923,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1924,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1925,0,1000,,"Congo, Dem. Republic",Haiti
490,41,1926,0,1000,1000 Francs,"Congo, Dem. Republic",Haiti
490,41,1927,0,1000,1000 Francs,"Congo, Dem. Republic",Haiti
490,41,1928,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1929,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1930,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1931,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1932,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1933,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1934,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1935,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1936,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1937,0,1000,1000 Fr,"Congo, Dem. Republic",Haiti
490,41,1938,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1939,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1940,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1941,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1942,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1943,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1944,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1945,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1946,0,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1947,100,1,Francs,"Congo, Dem. Republic",Haiti
490,41,1948,0,1000,1000 Fr,"Congo, Dem. Republic",Haiti
490,41,1949,0,1000,1000 Fr,"Congo, Dem. Republic",Haiti
490,51,1918,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1919,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1920,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1921,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1922,6205,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1923,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1924,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1925,0,1000,,"Congo, Dem. Republic",Jamaica
490,51,1926,0,1000,1000 Francs,"Congo, Dem. Republic",Jamaica
490,51,1927,0,1000,1000 Francs,"Congo, Dem. Republic",Jamaica
490,51,1928,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1929,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1930,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1931,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1932,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1933,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1934,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1935,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1936,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1937,0,1000,1000 Fr,"Congo, Dem. Republic",Jamaica
490,51,1938,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1939,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1940,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1941,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1942,44064,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1943,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1944,49250,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1945,111083,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1946,0,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1947,6630,1,Francs,"Congo, Dem. Republic",Jamaica
490,51,1948,0,1000,1000 Fr,"Congo, Dem. Republic",Jamaica
490,51,1949,0,1000,1000 Fr,"Congo, Dem. Republic",Jamaica
490,68,1918,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1919,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1920,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1921,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1922,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1923,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1924,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1925,0,1000,,"Congo, Dem. Republic",Netherlands Antilles
490,68,1926,0,1000,1000 Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1927,0,1000,1000 Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1928,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1929,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1930,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1931,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1932,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1933,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1934,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1935,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1936,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1937,0,1000,1000 Fr,"Congo, Dem. Republic",Netherlands Antilles
490,68,1938,24015796,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1939,26025091,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1940,36789939,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1941,53995508,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1942,67250648,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1943,17943831,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1944,45078507,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1945,74529926,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1946,93677154,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1947,0,1,Francs,"Congo, Dem. Republic",Netherlands Antilles
490,68,1948,0,1000,1000 Fr,"Congo, Dem. Republic",Netherlands Antilles
490,68,1949,0,1000,1000 Fr,"Congo, Dem. Republic",Netherlands Antilles
490,70,1918,0,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1919,0,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1920,0,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1921,0,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1922,0,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1923,0,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1924,0,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1925,0,1000,,"Congo, Dem. Republic",Mexico
490,70,1926,0,1000,1000 Francs,"Congo, Dem. Republic",Mexico
490,70,1927,0,1000,1000 Francs,"Congo, Dem. Republic",Mexico
490,70,1928,0,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1929,0,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1930,0,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1931,122290,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1932,0,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1933,29274,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1934,320,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1935,51773,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1936,0,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1937,0,1000,1000 Fr,"Congo, Dem. Republic",Mexico
490,70,1938,30843,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1939,2715,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1940,0,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1941,0,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1942,0,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1943,9888869,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1944,13533847,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1945,2064325,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1946,196550,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1947,2903164,1,Francs,"Congo, Dem. Republic",Mexico
490,70,1948,6560,1000,1000 Fr,"Congo, Dem. Republic",Mexico
490,70,1949,7161,1000,1000 Fr,"Congo, Dem. Republic",Mexico
490,92,1918,0,1,Francs,"Congo, Dem. Republic",El Salvador
490,92,1919,0,1,Francs,"Congo, Dem. Republic",El Salvador
490,92,1920,0,1,Francs,"Congo, Dem. Republic",El Salvador
490,92,1921,0,1,Francs,"Congo, Dem. Republic",El Salvador
