ccode1,ccode2,year,imp,places,currency,country1,country2
30,2,1929,760350,1,Pounds,Bermuda,United States
30,20,1929,326684,1,Pounds,Bermuda,Canada
30,40,1929,911,1,Pounds,Bermuda,Cuba
30,155,1929,0,1,Pounds,Bermuda,Chile
30,200,1929,573569,1,Pounds,Bermuda,United Kingdom
30,210,1929,206,1,Pounds,Bermuda,Netherlands
30,220,1929,31287,1,Pounds,Bermuda,France
30,255,1929,507,1,Pounds,Bermuda,Germany
30,380,1929,764,1,Pounds,Bermuda,Sweden
30,385,1929,35,1,Pounds,Bermuda,Norway
30,410,1929,8,1,Pounds,Bermuda,Canary Islands
30,710,1929,817,1,Pounds,Bermuda,China
30,740,1929,142,1,Pounds,Bermuda,Japan
30,750,1929,1229,1,Pounds,Bermuda,India
30,1050,1929,21739,1,Pounds,Bermuda,British West Indies
30,,1929,1718248,1,Pounds,Bermuda,
