ccode1,ccode2,year,imp,places,currency,country1,country2
145,2,1916,9394797,1,,Bolivia,United States
145,2,1917,11167398,1,,Bolivia,United States
145,2,1918,11311209,1,,Bolivia,United States
145,2,1919,14824466,1,,Bolivia,United States
145,2,1920,19727655,1,,Bolivia,United States
145,2,1921,20120479,1,,Bolivia,United States
145,2,1922,11932033,1,,Bolivia,United States
145,2,1923,15391883,1,,Bolivia,United States
145,2,1924,17941605.16,1,,Bolivia,United States
145,2,1925,18338874.66,1,,Bolivia,United States
145,2,1926,20401605.26,1,Bolivars,Bolivia,United States
145,2,1927,19073052.34,1,Bolivars,Bolivia,United States
145,2,1928,19411111,1,Bolivars,Bolivia,United States
145,2,1929,24082246,1,Bolivars,Bolivia,United States
145,2,1930,16165079,1,Bolivars,Bolivia,United States
145,2,1931,7515112,1,Bolivars,Bolivia,United States
145,2,1932,5381897,1,Bolivars,Bolivia,United States
145,2,1933,12446267,1,Bolivars,Bolivia,United States
145,2,1934,24508169,1,Bolivars,Bolivia,United States
145,2,1935,17664946,1,Bolivars,Bolivia,United States
145,2,1936,16196183,1,Bolivars,Bolivia,United States
145,2,1937,16428890,1,Bolivars,Bolivia,United States
145,2,1938,17960602,1,Bolivares 18 P,Bolivia,United States
145,2,1939,14671263,1,Bolivares 18 P,Bolivia,United States
145,2,1940,49227479,1,Bolivares 18 P,Bolivia,United States
145,2,1941,43131390,1,Bolivares 18 D.,Bolivia,United States
145,2,1942,49856533,1,Bolivares 18 D.,Bolivia,United States
145,2,1944,47006393,1,Bolivares 18 D.,Bolivia,United States
145,2,1946,63186824,1,Bolivares 18 D.,Bolivia,United States
145,2,1947,29434340,1,Us $,Bolivia,United States
145,2,1948,33777067,1,Us $,Bolivia,United States
145,2,1949,40958341,1,Us $,Bolivia,United States
145,6,1916,0,1,,Bolivia,Puerto Rico
145,6,1917,0,1,,Bolivia,Puerto Rico
145,6,1918,0,1,,Bolivia,Puerto Rico
145,6,1919,0,1,,Bolivia,Puerto Rico
145,6,1920,0,1,,Bolivia,Puerto Rico
145,6,1921,0,1,,Bolivia,Puerto Rico
145,6,1922,0,1,,Bolivia,Puerto Rico
145,6,1923,0,1,,Bolivia,Puerto Rico
145,6,1924,0,1,,Bolivia,Puerto Rico
145,6,1925,0,1,,Bolivia,Puerto Rico
145,6,1926,0,1,Bolivars,Bolivia,Puerto Rico
145,6,1927,0,1,Bolivars,Bolivia,Puerto Rico
145,6,1928,0,1,Bolivars,Bolivia,Puerto Rico
145,6,1929,0,1,Bolivars,Bolivia,Puerto Rico
145,6,1930,0,1,Bolivars,Bolivia,Puerto Rico
145,6,1931,0,1,Bolivars,Bolivia,Puerto Rico
145,6,1932,0,1,Bolivars,Bolivia,Puerto Rico
145,6,1933,0,1,Bolivars,Bolivia,Puerto Rico
145,6,1934,0,1,Bolivars,Bolivia,Puerto Rico
145,6,1935,2028,1,Bolivars,Bolivia,Puerto Rico
145,6,1936,0,1,Bolivars,Bolivia,Puerto Rico
145,6,1937,0,1,Bolivars,Bolivia,Puerto Rico
145,6,1938,0,1,Bolivares 18 P,Bolivia,Puerto Rico
145,6,1939,0,1,Bolivares 18 P,Bolivia,Puerto Rico
145,6,1940,0,1,Bolivares 18 P,Bolivia,Puerto Rico
145,6,1941,0,1,Bolivares 18 D.,Bolivia,Puerto Rico
145,6,1942,0,1,Bolivares 18 D.,Bolivia,Puerto Rico
145,6,1944,0,1,Bolivares 18 D.,Bolivia,Puerto Rico
145,6,1946,0,1,Bolivares 18 D.,Bolivia,Puerto Rico
145,6,1947,18,1,Us $,Bolivia,Puerto Rico
145,6,1948,0,1,Us $,Bolivia,Puerto Rico
145,6,1949,0,1,Us $,Bolivia,Puerto Rico
145,20,1916,0,1,,Bolivia,Canada
145,20,1917,0,1,,Bolivia,Canada
145,20,1918,0,1,,Bolivia,Canada
145,20,1919,877,1,,Bolivia,Canada
145,20,1920,53,1,,Bolivia,Canada
145,20,1921,1074,1,,Bolivia,Canada
145,20,1922,0,1,,Bolivia,Canada
145,20,1923,3448,1,,Bolivia,Canada
145,20,1924,5113.99,1,,Bolivia,Canada
145,20,1925,442.5,1,,Bolivia,Canada
145,20,1926,3497.87,1,Bolivars,Bolivia,Canada
145,20,1927,762.37,1,Bolivars,Bolivia,Canada
145,20,1928,7260,1,Bolivars,Bolivia,Canada
145,20,1929,7905,1,Bolivars,Bolivia,Canada
145,20,1930,27413,1,Bolivars,Bolivia,Canada
145,20,1931,156280,1,Bolivars,Bolivia,Canada
145,20,1932,560,1,Bolivars,Bolivia,Canada
145,20,1933,6496,1,Bolivars,Bolivia,Canada
145,20,1934,1819,1,Bolivars,Bolivia,Canada
145,20,1935,84174,1,Bolivars,Bolivia,Canada
145,20,1936,70263,1,Bolivars,Bolivia,Canada
145,20,1937,13190,1,Bolivars,Bolivia,Canada
145,20,1938,7191,1,Bolivares 18 P,Bolivia,Canada
145,20,1939,3036,1,Bolivares 18 P,Bolivia,Canada
145,20,1940,19586,1,Bolivares 18 P,Bolivia,Canada
145,20,1941,48399,1,Bolivares 18 D.,Bolivia,Canada
145,20,1942,17026,1,Bolivares 18 D.,Bolivia,Canada
145,20,1944,24299,1,Bolivares 18 D.,Bolivia,Canada
145,20,1946,115708,1,Bolivares 18 D.,Bolivia,Canada
145,20,1947,71306,1,Us $,Bolivia,Canada
145,20,1948,171526,1,Us $,Bolivia,Canada
145,20,1949,350272,1,Us $,Bolivia,Canada
145,40,1916,13415,1,,Bolivia,Cuba
145,40,1917,9402,1,,Bolivia,Cuba
145,40,1918,13580,1,,Bolivia,Cuba
145,40,1919,48918,1,,Bolivia,Cuba
145,40,1920,60102,1,,Bolivia,Cuba
145,40,1921,115975,1,,Bolivia,Cuba
145,40,1922,52764,1,,Bolivia,Cuba
145,40,1923,29818,1,,Bolivia,Cuba
145,40,1924,83845.28999999999,1,,Bolivia,Cuba
145,40,1925,26450.14,1,,Bolivia,Cuba
145,40,1926,38667.73,1,Bolivars,Bolivia,Cuba
145,40,1927,34566.81,1,Bolivars,Bolivia,Cuba
145,40,1928,17650,1,Bolivars,Bolivia,Cuba
145,40,1929,51277,1,Bolivars,Bolivia,Cuba
145,40,1930,26732,1,Bolivars,Bolivia,Cuba
145,40,1931,4456,1,Bolivars,Bolivia,Cuba
145,40,1932,13605,1,Bolivars,Bolivia,Cuba
145,40,1933,3959,1,Bolivars,Bolivia,Cuba
145,40,1934,6256,1,Bolivars,Bolivia,Cuba
145,40,1935,7001,1,Bolivars,Bolivia,Cuba
145,40,1936,3214,1,Bolivars,Bolivia,Cuba
145,40,1937,3644,1,Bolivars,Bolivia,Cuba
145,40,1938,9982,1,Bolivares 18 P,Bolivia,Cuba
145,40,1939,8076,1,Bolivares 18 P,Bolivia,Cuba
145,40,1940,5665,1,Bolivares 18 P,Bolivia,Cuba
145,40,1941,17318,1,Bolivares 18 D.,Bolivia,Cuba
145,40,1942,13527,1,Bolivares 18 D.,Bolivia,Cuba
145,40,1944,25219,1,Bolivares 18 D.,Bolivia,Cuba
145,40,1946,4651374,1,Bolivares 18 D.,Bolivia,Cuba
145,40,1947,22702,1,Us $,Bolivia,Cuba
145,40,1948,861615,1,Us $,Bolivia,Cuba
145,40,1949,49749,1,Us $,Bolivia,Cuba
145,41,1916,0,1,,Bolivia,Haiti
145,41,1917,0,1,,Bolivia,Haiti
145,41,1918,0,1,,Bolivia,Haiti
145,41,1919,0,1,,Bolivia,Haiti
145,41,1920,0,1,,Bolivia,Haiti
145,41,1921,0,1,,Bolivia,Haiti
145,41,1922,0,1,,Bolivia,Haiti
145,41,1923,0,1,,Bolivia,Haiti
145,41,1924,0,1,,Bolivia,Haiti
145,41,1925,0,1,,Bolivia,Haiti
145,41,1926,0,1,Bolivars,Bolivia,Haiti
145,41,1927,0,1,Bolivars,Bolivia,Haiti
145,41,1928,547,1,Bolivars,Bolivia,Haiti
145,41,1929,0,1,Bolivars,Bolivia,Haiti
145,41,1930,0,1,Bolivars,Bolivia,Haiti
145,41,1931,0,1,Bolivars,Bolivia,Haiti
145,41,1932,0,1,Bolivars,Bolivia,Haiti
145,41,1933,0,1,Bolivars,Bolivia,Haiti
145,41,1934,0,1,Bolivars,Bolivia,Haiti
145,41,1935,0,1,Bolivars,Bolivia,Haiti
145,41,1936,0,1,Bolivars,Bolivia,Haiti
145,41,1937,0,1,Bolivars,Bolivia,Haiti
145,41,1938,0,1,Bolivares 18 P,Bolivia,Haiti
145,41,1939,0,1,Bolivares 18 P,Bolivia,Haiti
145,41,1940,0,1,Bolivares 18 P,Bolivia,Haiti
145,41,1941,35116,1,Bolivares 18 D.,Bolivia,Haiti
145,41,1942,2490,1,Bolivares 18 D.,Bolivia,Haiti
145,41,1944,0,1,Bolivares 18 D.,Bolivia,Haiti
145,41,1946,0,1,Bolivares 18 D.,Bolivia,Haiti
145,41,1947,0,1,Us $,Bolivia,Haiti
145,41,1948,0,1,Us $,Bolivia,Haiti
145,41,1949,1677,1,Us $,Bolivia,Haiti
145,51,1916,0,1,,Bolivia,Jamaica
145,51,1917,0,1,,Bolivia,Jamaica
145,51,1918,0,1,,Bolivia,Jamaica
145,51,1919,529,1,,Bolivia,Jamaica
145,51,1920,0,1,,Bolivia,Jamaica
145,51,1921,0,1,,Bolivia,Jamaica
145,51,1922,73,1,,Bolivia,Jamaica
145,51,1923,30,1,,Bolivia,Jamaica
145,51,1924,0,1,,Bolivia,Jamaica
145,51,1925,0,1,,Bolivia,Jamaica
145,51,1926,0,1,Bolivars,Bolivia,Jamaica
145,51,1927,0,1,Bolivars,Bolivia,Jamaica
145,51,1928,0,1,Bolivars,Bolivia,Jamaica
145,51,1929,0,1,Bolivars,Bolivia,Jamaica
145,51,1930,0,1,Bolivars,Bolivia,Jamaica
145,51,1931,0,1,Bolivars,Bolivia,Jamaica
145,51,1932,0,1,Bolivars,Bolivia,Jamaica
145,51,1933,0,1,Bolivars,Bolivia,Jamaica
145,51,1934,0,1,Bolivars,Bolivia,Jamaica
145,51,1935,0,1,Bolivars,Bolivia,Jamaica
145,51,1936,0,1,Bolivars,Bolivia,Jamaica
145,51,1937,0,1,Bolivars,Bolivia,Jamaica
145,51,1938,0,1,Bolivares 18 P,Bolivia,Jamaica
145,51,1939,0,1,Bolivares 18 P,Bolivia,Jamaica
145,51,1940,0,1,Bolivares 18 P,Bolivia,Jamaica
145,51,1941,0,1,Bolivares 18 D.,Bolivia,Jamaica
145,51,1942,0,1,Bolivares 18 D.,Bolivia,Jamaica
145,51,1944,0,1,Bolivares 18 D.,Bolivia,Jamaica
145,51,1946,0,1,Bolivares 18 D.,Bolivia,Jamaica
145,51,1947,0,1,Us $,Bolivia,Jamaica
145,51,1948,0,1,Us $,Bolivia,Jamaica
145,51,1949,274,1,Us $,Bolivia,Jamaica
145,68,1916,0,1,,Bolivia,Netherlands Antilles
145,68,1917,0,1,,Bolivia,Netherlands Antilles
145,68,1918,0,1,,Bolivia,Netherlands Antilles
145,68,1919,0,1,,Bolivia,Netherlands Antilles
145,68,1920,0,1,,Bolivia,Netherlands Antilles
145,68,1921,0,1,,Bolivia,Netherlands Antilles
145,68,1922,0,1,,Bolivia,Netherlands Antilles
145,68,1923,0,1,,Bolivia,Netherlands Antilles
145,68,1924,0,1,,Bolivia,Netherlands Antilles
145,68,1925,0,1,,Bolivia,Netherlands Antilles
145,68,1926,0,1,Bolivars,Bolivia,Netherlands Antilles
145,68,1927,0,1,Bolivars,Bolivia,Netherlands Antilles
145,68,1928,0,1,Bolivars,Bolivia,Netherlands Antilles
145,68,1929,0,1,Bolivars,Bolivia,Netherlands Antilles
145,68,1930,0,1,Bolivars,Bolivia,Netherlands Antilles
145,68,1931,0,1,Bolivars,Bolivia,Netherlands Antilles
145,68,1932,0,1,Bolivars,Bolivia,Netherlands Antilles
145,68,1933,0,1,Bolivars,Bolivia,Netherlands Antilles
145,68,1934,0,1,Bolivars,Bolivia,Netherlands Antilles
145,68,1935,0,1,Bolivars,Bolivia,Netherlands Antilles
145,68,1936,0,1,Bolivars,Bolivia,Netherlands Antilles
