ccode1,ccode2,year,imp,places,currency,country1,country2
110,2,1918,7252721,1,$,Guyana,United States
110,2,1919,5927202,1,$,Guyana,United States
110,2,1920,7537748,1,$,Guyana,United States
110,2,1921,3909543,1,$,Guyana,United States
110,2,1922,2222064,1,$,Guyana,United States
110,2,1923,2002710,1,$,Guyana,United States
110,2,1924,1891511,1,$,Guyana,United States
110,2,1925,2144314,1,,Guyana,United States
110,2,1926,1900762,1,,Guyana,United States
110,2,1927,1658819,1,,Guyana,United States
110,2,1928,1436803,1,,Guyana,United States
110,2,1929,1316183,1,,Guyana,United States
110,2,1930,1078637,1,,Guyana,United States
110,2,1931,848375,1,$,Guyana,United States
110,2,1932,561584,1,$,Guyana,United States
110,2,1933,547305,1,$,Guyana,United States
110,2,1934,619769,1,$,Guyana,United States
110,2,1935,803245,1,$,Guyana,United States
110,2,1936,823962,1,$,Guyana,United States
110,2,1937,1129439,1,$,Guyana,United States
110,2,1938,1209308,1,$,Guyana,United States
110,2,1939,1545249,1,$,Guyana,United States
110,2,1940,2675177,1,$,Guyana,United States
110,2,1941,3724770,1,$,Guyana,United States
110,2,1942,5799702,1,$,Guyana,United States
110,2,1944,5859449,1,,Guyana,United States
110,2,1945,5069817,1,,Guyana,United States
110,2,1946,4692299,1,,Guyana,United States
110,2,1947,10433083,1,$,Guyana,United States
110,2,1948,9706889,1,,Guyana,United States
110,2,1949,7308050,1,,Guyana,United States
110,4,1918,0,1,$,Guyana,Hawaii
110,4,1919,0,1,$,Guyana,Hawaii
110,4,1920,0,1,$,Guyana,Hawaii
110,4,1921,0,1,$,Guyana,Hawaii
110,4,1922,0,1,$,Guyana,Hawaii
110,4,1923,0,1,$,Guyana,Hawaii
110,4,1924,0,1,$,Guyana,Hawaii
110,4,1925,0,1,,Guyana,Hawaii
110,4,1926,0,1,,Guyana,Hawaii
110,4,1927,0,1,,Guyana,Hawaii
110,4,1928,0,1,,Guyana,Hawaii
110,4,1929,0,1,,Guyana,Hawaii
110,4,1930,0,1,,Guyana,Hawaii
110,4,1931,0,1,$,Guyana,Hawaii
110,4,1932,0,1,$,Guyana,Hawaii
110,4,1933,0,1,$,Guyana,Hawaii
110,4,1934,0,1,$,Guyana,Hawaii
110,4,1935,0,1,$,Guyana,Hawaii
110,4,1936,0,1,$,Guyana,Hawaii
110,4,1937,0,1,$,Guyana,Hawaii
110,4,1938,0,1,$,Guyana,Hawaii
110,4,1939,0,1,$,Guyana,Hawaii
110,4,1940,0,1,$,Guyana,Hawaii
110,4,1941,0,1,$,Guyana,Hawaii
110,4,1942,0,1,$,Guyana,Hawaii
110,4,1944,0,1,,Guyana,Hawaii
110,4,1945,209,1,,Guyana,Hawaii
110,4,1946,0,1,,Guyana,Hawaii
110,4,1947,0,1,$,Guyana,Hawaii
110,4,1948,0,1,,Guyana,Hawaii
110,4,1949,0,1,,Guyana,Hawaii
110,5,1918,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1919,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1920,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1921,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1922,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1923,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1924,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1925,0,1,,Guyana,"Virgin Islands, U.S."
110,5,1926,0,1,,Guyana,"Virgin Islands, U.S."
110,5,1927,0,1,,Guyana,"Virgin Islands, U.S."
110,5,1928,0,1,,Guyana,"Virgin Islands, U.S."
110,5,1929,0,1,,Guyana,"Virgin Islands, U.S."
110,5,1930,0,1,,Guyana,"Virgin Islands, U.S."
110,5,1931,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1932,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1933,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1934,39,1,$,Guyana,"Virgin Islands, U.S."
110,5,1935,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1936,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1937,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1938,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1939,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1940,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1941,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1942,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1944,0,1,,Guyana,"Virgin Islands, U.S."
110,5,1945,0,1,,Guyana,"Virgin Islands, U.S."
110,5,1946,0,1,,Guyana,"Virgin Islands, U.S."
110,5,1947,0,1,$,Guyana,"Virgin Islands, U.S."
110,5,1948,0,1,,Guyana,"Virgin Islands, U.S."
110,5,1949,0,1,,Guyana,"Virgin Islands, U.S."
110,6,1918,0,1,$,Guyana,Puerto Rico
110,6,1919,0,1,$,Guyana,Puerto Rico
110,6,1920,0,1,$,Guyana,Puerto Rico
110,6,1921,0,1,$,Guyana,Puerto Rico
110,6,1922,0,1,$,Guyana,Puerto Rico
110,6,1923,0,1,$,Guyana,Puerto Rico
110,6,1924,0,1,$,Guyana,Puerto Rico
110,6,1925,0,1,,Guyana,Puerto Rico
