ccode1,ccode2,year,imp,places,currency,country1,country2
80,2,1919,2945964,1,,Belize,United States
80,2,1920,3552054,1,,Belize,United States
80,2,1921,1887372,1,,Belize,United States
80,2,1922,1890690,1,$,Belize,United States
80,2,1923,1859506,1,$,Belize,United States
80,2,1924,1935198,1,$,Belize,United States
80,2,1925,2248389,1,$,Belize,United States
80,2,1926,2375428,1,$,Belize,United States
80,2,1927,2093237,1,$,Belize,United States
80,2,1928,1795669,1,$,Belize,United States
80,2,1929,1992670,1,$,Belize,United States
80,2,1930,1730051,1,$,Belize,United States
80,2,1931,1459006,1,$,Belize,United States
80,2,1932,815093,1,$,Belize,United States
80,2,1933,633900,1,$,Belize,United States
80,2,1934,684776,1,$,Belize,United States
80,2,1935,746257,1,$,Belize,United States
80,2,1936,950397,1,$,Belize,United States
80,2,1937,1236603,1,$,Belize,United States
80,2,1938,1232608,1,$,Belize,United States
80,2,1939,1146040,1,$,Belize,United States
80,2,1940,1187331,1,$,Belize,United States
80,2,1941,1610890,1,$,Belize,United States
80,2,1942,1970784,1,$,Belize,United States
80,2,1943,3114312,1,$,Belize,United States
80,2,1944,2984562,1,$,Belize,United States
80,2,1945,3730569,1,$,Belize,United States
80,2,1946,3507276,1,$,Belize,United States
80,2,1947,4847666,1,$,Belize,United States
80,2,1948,3490743,1,$,Belize,United States
80,4,1919,0,1,,Belize,Hawaii
80,4,1920,0,1,,Belize,Hawaii
80,4,1921,0,1,,Belize,Hawaii
80,4,1922,0,1,$,Belize,Hawaii
80,4,1923,0,1,$,Belize,Hawaii
80,4,1924,0,1,$,Belize,Hawaii
80,4,1925,0,1,$,Belize,Hawaii
80,4,1926,0,1,$,Belize,Hawaii
80,4,1927,0,1,$,Belize,Hawaii
80,4,1928,0,1,$,Belize,Hawaii
80,4,1929,0,1,$,Belize,Hawaii
80,4,1930,0,1,$,Belize,Hawaii
80,4,1931,0,1,$,Belize,Hawaii
80,4,1932,0,1,$,Belize,Hawaii
80,4,1933,0,1,$,Belize,Hawaii
80,4,1934,0,1,$,Belize,Hawaii
80,4,1935,0,1,$,Belize,Hawaii
80,4,1936,0,1,$,Belize,Hawaii
80,4,1937,140,1,$,Belize,Hawaii
80,4,1938,0,1,$,Belize,Hawaii
80,4,1939,0,1,$,Belize,Hawaii
80,4,1940,0,1,$,Belize,Hawaii
80,4,1941,0,1,$,Belize,Hawaii
80,4,1942,0,1,$,Belize,Hawaii
80,4,1943,0,1,$,Belize,Hawaii
80,4,1944,0,1,$,Belize,Hawaii
80,4,1945,0,1,$,Belize,Hawaii
80,4,1946,0,1,$,Belize,Hawaii
80,4,1947,0,1,$,Belize,Hawaii
80,4,1948,0,1,$,Belize,Hawaii
80,20,1919,0,1,,Belize,Canada
80,20,1920,0,1,,Belize,Canada
80,20,1921,143700,1,,Belize,Canada
80,20,1922,156750,1,$,Belize,Canada
80,20,1923,357788,1,$,Belize,Canada
80,20,1924,430248,1,$,Belize,Canada
80,20,1925,501030,1,$,Belize,Canada
80,20,1926,532392,1,$,Belize,Canada
80,20,1927,599105,1,$,Belize,Canada
80,20,1928,792411,1,$,Belize,Canada
80,20,1929,1105403,1,$,Belize,Canada
80,20,1930,1188837,1,$,Belize,Canada
80,20,1931,1289767,1,$,Belize,Canada
80,20,1932,704543,1,$,Belize,Canada
80,20,1933,326433,1,$,Belize,Canada
80,20,1934,200610,1,$,Belize,Canada
80,20,1935,263719,1,$,Belize,Canada
80,20,1936,268679,1,$,Belize,Canada
80,20,1937,325993,1,$,Belize,Canada
80,20,1938,322677,1,$,Belize,Canada
80,20,1939,253240,1,$,Belize,Canada
80,20,1940,356818,1,$,Belize,Canada
80,20,1941,287055,1,$,Belize,Canada
80,20,1942,146100,1,$,Belize,Canada
80,20,1943,247553,1,$,Belize,Canada
80,20,1944,439399,1,$,Belize,Canada
80,20,1945,1005145,1,$,Belize,Canada
80,20,1946,1434597,1,$,Belize,Canada
80,20,1947,1229320,1,$,Belize,Canada
80,20,1948,1183143,1,$,Belize,Canada
80,21,1919,0,1,,Belize,Newfoundland
80,21,1920,0,1,,Belize,Newfoundland
80,21,1921,0,1,,Belize,Newfoundland
80,21,1922,0,1,$,Belize,Newfoundland
80,21,1923,0,1,$,Belize,Newfoundland
80,21,1924,0,1,$,Belize,Newfoundland
80,21,1925,0,1,$,Belize,Newfoundland
80,21,1926,0,1,$,Belize,Newfoundland
80,21,1927,0,1,$,Belize,Newfoundland
80,21,1928,0,1,$,Belize,Newfoundland
80,21,1929,0,1,$,Belize,Newfoundland
80,21,1930,0,1,$,Belize,Newfoundland
80,21,1931,0,1,$,Belize,Newfoundland
80,21,1932,0,1,$,Belize,Newfoundland
80,21,1933,0,1,$,Belize,Newfoundland
80,21,1934,0,1,$,Belize,Newfoundland
80,21,1935,0,1,$,Belize,Newfoundland
80,21,1936,71,1,$,Belize,Newfoundland
80,21,1937,0,1,$,Belize,Newfoundland
80,21,1938,0,1,$,Belize,Newfoundland
80,21,1939,223,1,$,Belize,Newfoundland
80,21,1940,0,1,$,Belize,Newfoundland
80,21,1941,0,1,$,Belize,Newfoundland
80,21,1942,0,1,$,Belize,Newfoundland
80,21,1943,0,1,$,Belize,Newfoundland
80,21,1944,0,1,$,Belize,Newfoundland
80,21,1945,0,1,$,Belize,Newfoundland
80,21,1946,0,1,$,Belize,Newfoundland
80,21,1947,0,1,$,Belize,Newfoundland
80,21,1948,0,1,$,Belize,Newfoundland
80,30,1919,0,1,,Belize,Bermuda
80,30,1920,0,1,,Belize,Bermuda
80,30,1921,0,1,,Belize,Bermuda
80,30,1922,0,1,$,Belize,Bermuda
80,30,1923,0,1,$,Belize,Bermuda
80,30,1924,0,1,$,Belize,Bermuda
80,30,1925,0,1,$,Belize,Bermuda
80,30,1926,0,1,$,Belize,Bermuda
80,30,1927,0,1,$,Belize,Bermuda
80,30,1928,0,1,$,Belize,Bermuda
