ccode1,ccode2,year,imp,places,currency,country1,country2
820,2,1929,31839739,1,$,Malaysia,United States
820,2,1930,23429653,1,$,Malaysia,United States
820,2,1931,11518856,1,$,Malaysia,United States
820,2,1932,7290975,1,$,Malaysia,United States
820,2,1933,5568142,1,$,Malaysia,United States
820,2,1934,8257018,1,$,Malaysia,United States
820,2,1935,9120324,1,$,Malaysia,United States
820,2,1936,9361296,1,$,Malaysia,United States
820,2,1937,15907206,1,$,Malaysia,United States
820,3,1929,0,1,$,Malaysia,Alaska
820,3,1930,0,1,$,Malaysia,Alaska
820,3,1931,16859,1,$,Malaysia,Alaska
820,3,1932,13502,1,$,Malaysia,Alaska
820,3,1933,3972,1,$,Malaysia,Alaska
820,3,1934,11048,1,$,Malaysia,Alaska
820,3,1935,92611,1,$,Malaysia,Alaska
820,3,1936,21742,1,$,Malaysia,Alaska
820,3,1937,5931,1,$,Malaysia,Alaska
820,20,1929,2870250,1,$,Malaysia,Canada
820,20,1930,2554045,1,$,Malaysia,Canada
820,20,1931,1381324,1,$,Malaysia,Canada
820,20,1932,918206,1,$,Malaysia,Canada
820,20,1933,1057995,1,$,Malaysia,Canada
820,20,1934,2394186,1,$,Malaysia,Canada
820,20,1935,3437095,1,$,Malaysia,Canada
820,20,1936,2766342,1,$,Malaysia,Canada
820,20,1937,5332031,1,$,Malaysia,Canada
820,70,1929,0,1,$,Malaysia,Mexico
820,70,1930,0,1,$,Malaysia,Mexico
820,70,1931,999756,1,$,Malaysia,Mexico
820,70,1932,458004,1,$,Malaysia,Mexico
820,70,1933,340716,1,$,Malaysia,Mexico
820,70,1934,551508,1,$,Malaysia,Mexico
820,70,1935,515256,1,$,Malaysia,Mexico
820,70,1936,449194,1,$,Malaysia,Mexico
820,70,1937,503614,1,$,Malaysia,Mexico
820,135,1929,0,1,$,Malaysia,Peru
820,135,1930,0,1,$,Malaysia,Peru
820,135,1931,0,1,$,Malaysia,Peru
820,135,1932,0,1,$,Malaysia,Peru
820,135,1933,0,1,$,Malaysia,Peru
820,135,1934,18,1,$,Malaysia,Peru
820,135,1935,0,1,$,Malaysia,Peru
820,135,1936,0,1,$,Malaysia,Peru
820,135,1937,0,1,$,Malaysia,Peru
820,140,1929,227,1,$,Malaysia,Brazil
820,140,1930,55,1,$,Malaysia,Brazil
820,140,1931,2701,1,$,Malaysia,Brazil
820,140,1932,740,1,$,Malaysia,Brazil
820,140,1933,1938,1,$,Malaysia,Brazil
820,140,1934,9651,1,$,Malaysia,Brazil
820,140,1935,4565,1,$,Malaysia,Brazil
820,140,1936,13361,1,$,Malaysia,Brazil
820,140,1937,111706,1,$,Malaysia,Brazil
820,155,1929,0,1,$,Malaysia,Chile
820,155,1930,0,1,$,Malaysia,Chile
820,155,1931,0,1,$,Malaysia,Chile
820,155,1932,0,1,$,Malaysia,Chile
820,155,1933,0,1,$,Malaysia,Chile
820,155,1934,1409,1,$,Malaysia,Chile
820,155,1935,16324,1,$,Malaysia,Chile
820,155,1936,17895,1,$,Malaysia,Chile
820,155,1937,19940,1,$,Malaysia,Chile
820,160,1929,54353,1,$,Malaysia,Argentina
820,160,1930,157451,1,$,Malaysia,Argentina
820,160,1931,131972,1,$,Malaysia,Argentina
820,160,1932,113919,1,$,Malaysia,Argentina
820,160,1933,69588,1,$,Malaysia,Argentina
820,160,1934,96302,1,$,Malaysia,Argentina
820,160,1935,91941,1,$,Malaysia,Argentina
820,160,1936,47195,1,$,Malaysia,Argentina
820,160,1937,78837,1,$,Malaysia,Argentina
820,200,1929,143300994,1,$,Malaysia,United Kingdom
820,200,1930,97836710,1,$,Malaysia,United Kingdom
820,200,1931,62090132,1,$,Malaysia,United Kingdom
820,200,1932,55077961,1,$,Malaysia,United Kingdom
820,200,1933,50672354,1,$,Malaysia,United Kingdom
820,200,1934,67067239,1,$,Malaysia,United Kingdom
820,200,1935,75118426,1,$,Malaysia,United Kingdom
820,200,1936,76276422,1,$,Malaysia,United Kingdom
820,200,1937,105958900,1,$,Malaysia,United Kingdom
820,205,1929,322604,1,$,Malaysia,Ireland
820,205,1930,228094,1,$,Malaysia,Ireland
820,205,1931,140402,1,$,Malaysia,Ireland
820,205,1932,254322,1,$,Malaysia,Ireland
820,205,1933,223831,1,$,Malaysia,Ireland
820,205,1934,329146,1,$,Malaysia,Ireland
820,205,1935,324278,1,$,Malaysia,Ireland
820,205,1936,274067,1,$,Malaysia,Ireland
820,205,1937,370221,1,$,Malaysia,Ireland
820,210,1929,12129459,1,$,Malaysia,Netherlands
820,210,1930,8159302,1,$,Malaysia,Netherlands
820,210,1931,6134667,1,$,Malaysia,Netherlands
820,210,1932,4584878,1,$,Malaysia,Netherlands
820,210,1933,2978310,1,$,Malaysia,Netherlands
820,210,1934,3491860,1,$,Malaysia,Netherlands
820,210,1935,4066294,1,$,Malaysia,Netherlands
820,210,1936,4227943,1,$,Malaysia,Netherlands
820,210,1937,5117518,1,$,Malaysia,Netherlands
820,211,1929,5224150,1,$,Malaysia,Belgium
820,211,1930,2700470,1,$,Malaysia,Belgium
820,211,1931,1601165,1,$,Malaysia,Belgium
820,211,1932,1343941,1,$,Malaysia,Belgium
820,211,1933,1632767,1,$,Malaysia,Belgium
820,211,1934,1995036,1,$,Malaysia,Belgium
820,211,1935,2274440,1,$,Malaysia,Belgium
820,211,1936,2609521,1,$,Malaysia,Belgium
820,211,1937,5910411,1,$,Malaysia,Belgium
820,212,1929,0,1,$,Malaysia,Luxembourg
820,212,1930,0,1,$,Malaysia,Luxembourg
820,212,1931,222433,1,$,Malaysia,Luxembourg
820,212,1932,103185,1,$,Malaysia,Luxembourg
820,212,1933,62936,1,$,Malaysia,Luxembourg
820,212,1934,132581,1,$,Malaysia,Luxembourg
820,212,1935,218676,1,$,Malaysia,Luxembourg
820,212,1936,201192,1,$,Malaysia,Luxembourg
820,212,1937,1071852,1,$,Malaysia,Luxembourg
820,220,1929,9496836,1,$,Malaysia,France
820,220,1930,6433391,1,$,Malaysia,France
820,220,1931,3774753,1,$,Malaysia,France
820,220,1932,1655293,1,$,Malaysia,France
820,220,1933,1424545,1,$,Malaysia,France
820,220,1934,2086281,1,$,Malaysia,France
820,220,1935,2286647,1,$,Malaysia,France
820,220,1936,2213134,1,$,Malaysia,France
820,220,1937,3333785,1,$,Malaysia,France
820,225,1929,5707975,1,$,Malaysia,Switzerland
820,225,1930,3634718,1,$,Malaysia,Switzerland
820,225,1931,2323530,1,$,Malaysia,Switzerland
820,225,1932,1545926,1,$,Malaysia,Switzerland
820,225,1933,676287,1,$,Malaysia,Switzerland
820,225,1934,536622,1,$,Malaysia,Switzerland
820,225,1935,715477,1,$,Malaysia,Switzerland
820,225,1936,697171,1,$,Malaysia,Switzerland
820,225,1937,800211,1,$,Malaysia,Switzerland
820,230,1929,100351,1,$,Malaysia,Spain
820,230,1930,192611,1,$,Malaysia,Spain
820,230,1931,102642,1,$,Malaysia,Spain
820,230,1932,121853,1,$,Malaysia,Spain
820,230,1933,112908,1,$,Malaysia,Spain
820,230,1934,86070,1,$,Malaysia,Spain
820,230,1935,127438,1,$,Malaysia,Spain
820,230,1936,153346,1,$,Malaysia,Spain
820,230,1937,132375,1,$,Malaysia,Spain
820,235,1929,0,1,$,Malaysia,Portugal
820,235,1930,43913,1,$,Malaysia,Portugal
820,235,1931,43661,1,$,Malaysia,Portugal
820,235,1932,35188,1,$,Malaysia,Portugal
820,235,1933,44749,1,$,Malaysia,Portugal
820,235,1934,67037,1,$,Malaysia,Portugal
820,235,1935,71905,1,$,Malaysia,Portugal
820,235,1936,80069,1,$,Malaysia,Portugal
820,235,1937,90795,1,$,Malaysia,Portugal
820,255,1929,19415073,1,$,Malaysia,Germany
820,255,1930,9428836,1,$,Malaysia,Germany
820,255,1931,4727103,1,$,Malaysia,Germany
820,255,1932,5914714,1,$,Malaysia,Germany
820,255,1933,5461696,1,$,Malaysia,Germany
820,255,1934,5956685,1,$,Malaysia,Germany
820,255,1935,6973793,1,$,Malaysia,Germany
820,255,1936,9015244,1,$,Malaysia,Germany
820,255,1937,13294863,1,$,Malaysia,Germany
820,290,1929,0,1,$,Malaysia,Poland
820,290,1930,29114,1,$,Malaysia,Poland
820,290,1931,20521,1,$,Malaysia,Poland
820,290,1932,19836,1,$,Malaysia,Poland
820,290,1933,29103,1,$,Malaysia,Poland
820,290,1934,113240,1,$,Malaysia,Poland
820,290,1935,127838,1,$,Malaysia,Poland
820,290,1936,227011,1,$,Malaysia,Poland
820,290,1937,427307,1,$,Malaysia,Poland
820,305,1929,525371,1,$,Malaysia,Austria
820,305,1930,490230,1,$,Malaysia,Austria
820,305,1931,322869,1,$,Malaysia,Austria
820,305,1932,202063,1,$,Malaysia,Austria
820,305,1933,197614,1,$,Malaysia,Austria
820,305,1934,255865,1,$,Malaysia,Austria
820,305,1935,251427,1,$,Malaysia,Austria
820,305,1936,297304,1,$,Malaysia,Austria
820,305,1937,683192,1,$,Malaysia,Austria
820,310,1929,3533,1,$,Malaysia,Hungary
820,310,1930,8260,1,$,Malaysia,Hungary
820,310,1931,14061,1,$,Malaysia,Hungary
820,310,1932,8728,1,$,Malaysia,Hungary
820,310,1933,13355,1,$,Malaysia,Hungary
820,310,1934,22726,1,$,Malaysia,Hungary
820,310,1935,33177,1,$,Malaysia,Hungary
820,310,1936,116732,1,$,Malaysia,Hungary
820,310,1937,217823,1,$,Malaysia,Hungary
820,315,1929,992194,1,$,Malaysia,Czechoslovakia
820,315,1930,419430,1,$,Malaysia,Czechoslovakia
820,315,1931,297834,1,$,Malaysia,Czechoslovakia
820,315,1932,385283,1,$,Malaysia,Czechoslovakia
820,315,1933,372964,1,$,Malaysia,Czechoslovakia
820,315,1934,561252,1,$,Malaysia,Czechoslovakia
820,315,1935,738165,1,$,Malaysia,Czechoslovakia
820,315,1936,902949,1,$,Malaysia,Czechoslovakia
820,315,1937,2013146,1,$,Malaysia,Czechoslovakia
820,325,1929,9118727,1,$,Malaysia,Italy
820,325,1930,4758019,1,$,Malaysia,Italy
820,325,1931,2489375,1,$,Malaysia,Italy
820,325,1932,1465981,1,$,Malaysia,Italy
820,325,1933,933606,1,$,Malaysia,Italy
820,325,1934,1806150,1,$,Malaysia,Italy
820,325,1935,2089785,1,$,Malaysia,Italy
820,325,1936,752265,1,$,Malaysia,Italy
820,325,1937,2562981,1,$,Malaysia,Italy
820,345,1929,0,1,$,Malaysia,Yugoslavia
820,345,1930,100743,1,$,Malaysia,Yugoslavia
820,345,1931,63533,1,$,Malaysia,Yugoslavia
820,345,1932,27039,1,$,Malaysia,Yugoslavia
820,345,1933,38974,1,$,Malaysia,Yugoslavia
820,345,1934,60137,1,$,Malaysia,Yugoslavia
820,345,1935,51892,1,$,Malaysia,Yugoslavia
820,345,1936,48422,1,$,Malaysia,Yugoslavia
820,345,1937,163120,1,$,Malaysia,Yugoslavia
820,350,1929,0,1,$,Malaysia,Greece
820,350,1930,1800,1,$,Malaysia,Greece
820,350,1931,1013,1,$,Malaysia,Greece
820,350,1932,538,1,$,Malaysia,Greece
820,350,1933,6729,1,$,Malaysia,Greece
820,350,1934,6947,1,$,Malaysia,Greece
820,350,1935,2051,1,$,Malaysia,Greece
820,350,1936,2075,1,$,Malaysia,Greece
820,350,1937,2020,1,$,Malaysia,Greece
820,360,1929,0,1,$,Malaysia,Romania
820,360,1930,0,1,$,Malaysia,Romania
820,360,1931,0,1,$,Malaysia,Romania
820,360,1932,0,1,$,Malaysia,Romania
820,360,1933,0,1,$,Malaysia,Romania
820,360,1934,0,1,$,Malaysia,Romania
820,360,1935,0,1,$,Malaysia,Romania
820,360,1936,0,1,$,Malaysia,Romania
820,360,1937,0,1,$,Malaysia,Romania
820,365,1929,1883,1,$,Malaysia,Russia
820,365,1930,34136,1,$,Malaysia,Russia
820,365,1931,80953,1,$,Malaysia,Russia
820,365,1932,374459,1,$,Malaysia,Russia
820,365,1933,467925,1,$,Malaysia,Russia
820,365,1934,276634,1,$,Malaysia,Russia
820,365,1935,115577,1,$,Malaysia,Russia
820,365,1936,319121,1,$,Malaysia,Russia
820,365,1937,170214,1,$,Malaysia,Russia
820,366,1929,0,1,$,Malaysia,Estonia
820,366,1930,0,1,$,Malaysia,Estonia
820,366,1931,75094,1,$,Malaysia,Estonia
820,366,1932,65514,1,$,Malaysia,Estonia
820,366,1933,38190,1,$,Malaysia,Estonia
820,366,1934,106211,1,$,Malaysia,Estonia
820,366,1935,90365,1,$,Malaysia,Estonia
820,366,1936,38916,1,$,Malaysia,Estonia
820,366,1937,18696,1,$,Malaysia,Estonia
820,367,1929,0,1,$,Malaysia,Latvia
820,367,1930,89706,1,$,Malaysia,Latvia
820,367,1931,0,1,$,Malaysia,Latvia
820,367,1932,0,1,$,Malaysia,Latvia
820,367,1933,0,1,$,Malaysia,Latvia
820,367,1934,0,1,$,Malaysia,Latvia
820,367,1935,0,1,$,Malaysia,Latvia
820,367,1936,0,1,$,Malaysia,Latvia
820,367,1937,0,1,$,Malaysia,Latvia
820,375,1929,0,1,$,Malaysia,Finland
820,375,1930,1183791,1,$,Malaysia,Finland
820,375,1931,1296040,1,$,Malaysia,Finland
820,375,1932,585478,1,$,Malaysia,Finland
820,375,1933,480530,1,$,Malaysia,Finland
820,375,1934,698472,1,$,Malaysia,Finland
820,375,1935,609238,1,$,Malaysia,Finland
820,375,1936,453762,1,$,Malaysia,Finland
820,375,1937,706662,1,$,Malaysia,Finland
820,380,1929,2020747,1,$,Malaysia,Sweden
820,380,1930,1160200,1,$,Malaysia,Sweden
820,380,1931,571977,1,$,Malaysia,Sweden
820,380,1932,903072,1,$,Malaysia,Sweden
820,380,1933,644227,1,$,Malaysia,Sweden
820,380,1934,652923,1,$,Malaysia,Sweden
820,380,1935,706807,1,$,Malaysia,Sweden
820,380,1936,623457,1,$,Malaysia,Sweden
820,380,1937,1044685,1,$,Malaysia,Sweden
820,385,1929,823465,1,$,Malaysia,Norway
820,385,1930,703908,1,$,Malaysia,Norway
820,385,1931,555622,1,$,Malaysia,Norway
820,385,1932,613989,1,$,Malaysia,Norway
820,385,1933,411624,1,$,Malaysia,Norway
820,385,1934,381048,1,$,Malaysia,Norway
820,385,1935,409698,1,$,Malaysia,Norway
820,385,1936,413365,1,$,Malaysia,Norway
820,385,1937,736611,1,$,Malaysia,Norway
820,390,1929,1738904,1,$,Malaysia,Denmark
820,390,1930,1468314,1,$,Malaysia,Denmark
820,390,1931,713371,1,$,Malaysia,Denmark
820,390,1932,1069856,1,$,Malaysia,Denmark
820,390,1933,648733,1,$,Malaysia,Denmark
820,390,1934,587590,1,$,Malaysia,Denmark
820,390,1935,505812,1,$,Malaysia,Denmark
820,390,1936,473843,1,$,Malaysia,Denmark
820,390,1937,575214,1,$,Malaysia,Denmark
820,511,1929,0,1,$,Malaysia,Zanzibar
820,511,1930,0,1,$,Malaysia,Zanzibar
820,511,1931,138558,1,$,Malaysia,Zanzibar
820,511,1932,88013,1,$,Malaysia,Zanzibar
820,511,1933,56941,1,$,Malaysia,Zanzibar
820,511,1934,44805,1,$,Malaysia,Zanzibar
820,511,1935,36145,1,$,Malaysia,Zanzibar
820,511,1936,19822,1,$,Malaysia,Zanzibar
820,511,1937,63375,1,$,Malaysia,Zanzibar
820,541,1929,0,1,$,Malaysia,Mozambique
820,541,1930,0,1,$,Malaysia,Mozambique
820,541,1931,0,1,$,Malaysia,Mozambique
820,541,1932,0,1,$,Malaysia,Mozambique
820,541,1933,0,1,$,Malaysia,Mozambique
820,541,1934,14148,1,$,Malaysia,Mozambique
820,541,1935,360,1,$,Malaysia,Mozambique
820,541,1936,0,1,$,Malaysia,Mozambique
820,541,1937,0,1,$,Malaysia,Mozambique
820,560,1929,3889243,1,$,Malaysia,South Africa
820,560,1930,2530414,1,$,Malaysia,South Africa
820,560,1931,1309192,1,$,Malaysia,South Africa
820,560,1932,1832018,1,$,Malaysia,South Africa
820,560,1933,2038613,1,$,Malaysia,South Africa
820,560,1934,2126090,1,$,Malaysia,South Africa
820,560,1935,2719164,1,$,Malaysia,South Africa
820,560,1936,2227551,1,$,Malaysia,South Africa
820,560,1937,1543503,1,$,Malaysia,South Africa
820,590,1929,60015,1,$,Malaysia,Mauritius
820,590,1930,434,1,$,Malaysia,Mauritius
820,590,1931,0,1,$,Malaysia,Mauritius
820,590,1932,9,1,$,Malaysia,Mauritius
820,590,1933,3656,1,$,Malaysia,Mauritius
820,590,1934,0,1,$,Malaysia,Mauritius
820,590,1935,0,1,$,Malaysia,Mauritius
820,590,1936,2538,1,$,Malaysia,Mauritius
820,590,1937,2202,1,$,Malaysia,Mauritius
820,630,1929,0,1,$,Malaysia,Iran
820,630,1930,0,1,$,Malaysia,Iran
820,630,1931,126085,1,$,Malaysia,Iran
820,630,1932,275164,1,$,Malaysia,Iran
820,630,1933,1297458,1,$,Malaysia,Iran
820,630,1934,3023971,1,$,Malaysia,Iran
820,630,1935,5682204,1,$,Malaysia,Iran
820,630,1936,6197587,1,$,Malaysia,Iran
820,630,1937,4184645,1,$,Malaysia,Iran
820,640,1929,29342,1,$,Malaysia,Turkey
820,640,1930,0,1,$,Malaysia,Turkey
820,640,1931,63193,1,$,Malaysia,Turkey
820,640,1932,134,1,$,Malaysia,Turkey
820,640,1933,315,1,$,Malaysia,Turkey
820,640,1934,1094,1,$,Malaysia,Turkey
820,640,1935,1967,1,$,Malaysia,Turkey
820,640,1936,559,1,$,Malaysia,Turkey
820,640,1937,1343,1,$,Malaysia,Turkey
820,641,1929,0,1,$,Malaysia,Turkey in Europe
820,641,1930,123,1,$,Malaysia,Turkey in Europe
820,641,1931,0,1,$,Malaysia,Turkey in Europe
820,641,1932,0,1,$,Malaysia,Turkey in Europe
820,641,1933,0,1,$,Malaysia,Turkey in Europe
820,641,1934,0,1,$,Malaysia,Turkey in Europe
820,641,1935,0,1,$,Malaysia,Turkey in Europe
820,641,1936,0,1,$,Malaysia,Turkey in Europe
820,641,1937,0,1,$,Malaysia,Turkey in Europe
820,651,1929,724570,1,$,Malaysia,Egypt
820,651,1930,780208,1,$,Malaysia,Egypt
820,651,1931,403891,1,$,Malaysia,Egypt
820,651,1932,245754,1,$,Malaysia,Egypt
820,651,1933,314497,1,$,Malaysia,Egypt
820,651,1934,413462,1,$,Malaysia,Egypt
820,651,1935,316452,1,$,Malaysia,Egypt
820,651,1936,328163,1,$,Malaysia,Egypt
820,651,1937,748200,1,$,Malaysia,Egypt
820,665,1929,0,1,$,Malaysia,West Bank And Gaza
820,665,1930,0,1,$,Malaysia,West Bank And Gaza
820,665,1931,24837,1,$,Malaysia,West Bank And Gaza
820,665,1932,17806,1,$,Malaysia,West Bank And Gaza
820,665,1933,24977,1,$,Malaysia,West Bank And Gaza
820,665,1934,25362,1,$,Malaysia,West Bank And Gaza
820,665,1935,44565,1,$,Malaysia,West Bank And Gaza
820,665,1936,38685,1,$,Malaysia,West Bank And Gaza
820,665,1937,97403,1,$,Malaysia,West Bank And Gaza
820,675,1929,200593,1,$,Malaysia,Arabia
820,675,1930,171020,1,$,Malaysia,Arabia
820,675,1931,84589,1,$,Malaysia,Arabia
820,675,1932,78857,1,$,Malaysia,Arabia
820,675,1933,46505,1,$,Malaysia,Arabia
820,675,1934,39986,1,$,Malaysia,Arabia
820,675,1935,67991,1,$,Malaysia,Arabia
820,675,1936,98675,1,$,Malaysia,Arabia
820,675,1937,136828,1,$,Malaysia,Arabia
820,710,1929,40795441,1,$,Malaysia,China
820,710,1930,36235029,1,$,Malaysia,China
820,710,1931,29730786,1,$,Malaysia,China
820,710,1932,22182596,1,$,Malaysia,China
820,710,1933,19881701,1,$,Malaysia,China
820,710,1934,22465691,1,$,Malaysia,China
820,710,1935,20415900,1,$,Malaysia,China
820,710,1936,22056996,1,$,Malaysia,China
820,710,1937,27611609,1,$,Malaysia,China
820,720,1929,28331050,1,$,Malaysia,Hong Kong
820,720,1930,14789713,1,$,Malaysia,Hong Kong
820,720,1931,4958318,1,$,Malaysia,Hong Kong
820,720,1932,3502187,1,$,Malaysia,Hong Kong
820,720,1933,3655169,1,$,Malaysia,Hong Kong
820,720,1934,5334725,1,$,Malaysia,Hong Kong
820,720,1935,3841039,1,$,Malaysia,Hong Kong
820,720,1936,5108612,1,$,Malaysia,Hong Kong
820,720,1937,8235562,1,$,Malaysia,Hong Kong
820,740,1929,23189934,1,$,Malaysia,Japan
820,740,1930,24935366,1,$,Malaysia,Japan
820,740,1931,17895061,1,$,Malaysia,Japan
820,740,1932,17021973,1,$,Malaysia,Japan
820,740,1933,26592862,1,$,Malaysia,Japan
820,740,1934,37501791,1,$,Malaysia,Japan
820,740,1935,30405425,1,$,Malaysia,Japan
820,740,1936,32541991,1,$,Malaysia,Japan
820,740,1937,40481635,1,$,Malaysia,Japan
820,751,1929,2268341,1,$,Malaysia,French India
820,751,1930,1378478,1,$,Malaysia,French India
820,751,1931,1026149,1,$,Malaysia,French India
820,751,1932,1126504,1,$,Malaysia,French India
820,751,1933,855232,1,$,Malaysia,French India
820,751,1934,520058,1,$,Malaysia,French India
820,751,1935,539413,1,$,Malaysia,French India
820,751,1936,459830,1,$,Malaysia,French India
820,751,1937,612768,1,$,Malaysia,French India
820,775,1929,0,1,$,Malaysia,Myanmar
820,775,1930,0,1,$,Malaysia,Myanmar
820,775,1931,23555547,1,$,Malaysia,Myanmar
820,775,1932,18576988,1,$,Malaysia,Myanmar
820,775,1933,17237456,1,$,Malaysia,Myanmar
820,775,1934,16294997,1,$,Malaysia,Myanmar
820,775,1935,21323567,1,$,Malaysia,Myanmar
820,775,1936,20879675,1,$,Malaysia,Myanmar
