ccode1,ccode2,year,imp,places,currency,country1,country2
140,2,1902,57676248,,,Brazil,United States
140,2,1903,54929987,,,Brazil,United States
140,2,1904,57114305,,,Brazil,United States
140,2,1905,47092562,,,Brazil,United States
140,2,1906,57207062,,,Brazil,United States
140,2,1907,82309398,,,Brazil,United States
140,2,1908,68703448,,,Brazil,United States
140,2,1909,73410928,,,Brazil,United States
140,2,1910,91678539,,,Brazil,United States
140,2,1911,105865208,,,Brazil,United States
140,2,1912,148485544,,,Brazil,United States
140,2,1913,158301488,1000,,Brazil,United States
140,2,1914,101949252,1000,,Brazil,United States
140,2,1915,187873,1000,,Brazil,United States
140,2,1916,317661,1000,,Brazil,United States
140,2,1917,394890,1000,,Brazil,United States
140,2,1918,355931,1000,,Brazil,United States
140,2,1919,640316,1000,,Brazil,United States
140,2,1920,880237,1000,,Brazil,United States
140,2,1921,527085,1000,,Brazil,United States
140,2,1922,378927,1000,,Brazil,United States
140,2,1923,505765,1000,,Brazil,United States
140,2,1924,674662,1000,,Brazil,United States
140,2,1925,838222,1000,,Brazil,United States
140,2,1926,793807,1000,Contos De Reis,Brazil,United States
140,2,1927,939072,1000,Contos De Reis,Brazil,United States
140,2,1928,981710,1000,Contos De Reis,Brazil,United States
140,2,1929,1063100,1000,Contos De Reis,Brazil,United States
140,2,1930,566184,1000,Contos De Reis,Brazil,United States
140,2,1931,472436,1000,,Brazil,United States
140,2,1932,456912,1000,,Brazil,United States
140,2,1933,455400,1000,Contos De Reis,Brazil,United States
140,2,1934,590901,1000,Contos De Reis,Brazil,United States
140,2,1935,897587,1000,Contos De Reis,Brazil,United States
140,2,1936,945735,1000,Contos De Reis,Brazil,United States
140,2,1937,1228503,1000,Contos De Reis,Brazil,United States
140,2,1938,1257926,1000,Contos De Reis,Brazil,United States
140,2,1939,1672259,1000,Contos De Reis,Brazil,United States
140,2,1940,2574689,1000,Contos De Reis,Brazil,United States
140,2,1941,3325185,1000,Cr$ Thousands,Brazil,United States
140,2,1942,2539840,1000,Cr$ Thousands,Brazil,United States
140,2,1943,3309843,1000,Cr$ Thousands,Brazil,United States
140,2,1944,4894619,1000,Cr$ Thousands,Brazil,United States
140,2,1945,4749037,1000,Cr$ Thousands,Brazil,United States
140,2,1946,7583485,1000,Cr$ Thousands,Brazil,United States
140,2,1947,13975157,1000,Cr$ Thousands,Brazil,United States
140,2,1948,10875787,1000,Cr$ Thousands,Brazil,United States
140,2,1949,8770353,1000,,Brazil,United States
140,6,1913,0,1000,,Brazil,Puerto Rico
140,6,1914,0,1000,,Brazil,Puerto Rico
140,6,1915,0,1000,,Brazil,Puerto Rico
140,6,1916,0,1000,,Brazil,Puerto Rico
140,6,1917,0,1000,,Brazil,Puerto Rico
140,6,1918,0,1000,,Brazil,Puerto Rico
140,6,1919,0,1000,,Brazil,Puerto Rico
140,6,1920,0,1000,,Brazil,Puerto Rico
140,6,1921,0,1000,,Brazil,Puerto Rico
140,6,1922,0,1000,,Brazil,Puerto Rico
140,6,1923,0,1000,,Brazil,Puerto Rico
140,6,1924,0,1000,,Brazil,Puerto Rico
140,6,1925,0,1000,,Brazil,Puerto Rico
140,6,1926,0,1000,Contos De Reis,Brazil,Puerto Rico
140,6,1927,0,1000,Contos De Reis,Brazil,Puerto Rico
140,6,1928,0,1000,Contos De Reis,Brazil,Puerto Rico
140,6,1929,0,1000,Contos De Reis,Brazil,Puerto Rico
140,6,1930,0,1000,Contos De Reis,Brazil,Puerto Rico
140,6,1931,0,1000,,Brazil,Puerto Rico
140,6,1932,0,1000,,Brazil,Puerto Rico
140,6,1933,0,1000,Contos De Reis,Brazil,Puerto Rico
140,6,1934,0,1000,Contos De Reis,Brazil,Puerto Rico
140,6,1935,89,1000,Contos De Reis,Brazil,Puerto Rico
140,6,1936,21,1000,Contos De Reis,Brazil,Puerto Rico
140,6,1937,0,1000,Contos De Reis,Brazil,Puerto Rico
140,6,1938,6,1000,Contos De Reis,Brazil,Puerto Rico
140,6,1939,71,1000,Contos De Reis,Brazil,Puerto Rico
140,6,1940,24,1000,Contos De Reis,Brazil,Puerto Rico
140,6,1941,0,1000,Cr$ Thousands,Brazil,Puerto Rico
140,6,1942,19,1000,Cr$ Thousands,Brazil,Puerto Rico
140,6,1943,0,1000,Cr$ Thousands,Brazil,Puerto Rico
140,6,1944,0,1000,Cr$ Thousands,Brazil,Puerto Rico
140,6,1945,0,1000,Cr$ Thousands,Brazil,Puerto Rico
140,6,1946,0,1000,Cr$ Thousands,Brazil,Puerto Rico
140,6,1947,0,1000,Cr$ Thousands,Brazil,Puerto Rico
140,6,1948,0,1000,Cr$ Thousands,Brazil,Puerto Rico
140,6,1949,0,1000,,Brazil,Puerto Rico
140,20,1903,3232082,,,Brazil,Canada
140,20,1904,2604855,,,Brazil,Canada
140,20,1905,2355477,,,Brazil,Canada
140,20,1906,2535503,,,Brazil,Canada
140,20,1907,3948480,,,Brazil,Canada
140,20,1908,3729875,,,Brazil,Canada
140,20,1909,3143829,,,Brazil,Canada
140,20,1910,3514178,,,Brazil,Canada
140,20,1911,3133230,,,Brazil,Canada
140,20,1912,3497609,,,Brazil,Canada
140,20,1913,4109291,1000,,Brazil,Canada
140,20,1914,2771730,1000,,Brazil,Canada
140,20,1915,4777,1000,,Brazil,Canada
140,20,1916,5504,1000,,Brazil,Canada
140,20,1917,4531,1000,,Brazil,Canada
140,20,1918,4102,1000,,Brazil,Canada
140,20,1919,4366,1000,,Brazil,Canada
