ccode1,ccode2,year,imp,places,currency,country1,country2
573,2,1910,2740333,1,Pounds,British South Africa,United States
573,2,1911,2918388,1,Pounds,British South Africa,United States
573,2,1912,3314776,1,Pounds,British South Africa,United States
573,2,1913,3776307,1,Pounds,British South Africa,United States
573,2,1914,3108246,1,Pounds,British South Africa,United States
573,2,1915,4532053,1,Pounds,British South Africa,United States
573,2,1916,6240381,1,,British South Africa,United States
573,2,1917,6452553,1,,British South Africa,United States
573,2,1918,6771238,1,,British South Africa,United States
573,2,1919,11546808,1,,British South Africa,United States
573,2,1920,17311535,1,,British South Africa,United States
573,2,1921,8244699,1,,British South Africa,United States
573,2,1922,5878769,1,,British South Africa,United States
573,2,1923,7225771,1,,British South Africa,United States
573,2,1924,9160259,,,British South Africa,United States
573,2,1925,9915473,,,British South Africa,United States
573,2,1926,11915251,,,British South Africa,United States
573,2,1927,12113555,,,British South Africa,United States
573,2,1928,13570945,,,British South Africa,United States
573,2,1929,15842187,,,British South Africa,United States
573,3,1910,0,1,Pounds,British South Africa,Alaska
573,3,1911,0,1,Pounds,British South Africa,Alaska
573,3,1912,0,1,Pounds,British South Africa,Alaska
573,3,1913,0,1,Pounds,British South Africa,Alaska
573,3,1914,0,1,Pounds,British South Africa,Alaska
573,3,1915,0,1,Pounds,British South Africa,Alaska
573,3,1916,0,1,,British South Africa,Alaska
573,3,1917,0,1,,British South Africa,Alaska
573,3,1918,0,1,,British South Africa,Alaska
573,3,1919,0,1,,British South Africa,Alaska
573,3,1920,0,1,,British South Africa,Alaska
573,3,1921,0,1,,British South Africa,Alaska
573,3,1922,0,1,,British South Africa,Alaska
573,3,1923,0,1,,British South Africa,Alaska
573,20,1910,647750,1,Pounds,British South Africa,Canada
573,20,1911,654812,1,Pounds,British South Africa,Canada
573,20,1912,680707,1,Pounds,British South Africa,Canada
573,20,1913,880222,1,Pounds,British South Africa,Canada
573,20,1914,803587,1,Pounds,British South Africa,Canada
573,20,1915,1005160,1,Pounds,British South Africa,Canada
573,20,1916,887664,1,,British South Africa,Canada
573,20,1917,967842,1,,British South Africa,Canada
573,20,1918,1050209,1,,British South Africa,Canada
573,20,1919,1922845,1,,British South Africa,Canada
573,20,1920,2712597,1,,British South Africa,Canada
573,20,1921,1660273,1,,British South Africa,Canada
573,20,1922,1194585,1,,British South Africa,Canada
573,20,1923,1868663,1,,British South Africa,Canada
573,20,1924,2273912,,,British South Africa,Canada
573,20,1925,2335851,,,British South Africa,Canada
573,20,1926,2235805,,,British South Africa,Canada
573,20,1927,2182924,,,British South Africa,Canada
573,20,1928,2407979,,,British South Africa,Canada
573,20,1929,3003591,,,British South Africa,Canada
573,21,1910,52,1,Pounds,British South Africa,Newfoundland
573,21,1911,32,1,Pounds,British South Africa,Newfoundland
573,21,1912,3,1,Pounds,British South Africa,Newfoundland
573,21,1913,4,1,Pounds,British South Africa,Newfoundland
573,21,1914,0,1,Pounds,British South Africa,Newfoundland
573,21,1915,26,1,Pounds,British South Africa,Newfoundland
573,21,1916,601,1,,British South Africa,Newfoundland
573,21,1917,855,1,,British South Africa,Newfoundland
573,21,1918,624,1,,British South Africa,Newfoundland
573,21,1919,804,1,,British South Africa,Newfoundland
573,21,1920,258,1,,British South Africa,Newfoundland
573,21,1921,84,1,,British South Africa,Newfoundland
573,21,1922,735,1,,British South Africa,Newfoundland
573,21,1923,1369,1,,British South Africa,Newfoundland
573,21,1924,1267,,,British South Africa,Newfoundland
573,21,1925,926,,,British South Africa,Newfoundland
573,21,1926,168,,,British South Africa,Newfoundland
573,21,1927,14,,,British South Africa,Newfoundland
573,21,1928,18,,,British South Africa,Newfoundland
573,21,1929,68,,,British South Africa,Newfoundland
573,40,1910,26970,1,Pounds,British South Africa,Cuba
573,40,1911,32935,1,Pounds,British South Africa,Cuba
573,40,1912,25116,1,Pounds,British South Africa,Cuba
573,40,1913,22206,1,Pounds,British South Africa,Cuba
573,40,1914,19454,1,Pounds,British South Africa,Cuba
