ccode1,ccode2,year,imp,places,currency,country1,country2
355,2,1919,195111815,1,Levas,Bulgaria,United States
355,2,1920,130283914,1,Levas,Bulgaria,United States
355,2,1921,143267368,1,Levas,Bulgaria,United States
355,2,1922,75028388,1,Levas,Bulgaria,United States
355,2,1923,94257603,1,Levas,Bulgaria,United States
355,2,1924,68789029,1,Levas,Bulgaria,United States
355,2,1925,229278827,1,,Bulgaria,United States
355,2,1926,85894007,1,,Bulgaria,United States
355,2,1927,96841,1000,Milliers De Levas,Bulgaria,United States
355,2,1928,168202,1000,Milliers De Levas,Bulgaria,United States
355,2,1929,273141,1000,Milliers De Levas,Bulgaria,United States
355,2,1930,86487,1000,Milliers De Levas,Bulgaria,United States
355,2,1931,52358,1000,Milliers De Levas,Bulgaria,United States
355,2,1932,64507,1000,Milliers De Levas,Bulgaria,United States
355,2,1933,49493,1000,Milliers De Levas,Bulgaria,United States
355,2,1934,50746,1000,Milliers De Levas,Bulgaria,United States
355,2,1935,39201,1000,Milliers De Levas,Bulgaria,United States
355,2,1936,69054,1000,Milliers De Levas,Bulgaria,United States
355,2,1937,104332,1000,Milliers De Levas,Bulgaria,United States
355,2,1938,133773,1000,Milliers De Levas,Bulgaria,United States
355,2,1939,119651,1000,Milliers De Levas,Bulgaria,United States
355,2,1940,126833,1000,Milliers De Levas,Bulgaria,United States
355,2,1941,13242,1000,Milliers De Levas,Bulgaria,United States
355,140,1919,0,1,Levas,Bulgaria,Brazil
355,140,1920,0,1,Levas,Bulgaria,Brazil
355,140,1921,0,1,Levas,Bulgaria,Brazil
355,140,1922,0,1,Levas,Bulgaria,Brazil
355,140,1923,0,1,Levas,Bulgaria,Brazil
355,140,1924,0,1,Levas,Bulgaria,Brazil
355,140,1925,0,1,,Bulgaria,Brazil
355,140,1926,0,1,,Bulgaria,Brazil
355,140,1927,15366,1000,Milliers De Levas,Bulgaria,Brazil
355,140,1928,9506,1000,Milliers De Levas,Bulgaria,Brazil
355,140,1929,4143,1000,Milliers De Levas,Bulgaria,Brazil
355,140,1930,2682,1000,Milliers De Levas,Bulgaria,Brazil
355,140,1931,3106,1000,Milliers De Levas,Bulgaria,Brazil
355,140,1932,534,1000,Milliers De Levas,Bulgaria,Brazil
355,140,1933,407,1000,Milliers De Levas,Bulgaria,Brazil
355,140,1934,948,1000,Milliers De Levas,Bulgaria,Brazil
355,140,1935,1164,1000,Milliers De Levas,Bulgaria,Brazil
355,140,1936,1679,1000,Milliers De Levas,Bulgaria,Brazil
355,140,1937,2030,1000,Milliers De Levas,Bulgaria,Brazil
355,140,1938,3546,1000,Milliers De Levas,Bulgaria,Brazil
355,140,1939,6381,1000,Milliers De Levas,Bulgaria,Brazil
355,140,1940,8929,1000,Milliers De Levas,Bulgaria,Brazil
355,140,1941,1617,1000,Milliers De Levas,Bulgaria,Brazil
355,160,1919,0,1,Levas,Bulgaria,Argentina
355,160,1920,0,1,Levas,Bulgaria,Argentina
355,160,1921,0,1,Levas,Bulgaria,Argentina
355,160,1922,0,1,Levas,Bulgaria,Argentina
355,160,1923,0,1,Levas,Bulgaria,Argentina
355,160,1924,0,1,Levas,Bulgaria,Argentina
355,160,1925,0,1,,Bulgaria,Argentina
355,160,1926,0,1,,Bulgaria,Argentina
355,160,1927,1414,1000,Milliers De Levas,Bulgaria,Argentina
355,160,1928,2316,1000,Milliers De Levas,Bulgaria,Argentina
355,160,1929,548,1000,Milliers De Levas,Bulgaria,Argentina
355,160,1930,1089,1000,Milliers De Levas,Bulgaria,Argentina
355,160,1931,6503,1000,Milliers De Levas,Bulgaria,Argentina
355,160,1932,8078,1000,Milliers De Levas,Bulgaria,Argentina
355,160,1933,6191,1000,Milliers De Levas,Bulgaria,Argentina
355,160,1934,101,1000,Milliers De Levas,Bulgaria,Argentina
355,160,1935,710,1000,Milliers De Levas,Bulgaria,Argentina
355,160,1936,1334,1000,Milliers De Levas,Bulgaria,Argentina
355,160,1937,3936,1000,Milliers De Levas,Bulgaria,Argentina
355,160,1938,2612,1000,Milliers De Levas,Bulgaria,Argentina
355,160,1939,804,1000,Milliers De Levas,Bulgaria,Argentina
355,160,1940,4857,1000,Milliers De Levas,Bulgaria,Argentina
355,160,1941,0,1000,Milliers De Levas,Bulgaria,Argentina
355,201,1919,104849723,1,Levas,Bulgaria,England
355,201,1920,311207578,1,Levas,Bulgaria,England
355,201,1921,448692179,1,Levas,Bulgaria,England
355,201,1922,604322265,1,Levas,Bulgaria,England
355,201,1923,811758778,1,Levas,Bulgaria,England
355,201,1924,723553357,1,Levas,Bulgaria,England
355,201,1925,958564367,1,,Bulgaria,England
355,201,1926,708712688,1,,Bulgaria,England
355,201,1927,736439,1000,Milliers De Levas,Bulgaria,England
355,201,1928,732474,1000,Milliers De Levas,Bulgaria,England
355,201,1929,738986,1000,Milliers De Levas,Bulgaria,England
355,201,1930,375999,1000,Milliers De Levas,Bulgaria,England
355,201,1931,617070,1000,Milliers De Levas,Bulgaria,England
355,201,1932,357971,1000,Milliers De Levas,Bulgaria,England
355,201,1933,152208,1000,Milliers De Levas,Bulgaria,England
355,201,1934,142869,1000,Milliers De Levas,Bulgaria,England
355,201,1935,141221,1000,Milliers De Levas,Bulgaria,England
355,201,1936,145951,1000,Milliers De Levas,Bulgaria,England
355,201,1937,232705,1000,Milliers De Levas,Bulgaria,England
355,201,1938,348333,1000,Milliers De Levas,Bulgaria,England
355,201,1939,143633,1000,Milliers De Levas,Bulgaria,England
355,201,1940,157433,1000,Milliers De Levas,Bulgaria,England
355,201,1941,2310,1000,Milliers De Levas,Bulgaria,England
355,210,1919,0,1,Levas,Bulgaria,Netherlands
355,210,1920,21425990,1,Levas,Bulgaria,Netherlands
355,210,1921,35059542,1,Levas,Bulgaria,Netherlands
355,210,1922,43023425,1,Levas,Bulgaria,Netherlands
355,210,1923,61604096,1,Levas,Bulgaria,Netherlands
355,210,1924,116694358,1,Levas,Bulgaria,Netherlands
355,210,1925,193020712,1,,Bulgaria,Netherlands
355,210,1926,151264028,1,,Bulgaria,Netherlands
355,210,1927,173530,1000,Milliers De Levas,Bulgaria,Netherlands
355,210,1928,170489,1000,Milliers De Levas,Bulgaria,Netherlands
355,210,1929,203303,1000,Milliers De Levas,Bulgaria,Netherlands
355,210,1930,137359,1000,Milliers De Levas,Bulgaria,Netherlands
355,210,1931,97570,1000,Milliers De Levas,Bulgaria,Netherlands
355,210,1932,73682,1000,Milliers De Levas,Bulgaria,Netherlands
355,210,1933,28039,1000,Milliers De Levas,Bulgaria,Netherlands
355,210,1934,27656,1000,Milliers De Levas,Bulgaria,Netherlands
355,210,1935,38090,1000,Milliers De Levas,Bulgaria,Netherlands
355,210,1936,29998,1000,Milliers De Levas,Bulgaria,Netherlands
355,210,1937,66072,1000,Milliers De Levas,Bulgaria,Netherlands
355,210,1938,57540,1000,Milliers De Levas,Bulgaria,Netherlands
355,210,1939,38439,1000,Milliers De Levas,Bulgaria,Netherlands
355,210,1940,70638,1000,Milliers De Levas,Bulgaria,Netherlands
355,210,1941,36167,1000,Milliers De Levas,Bulgaria,Netherlands
355,211,1919,3360,1,Levas,Bulgaria,Belgium
355,211,1920,33921645,1,Levas,Bulgaria,Belgium
355,211,1921,86569453,1,Levas,Bulgaria,Belgium
355,211,1922,150548849,1,Levas,Bulgaria,Belgium
355,211,1923,247083121,1,Levas,Bulgaria,Belgium
355,211,1924,306635544,1,Levas,Bulgaria,Belgium
355,211,1925,251975783,1,,Bulgaria,Belgium
355,211,1926,219714766,1,,Bulgaria,Belgium
355,211,1927,191583,1000,Milliers De Levas,Bulgaria,Belgium
355,211,1928,260092,1000,Milliers De Levas,Bulgaria,Belgium
355,211,1929,230901,1000,Milliers De Levas,Bulgaria,Belgium
355,211,1930,110090,1000,Milliers De Levas,Bulgaria,Belgium
355,211,1931,110798,1000,Milliers De Levas,Bulgaria,Belgium
355,211,1932,98553,1000,Milliers De Levas,Bulgaria,Belgium
355,211,1933,61523,1000,Milliers De Levas,Bulgaria,Belgium
355,211,1934,167440,1000,Milliers De Levas,Bulgaria,Belgium
355,211,1935,35604,1000,Milliers De Levas,Bulgaria,Belgium
355,211,1936,47724,1000,Milliers De Levas,Bulgaria,Belgium
355,211,1937,212997,1000,Milliers De Levas,Bulgaria,Belgium
355,211,1938,34897,1000,Milliers De Levas,Bulgaria,Belgium
