ccode1,ccode2,year,imp,places,currency,country1,country2
20,2,1914,296632506,,,Canada,United States
20,2,1915,370496574,,,Canada,United States
20,2,1916,664219653,,,Canada,United States
20,2,1917,791906125,,,Canada,United States
20,2,1918,746920654,,,Canada,United States
20,2,1919,801097318,1,Canadian $,Canada,United States
20,2,1920,856176820,1,Canadian $,Canada,United States
20,2,1921,515958196,1,Canadian $,Canada,United States
20,2,1922,540989738,1,Canadian $,Canada,United States
20,2,1923,601256447,1,Canadian $,Canada,United States
20,2,1924,509780009,1,Canadian $,Canada,United States
20,2,1925,608618542,1,Canadian $,Canada,United States
20,2,1926,668747247,1,Canadian $,Canada,United States
20,2,1927,706683861,1,Canadian $,Canada,United States
20,2,1928,825651549,1,Canadian $,Canada,United States
20,2,1929,893585482,1,Canadian $,Canada,United States
20,2,1930,653676496,1,Canadian $,Canada,United States
20,2,1931,393775289,1,Canadian $,Canada,United States
20,2,1932,263549346,1,Canadian $,Canada,United States
20,2,1933,217291498,1,Canadian $,Canada,United States
20,2,1934,293779813,1,Canadian $,Canada,United States
20,2,1935,312416604,1,Canadian $,Canada,United States
20,2,1936,369141513,1,Canadian $,Canada,United States
20,2,1937,490504978,1,Canadian $,Canada,United States
20,2,1938,424730567,1,Canadian $,Canada,United States
20,2,1939,496898466,1,Canadian $,Canada,United States
20,2,1940,744231156,1,Canadian $,Canada,United States
20,2,1941,1004498152,1,Canadian $,Canada,United States
20,2,1942,1304679665,1,Canadian $,Canada,United States
20,2,1943,1423672486,1,Canadian $,Canada,United States
20,2,1944,1447225915,1,Canadian $,Canada,United States
20,2,1945,1202417634,1,Canadian $,Canada,United States
20,2,1946,1405296699,1,Canadian $,Canada,United States
20,2,1947,1974679178,1,Canadian $,Canada,United States
20,2,1948,1805762785,1,Canadian $,Canada,United States
20,2,1949,1951860065,1,Canadian $,Canada,United States
20,3,1914,38292,,,Canada,Alaska
20,3,1915,6360,,,Canada,Alaska
20,3,1916,19572,,,Canada,Alaska
20,3,1917,10374,,,Canada,Alaska
20,3,1918,52787,,,Canada,Alaska
20,3,1919,415585,1,Canadian $,Canada,Alaska
20,3,1920,309463,1,Canadian $,Canada,Alaska
20,3,1921,276807,1,Canadian $,Canada,Alaska
20,3,1922,197834,1,Canadian $,Canada,Alaska
20,3,1923,266995,1,Canadian $,Canada,Alaska
20,3,1924,102008,1,Canadian $,Canada,Alaska
20,3,1925,191715,1,Canadian $,Canada,Alaska
20,3,1926,146258,1,Canadian $,Canada,Alaska
20,3,1927,227303,1,Canadian $,Canada,Alaska
20,3,1928,86077,1,Canadian $,Canada,Alaska
20,3,1929,179653,1,Canadian $,Canada,Alaska
20,3,1930,134085,1,Canadian $,Canada,Alaska
20,3,1931,91391,1,Canadian $,Canada,Alaska
20,3,1932,47253,1,Canadian $,Canada,Alaska
20,3,1933,25263,1,Canadian $,Canada,Alaska
20,3,1934,100727,1,Canadian $,Canada,Alaska
20,3,1935,67699,1,Canadian $,Canada,Alaska
20,3,1936,86784,1,Canadian $,Canada,Alaska
20,3,1937,55139,1,Canadian $,Canada,Alaska
20,3,1938,101570,1,Canadian $,Canada,Alaska
20,3,1939,153560,1,Canadian $,Canada,Alaska
20,3,1940,143163,1,Canadian $,Canada,Alaska
20,3,1941,285116,1,Canadian $,Canada,Alaska
20,3,1942,461579,1,Canadian $,Canada,Alaska
20,3,1943,824800,1,Canadian $,Canada,Alaska
20,3,1944,135930,1,Canadian $,Canada,Alaska
20,3,1945,113319,1,Canadian $,Canada,Alaska
20,3,1946,388696,1,Canadian $,Canada,Alaska
20,3,1947,743667,1,Canadian $,Canada,Alaska
20,3,1948,1323385,1,Canadian $,Canada,Alaska
20,3,1949,1217818,1,Canadian $,Canada,Alaska
20,4,1914,32655,,,Canada,Hawaii
20,4,1915,22107,,,Canada,Hawaii
20,4,1916,55697,,,Canada,Hawaii
20,4,1917,30840,,,Canada,Hawaii
20,4,1918,3467856,,,Canada,Hawaii
20,4,1919,403687,1,Canadian $,Canada,Hawaii
20,4,1920,225755,1,Canadian $,Canada,Hawaii
20,4,1921,114900,1,Canadian $,Canada,Hawaii
20,4,1922,143524,1,Canadian $,Canada,Hawaii
20,4,1923,153136,1,Canadian $,Canada,Hawaii
20,4,1924,160788,1,Canadian $,Canada,Hawaii
20,4,1925,251253,1,Canadian $,Canada,Hawaii
20,4,1926,246752,1,Canadian $,Canada,Hawaii
20,4,1927,290280,1,Canadian $,Canada,Hawaii
20,4,1928,342353,1,Canadian $,Canada,Hawaii
20,4,1929,305100,1,Canadian $,Canada,Hawaii
20,4,1930,263936,1,Canadian $,Canada,Hawaii
20,4,1931,194656,1,Canadian $,Canada,Hawaii
20,4,1932,66224,1,Canadian $,Canada,Hawaii
20,4,1933,39176,1,Canadian $,Canada,Hawaii
20,4,1934,74989,1,Canadian $,Canada,Hawaii
20,4,1935,108517,1,Canadian $,Canada,Hawaii
