ccode1,ccode2,year,imp,places,currency,country1,country2
780,2,1917,5580009,1,Rs,Sri Lanka,United States
780,2,1918,5651017,1,Rs,Sri Lanka,United States
780,2,1919,11374784,1,Rs,Sri Lanka,United States
780,2,1920,10821428,1,Rs,Sri Lanka,United States
780,2,1921,7095718,1,Rs,Sri Lanka,United States
780,2,1922,6693398,1,Rs,Sri Lanka,United States
780,2,1923,6464147,1,Rs,Sri Lanka,United States
780,2,1924,8939095,1,Rs,Sri Lanka,United States
780,2,1925,8882288,1,Rs,Sri Lanka,United States
780,2,1926,12800068,1,Rs,Sri Lanka,United States
780,2,1927,14155058,1,Rs,Sri Lanka,United States
780,2,1928,15089518,1,Rs,Sri Lanka,United States
780,2,1929,13494444,1,Rs,Sri Lanka,United States
780,2,1930,9421941,1,Rs,Sri Lanka,United States
780,2,1931,9071498,1,Rs,Sri Lanka,United States
780,2,1932,4272021,1,Rs,Sri Lanka,United States
780,2,1933,3233272,1,Rs,Sri Lanka,United States
780,2,1934,5041137,1,Rs,Sri Lanka,United States
780,2,1935,4853167,1,Rs,Sri Lanka,United States
780,2,1936,4830093,1,Rs,Sri Lanka,United States
780,2,1937,6226986,1,Rs,Sri Lanka,United States
780,2,1938,5107316,1,Rs,Sri Lanka,United States
780,2,1939,5960,1000,,Sri Lanka,United States
780,2,1940,9441,1000,,Sri Lanka,United States
780,2,1941,9379,1000,,Sri Lanka,United States
780,2,1942,7116,1000,,Sri Lanka,United States
780,2,1943,24594,1000,,Sri Lanka,United States
780,2,1944,27328,1000,,Sri Lanka,United States
780,2,1945,75570,1000,,Sri Lanka,United States
780,2,1946,42267,1000,,Sri Lanka,United States
780,2,1947,112778,1000,,Sri Lanka,United States
780,2,1948,75667,1000,,Sri Lanka,United States
780,2,1949,72991,1000,,Sri Lanka,United States
780,20,1917,1329,1,Rs,Sri Lanka,Canada
780,20,1918,19617,1,Rs,Sri Lanka,Canada
780,20,1919,80692,1,Rs,Sri Lanka,Canada
780,20,1920,1031591,1,Rs,Sri Lanka,Canada
780,20,1921,714076,1,Rs,Sri Lanka,Canada
780,20,1922,365153,1,Rs,Sri Lanka,Canada
780,20,1923,1570457,1,Rs,Sri Lanka,Canada
