ccode1,ccode2,year,imp,places,currency,country1,country2
155,2,1906,25233410,1,$ De 18 D,Chile,United States
155,2,1907,31124384,1,$ De 18 D,Chile,United States
155,2,1908,24385123,1,$ De 18 D,Chile,United States
155,2,1909,264011022,1,$ De 18 D,Chile,United States
155,2,1910,36629518,1,$ De 18 D,Chile,United States
155,2,1911,43221833,1,$ De 18 D,Chile,United States
155,2,1912,46044771,1,$ De 18 D,Chile,United States
155,2,1914,55201578,1,,Chile,United States
155,2,1915,51064260,1,$ De 18D,Chile,United States
155,2,1916,94251880,1,$ De 18D,Chile,United States
155,2,1917,174068041,1,$ De 18D,Chile,United States
155,2,1918,203451891,1,$ De 18D,Chile,United States
155,2,1919,575563680,1,$ Oro De 6 D.,Chile,United States
155,2,1920,420811995,1,$ Oro De 6 D.,Chile,United States
155,2,1921,315288312,1,$ Oro De 6 D.,Chile,United States
155,2,1922,190642890,1,$ Oro De 6 D.,Chile,United States
155,2,1923,263498823,1,$ Oro De 6 D.,Chile,United States
155,2,1924,256071081,1,$ Oro De 6 D.,Chile,United States
155,2,1925,339574206,1,$ Oro De 6 D.,Chile,United States
155,2,1926,422357393,1,$ Oro De 6 D.,Chile,United States
155,2,1927,318478538,1,$ Oro De 6 D.,Chile,United States
155,2,1928,368912175,1,$ Oro De 6 D.,Chile,United States
155,2,1929,520523098,1,$ Oro De 6 D.,Chile,United States
155,2,1930,467356358,1,$ Oro De 6 D.,Chile,United States
155,2,1931,241863814,1,$ Oro De 6 D.,Chile,United States
155,2,1932,49413405,1,$ Oro De 6D,Chile,United States
155,2,1933,40748727,1,$ Oro De 6D,Chile,United States
155,2,1934,69515442,1,$6 D Oro,Chile,United States
155,2,1935,82237087,1,,Chile,United States
155,2,1936,87973350,1,,Chile,United States
155,2,1937,124747988,1,,Chile,United States
155,2,1938,138933432,1,$ 6 D,Chile,United States
155,2,1939,127703971,1,$ 6 D,Chile,United States
155,2,1940,242537503,1,$ 6 D,Chile,United States
155,2,1941,296436378,1,$ 6 D,Chile,United States
155,2,1942,281819220,1,$ 6 D,Chile,United States
155,2,1943,238171895,1,$ 6 D,Chile,United States
155,2,1944,309881786,1,$ 6 D,Chile,United States
155,2,1945,318052769,1,$ 6 D,Chile,United States
155,2,1946,383907936,1,$ 6 D,Chile,United States
155,2,1947,570668569,1,$ 6 D,Chile,United States
155,2,1948,553627588,1,$ 6 D,Chile,United States
155,2,1949,800614971,1,$ 6 D,Chile,United States
155,4,1906,0,1,$ De 18 D,Chile,Hawaii
155,4,1907,0,1,$ De 18 D,Chile,Hawaii
155,4,1908,0,1,$ De 18 D,Chile,Hawaii
155,4,1909,0,1,$ De 18 D,Chile,Hawaii
155,4,1910,0,1,$ De 18 D,Chile,Hawaii
155,4,1911,0,1,$ De 18 D,Chile,Hawaii
155,4,1912,0,1,$ De 18 D,Chile,Hawaii
155,4,1914,0,1,,Chile,Hawaii
155,4,1915,0,1,$ De 18D,Chile,Hawaii
155,4,1916,0,1,$ De 18D,Chile,Hawaii
155,4,1917,0,1,$ De 18D,Chile,Hawaii
155,4,1918,0,1,$ De 18D,Chile,Hawaii
155,4,1919,0,1,$ Oro De 6 D.,Chile,Hawaii
155,4,1920,0,1,$ Oro De 6 D.,Chile,Hawaii
155,4,1921,0,1,$ Oro De 6 D.,Chile,Hawaii
155,4,1922,0,1,$ Oro De 6 D.,Chile,Hawaii
155,4,1923,0,1,$ Oro De 6 D.,Chile,Hawaii
155,4,1924,0,1,$ Oro De 6 D.,Chile,Hawaii
155,4,1925,0,1,$ Oro De 6 D.,Chile,Hawaii
155,4,1926,0,1,$ Oro De 6 D.,Chile,Hawaii
155,4,1927,0,1,$ Oro De 6 D.,Chile,Hawaii
155,4,1928,0,1,$ Oro De 6 D.,Chile,Hawaii
155,4,1929,0,1,$ Oro De 6 D.,Chile,Hawaii
155,4,1930,20,1,$ Oro De 6 D.,Chile,Hawaii
155,4,1931,44,1,$ Oro De 6 D.,Chile,Hawaii
155,4,1932,10,1,$ Oro De 6D,Chile,Hawaii
155,4,1933,90,1,$ Oro De 6D,Chile,Hawaii
155,4,1934,0,1,$6 D Oro,Chile,Hawaii
155,4,1935,0,1,,Chile,Hawaii
155,4,1936,0,1,,Chile,Hawaii
155,4,1937,0,1,,Chile,Hawaii
155,4,1938,0,1,$ 6 D,Chile,Hawaii
155,4,1939,0,1,$ 6 D,Chile,Hawaii
155,4,1940,0,1,$ 6 D,Chile,Hawaii
155,4,1941,0,1,$ 6 D,Chile,Hawaii
155,4,1942,0,1,$ 6 D,Chile,Hawaii
155,4,1943,0,1,$ 6 D,Chile,Hawaii
155,4,1944,0,1,$ 6 D,Chile,Hawaii
155,4,1945,322,1,$ 6 D,Chile,Hawaii
155,4,1946,0,1,$ 6 D,Chile,Hawaii
155,4,1947,0,1,$ 6 D,Chile,Hawaii
155,4,1948,0,1,$ 6 D,Chile,Hawaii
155,4,1949,0,1,$ 6 D,Chile,Hawaii
155,6,1906,0,1,$ De 18 D,Chile,Puerto Rico
155,6,1907,0,1,$ De 18 D,Chile,Puerto Rico
155,6,1908,0,1,$ De 18 D,Chile,Puerto Rico
155,6,1909,0,1,$ De 18 D,Chile,Puerto Rico
155,6,1910,0,1,$ De 18 D,Chile,Puerto Rico
155,6,1911,0,1,$ De 18 D,Chile,Puerto Rico
155,6,1912,0,1,$ De 18 D,Chile,Puerto Rico
155,6,1914,0,1,,Chile,Puerto Rico
155,6,1915,0,1,$ De 18D,Chile,Puerto Rico
155,6,1916,0,1,$ De 18D,Chile,Puerto Rico
155,6,1917,0,1,$ De 18D,Chile,Puerto Rico
155,6,1918,0,1,$ De 18D,Chile,Puerto Rico
155,6,1919,0,1,$ Oro De 6 D.,Chile,Puerto Rico
155,6,1920,0,1,$ Oro De 6 D.,Chile,Puerto Rico
155,6,1921,0,1,$ Oro De 6 D.,Chile,Puerto Rico
155,6,1922,10674,1,$ Oro De 6 D.,Chile,Puerto Rico
155,6,1923,16740,1,$ Oro De 6 D.,Chile,Puerto Rico
155,6,1924,13260,1,$ Oro De 6 D.,Chile,Puerto Rico
155,6,1925,0,1,$ Oro De 6 D.,Chile,Puerto Rico
155,6,1926,0,1,$ Oro De 6 D.,Chile,Puerto Rico
155,6,1927,3200,1,$ Oro De 6 D.,Chile,Puerto Rico
