ccode1,ccode2,year,imp,places,currency,country1,country2
710,2,1900,16724493,1,Hk Taels,China,United States
710,2,1901,23529606,1,Hk Taels,China,United States
710,2,1902,30138713,1,Hk Taels,China,United States
710,2,1903,25871278,1,Hk Taels,China,United States
710,2,1904,29180946,1,Hk Taels,China,United States
710,2,1905,76916838,1,Hk Taels,China,United States
710,2,1906,44436209,1,Hk Taels,China,United States
710,2,1907,36903476,1,Hk Taels,China,United States
710,2,1908,41245704,1,Hk Taels,China,United States
710,2,1909,32606549,1,Hk Taels,China,United States
710,2,1910,24799494,1,Hk Taels,China,United States
710,2,1911,40822853,1,Hk Taels,China,United States
710,2,1912,36197671,1,Hk Taels,China,United States
710,2,1913,35427198,1,Hk Taels,China,United States
710,2,1914,41231654,1,Hk Taels,China,United States
710,2,1915,37043449,1,Hk Taels,China,United States
710,2,1916,53823799,1,Hk Taels,China,United States
710,2,1917,60960777,1,Hk Taels,China,United States
710,2,1918,58686044,1,Hk Taels,China,United States
710,2,1919,110236706,1,Hk Taels,China,United States
710,2,1920,143198962,1,Hk Taels,China,United States
710,2,1921,175789652,1,Hk Taels,China,United States
710,2,1922,169004534,1,Hk Taels,China,United States
710,2,1923,154447651,1,Hk Taels,China,United States
710,2,1924,190956942,1,Hk Taels,China,United States
710,2,1925,142513422,1,Hk Taels,China,United States
710,2,1926,187647086,1,Hk Taels,China,United States
710,2,1927,166793690,1,Hk Taels,China,United States
710,2,1928,205541351,1,Hk Taels,China,United States
710,2,1929,230843677,1,Hk Taels,China,United States
710,2,1930,232405941,1,Hk Taels,China,United States
710,2,1931,321341671,1,Hk Taels,China,United States
710,2,1932,269175520,1,Hk Taels,China,United States
710,2,1933,297468131,1,Standard $,China,United States
710,2,1934,271732371,1,Standard $,China,United States
710,2,1935,174930060,1,Standard $,China,United States
710,2,1936,185511519,1,Standard $,China,United States
710,2,1937,188859040,1,Standard $,China,United States
710,2,1938,151253673,1,Standard $,China,United States
710,2,1939,214100330,1,Standard $,China,United States
710,2,1940,435485895,1,Standard $,China,United States
710,2,1946,858047674,1000,C.N. $,China,United States
710,20,1900,653591,1,Hk Taels,China,Canada
710,20,1901,1635457,1,Hk Taels,China,Canada
710,20,1902,2832511,1,Hk Taels,China,Canada
710,20,1903,627472,1,Hk Taels,China,Canada
710,20,1904,2162174,1,Hk Taels,China,Canada
710,20,1905,2387658,1,Hk Taels,China,Canada
710,20,1906,4460736,1,Hk Taels,China,Canada
710,20,1907,1130374,1,Hk Taels,China,Canada
710,20,1908,1202661,1,Hk Taels,China,Canada
710,20,1909,1390947,1,Hk Taels,China,Canada
710,20,1910,1157705,1,Hk Taels,China,Canada
710,20,1911,552877,1,Hk Taels,China,Canada
710,20,1912,1110708,1,Hk Taels,China,Canada
710,20,1913,1865735,1,Hk Taels,China,Canada
710,20,1914,1166944,1,Hk Taels,China,Canada
710,20,1915,886263,1,Hk Taels,China,Canada
710,20,1916,1868295,1,Hk Taels,China,Canada
710,20,1917,9094347,1,Hk Taels,China,Canada
710,20,1918,10355562,1,Hk Taels,China,Canada
710,20,1919,18887866,1,Hk Taels,China,Canada
710,20,1920,20182100,1,Hk Taels,China,Canada
710,20,1921,11808066,1,Hk Taels,China,Canada
710,20,1922,8401444,1,Hk Taels,China,Canada
710,20,1923,10327374,1,Hk Taels,China,Canada
710,20,1924,15575722,1,Hk Taels,China,Canada
710,20,1925,7210870,1,Hk Taels,China,Canada
710,20,1926,24049126,1,Hk Taels,China,Canada
710,20,1927,12942554,1,Hk Taels,China,Canada
710,20,1928,16373232,1,Hk Taels,China,Canada
710,20,1929,38476967,1,Hk Taels,China,Canada
710,20,1930,13517476,1,Hk Taels,China,Canada
710,20,1931,22611506,1,Hk Taels,China,Canada
710,20,1932,16598943,1,Hk Taels,China,Canada
710,20,1933,23770525,1,Standard $,China,Canada
710,20,1934,19272198,1,Standard $,China,Canada
710,20,1935,20415625,1,Standard $,China,Canada
710,20,1936,19783898,1,Standard $,China,Canada
710,20,1937,17093072,1,Standard $,China,Canada
710,20,1938,7871986,1,Standard $,China,Canada
710,20,1939,10529935,1,Standard $,China,Canada
710,20,1940,11272376,1,Standard $,China,Canada
710,20,1946,27242358,1000,C.N. $,China,Canada
710,40,1900,0,1,Hk Taels,China,Cuba
710,40,1901,0,1,Hk Taels,China,Cuba
710,40,1902,0,1,Hk Taels,China,Cuba
710,40,1903,0,1,Hk Taels,China,Cuba
710,40,1904,0,1,Hk Taels,China,Cuba
710,40,1905,0,1,Hk Taels,China,Cuba
710,40,1906,0,1,Hk Taels,China,Cuba
710,40,1907,0,1,Hk Taels,China,Cuba
710,40,1908,0,1,Hk Taels,China,Cuba
710,40,1909,0,1,Hk Taels,China,Cuba
710,40,1910,0,1,Hk Taels,China,Cuba
710,40,1911,0,1,Hk Taels,China,Cuba
710,40,1912,0,1,Hk Taels,China,Cuba
710,40,1913,0,1,Hk Taels,China,Cuba
710,40,1914,0,1,Hk Taels,China,Cuba
710,40,1915,0,1,Hk Taels,China,Cuba
710,40,1916,0,1,Hk Taels,China,Cuba
710,40,1917,0,1,Hk Taels,China,Cuba
710,40,1918,0,1,Hk Taels,China,Cuba
710,40,1919,0,1,Hk Taels,China,Cuba
710,40,1920,0,1,Hk Taels,China,Cuba
710,40,1921,0,1,Hk Taels,China,Cuba
710,40,1922,0,1,Hk Taels,China,Cuba
710,40,1923,0,1,Hk Taels,China,Cuba
710,40,1924,0,1,Hk Taels,China,Cuba
710,40,1925,0,1,Hk Taels,China,Cuba
710,40,1926,0,1,Hk Taels,China,Cuba
710,40,1927,0,1,Hk Taels,China,Cuba
710,40,1928,0,1,Hk Taels,China,Cuba
710,40,1929,3657193,1,Hk Taels,China,Cuba
710,40,1930,1351427,1,Hk Taels,China,Cuba
710,40,1931,443978,1,Hk Taels,China,Cuba
710,40,1932,25570,1,Hk Taels,China,Cuba
710,40,1933,49863,1,Standard $,China,Cuba
710,40,1934,161817,1,Standard $,China,Cuba
710,40,1935,146260,1,Standard $,China,Cuba
710,40,1936,19516,1,Standard $,China,Cuba
710,40,1937,29482,1,Standard $,China,Cuba
710,40,1938,6488,1,Standard $,China,Cuba
710,40,1939,10980,1,Standard $,China,Cuba
710,40,1940,23901,1,Standard $,China,Cuba
710,40,1946,152678,1000,C.N. $,China,Cuba
710,68,1900,0,1,Hk Taels,China,Netherlands Antilles
710,68,1901,0,1,Hk Taels,China,Netherlands Antilles
710,68,1902,0,1,Hk Taels,China,Netherlands Antilles
710,68,1903,0,1,Hk Taels,China,Netherlands Antilles
710,68,1904,0,1,Hk Taels,China,Netherlands Antilles
710,68,1905,0,1,Hk Taels,China,Netherlands Antilles
710,68,1906,0,1,Hk Taels,China,Netherlands Antilles
710,68,1907,0,1,Hk Taels,China,Netherlands Antilles
710,68,1908,0,1,Hk Taels,China,Netherlands Antilles
710,68,1909,0,1,Hk Taels,China,Netherlands Antilles
710,68,1910,0,1,Hk Taels,China,Netherlands Antilles
710,68,1911,0,1,Hk Taels,China,Netherlands Antilles
710,68,1912,0,1,Hk Taels,China,Netherlands Antilles
710,68,1913,0,1,Hk Taels,China,Netherlands Antilles
710,68,1914,0,1,Hk Taels,China,Netherlands Antilles
710,68,1915,0,1,Hk Taels,China,Netherlands Antilles
710,68,1916,0,1,Hk Taels,China,Netherlands Antilles
710,68,1917,0,1,Hk Taels,China,Netherlands Antilles
710,68,1918,0,1,Hk Taels,China,Netherlands Antilles
710,68,1919,0,1,Hk Taels,China,Netherlands Antilles
710,68,1920,0,1,Hk Taels,China,Netherlands Antilles
710,68,1921,0,1,Hk Taels,China,Netherlands Antilles
710,68,1922,0,1,Hk Taels,China,Netherlands Antilles
710,68,1923,0,1,Hk Taels,China,Netherlands Antilles
710,68,1924,0,1,Hk Taels,China,Netherlands Antilles
710,68,1925,0,1,Hk Taels,China,Netherlands Antilles
710,68,1926,0,1,Hk Taels,China,Netherlands Antilles
710,68,1927,0,1,Hk Taels,China,Netherlands Antilles
710,68,1928,0,1,Hk Taels,China,Netherlands Antilles
