ccode1,ccode2,year,imp,places,currency,country1,country2
100,2,1912,7612037.33,,,Colombia,United States
100,2,1913,7629428.87,,,Colombia,United States
100,2,1914,6486794.18,,,Colombia,United States
100,2,1915,8661780.949999999,,,Colombia,United States
100,2,1916,15097860,1,,Colombia,United States
100,2,1917,13096193,1,,Colombia,United States
100,2,1918,11557902,1,,Colombia,United States
100,2,1919,28880918,1,,Colombia,United States
100,2,1922,19917287,1,,Colombia,United States
100,2,1923,26018602,1,,Colombia,United States
100,2,1924,25674136,1,,Colombia,United States
100,2,1925,42193568,1,,Colombia,United States
100,2,1926,53025523,1,,Colombia,United States
100,2,1927,56464839,1,,Colombia,United States
100,2,1928,66236233,1,,Colombia,United States
100,2,1929,58050326,1,,Colombia,United States
100,2,1930,28537392,1,,Colombia,United States
100,2,1931,17195633,1,,Colombia,United States
100,2,1932,12859328,1,,Colombia,United States
100,2,1933,18286392,1,,Colombia,United States
100,2,1934,38441770,1,,Colombia,United States
100,2,1935,44228608,1,,Colombia,United States
100,2,1936,47743486,1,,Colombia,United States
100,2,1937,78951640,1,,Colombia,United States
100,2,1938,79445074,1,,Colombia,United States
100,2,1939,102150058,1,,Colombia,United States
100,2,1940,110215747,1,,Colombia,United States
100,2,1941,131436623,1,,Colombia,United States
100,2,1942,62530080,1,,Colombia,United States
100,2,1943,91277524,1,,Colombia,United States
100,2,1944,116987744,1,,Colombia,United States
100,2,1945,190474187,1,,Colombia,United States
100,2,1946,277362068,1,,Colombia,United States
100,2,1947,461356632,1,,Colombia,United States
100,2,1948,410978154,1,,Colombia,United States
100,2,1949,381103123,1,,Colombia,United States
100,3,1916,0,1,,Colombia,Alaska
100,3,1917,0,1,,Colombia,Alaska
100,3,1918,0,1,,Colombia,Alaska
100,3,1919,0,1,,Colombia,Alaska
100,3,1922,0,1,,Colombia,Alaska
100,3,1923,0,1,,Colombia,Alaska
100,3,1924,0,1,,Colombia,Alaska
100,3,1925,0,1,,Colombia,Alaska
100,3,1926,0,1,,Colombia,Alaska
100,3,1927,0,1,,Colombia,Alaska
100,3,1928,0,1,,Colombia,Alaska
100,3,1929,0,1,,Colombia,Alaska
100,3,1930,0,1,,Colombia,Alaska
100,3,1931,0,1,,Colombia,Alaska
100,3,1932,0,1,,Colombia,Alaska
100,3,1933,0,1,,Colombia,Alaska
100,3,1934,0,1,,Colombia,Alaska
100,3,1935,0,1,,Colombia,Alaska
100,3,1936,0,1,,Colombia,Alaska
100,3,1937,186,1,,Colombia,Alaska
100,3,1938,1941,1,,Colombia,Alaska
100,3,1939,0,1,,Colombia,Alaska
100,3,1940,0,1,,Colombia,Alaska
100,3,1941,0,1,,Colombia,Alaska
100,3,1942,0,1,,Colombia,Alaska
100,3,1943,0,1,,Colombia,Alaska
100,3,1944,0,1,,Colombia,Alaska
100,3,1945,0,1,,Colombia,Alaska
100,3,1946,0,1,,Colombia,Alaska
100,3,1947,0,1,,Colombia,Alaska
100,3,1948,0,1,,Colombia,Alaska
100,3,1949,0,1,,Colombia,Alaska
100,4,1916,0,1,,Colombia,Hawaii
100,4,1917,0,1,,Colombia,Hawaii
100,4,1918,0,1,,Colombia,Hawaii
100,4,1919,0,1,,Colombia,Hawaii
100,4,1922,0,1,,Colombia,Hawaii
100,4,1923,0,1,,Colombia,Hawaii
100,4,1924,0,1,,Colombia,Hawaii
100,4,1925,0,1,,Colombia,Hawaii
100,4,1926,0,1,,Colombia,Hawaii
100,4,1927,0,1,,Colombia,Hawaii
100,4,1928,0,1,,Colombia,Hawaii
100,4,1929,0,1,,Colombia,Hawaii
100,4,1930,0,1,,Colombia,Hawaii
100,4,1931,0,1,,Colombia,Hawaii
100,4,1932,0,1,,Colombia,Hawaii
100,4,1933,0,1,,Colombia,Hawaii
100,4,1934,0,1,,Colombia,Hawaii
100,4,1935,0,1,,Colombia,Hawaii
100,4,1936,0,1,,Colombia,Hawaii
100,4,1937,0,1,,Colombia,Hawaii
100,4,1938,442,1,,Colombia,Hawaii
100,4,1939,0,1,,Colombia,Hawaii
100,4,1940,0,1,,Colombia,Hawaii
100,4,1941,0,1,,Colombia,Hawaii
100,4,1942,0,1,,Colombia,Hawaii
100,4,1943,0,1,,Colombia,Hawaii
100,4,1944,0,1,,Colombia,Hawaii
100,4,1945,0,1,,Colombia,Hawaii
100,4,1946,0,1,,Colombia,Hawaii
100,4,1947,0,1,,Colombia,Hawaii
100,4,1948,0,1,,Colombia,Hawaii
100,4,1949,0,1,,Colombia,Hawaii
100,6,1916,0,1,,Colombia,Puerto Rico
100,6,1917,0,1,,Colombia,Puerto Rico
100,6,1918,0,1,,Colombia,Puerto Rico
100,6,1919,0,1,,Colombia,Puerto Rico
100,6,1922,0,1,,Colombia,Puerto Rico
100,6,1923,0,1,,Colombia,Puerto Rico
100,6,1924,0,1,,Colombia,Puerto Rico
100,6,1925,0,1,,Colombia,Puerto Rico
100,6,1926,0,1,,Colombia,Puerto Rico
100,6,1927,145,1,,Colombia,Puerto Rico
100,6,1928,14247,1,,Colombia,Puerto Rico
100,6,1929,47186,1,,Colombia,Puerto Rico
100,6,1930,17477,1,,Colombia,Puerto Rico
100,6,1931,0,1,,Colombia,Puerto Rico
100,6,1932,0,1,,Colombia,Puerto Rico
100,6,1933,0,1,,Colombia,Puerto Rico
100,6,1934,4151,1,,Colombia,Puerto Rico
100,6,1935,24530,1,,Colombia,Puerto Rico
100,6,1936,5508,1,,Colombia,Puerto Rico
100,6,1937,1395,1,,Colombia,Puerto Rico
100,6,1938,21067,1,,Colombia,Puerto Rico
100,6,1939,40425,1,,Colombia,Puerto Rico
100,6,1940,73597,1,,Colombia,Puerto Rico
100,6,1941,18253,1,,Colombia,Puerto Rico
100,6,1942,10833,1,,Colombia,Puerto Rico
100,6,1943,93,1,,Colombia,Puerto Rico
100,6,1944,42676,1,,Colombia,Puerto Rico
100,6,1945,8787,1,,Colombia,Puerto Rico
100,6,1946,41344,1,,Colombia,Puerto Rico
100,6,1947,20405,1,,Colombia,Puerto Rico
