ccode1,ccode2,year,imp,places,currency,country1,country2
94,2,1907,7123776,,,Costa Rica,United States
94,2,1908,5407853.98,,,Costa Rica,United States
94,2,1909,6755535.64,,,Costa Rica,United States
94,2,1911,8836495.699999999,,,Costa Rica,United States
94,2,1912,9363349.85,,,Costa Rica,United States
94,2,1915,6520423.67,1,,Costa Rica,United States
94,2,1916,10058939.55,1,Colones,Costa Rica,United States
94,2,1917,8360436.25,1,Colones,Costa Rica,United States
94,2,1919,12669594,1,Colones,Costa Rica,United States
94,2,1920,25070446,1,Colones,Costa Rica,United States
94,2,1921,11037507,1,Colones At 215%,Costa Rica,United States
94,2,1922,10968934,1,Colones At 215%,Costa Rica,United States
94,2,1923,12411576,1,Colones At 215%,Costa Rica,United States
94,2,1924,27226832,1,Colones At 400%,Costa Rica,United States
94,2,1925,29934056,1,Colones At 400%,Costa Rica,United States
94,2,1926,30822560,1,Colones At 400%,Costa Rica,United States
94,2,1927,32797676,1,Colones At 400%,Costa Rica,United States
94,2,1928,35915696,1,Colones At 400%,Costa Rica,United States
94,2,1929,38727084,1,Colones At 400%,Costa Rica,United States
94,2,1930,21601940,1,Colones At 400%,Costa Rica,United States
94,2,1931,18005054,1,Colones At 400%,Costa Rica,United States
94,2,1932,12644257,1,Colones At 440%,Costa Rica,United States
94,2,1933,13773560,1,Colones At 455%,Costa Rica,United States
94,2,1934,17190373,1,Colones At 425%,Costa Rica,United States
94,2,1935,16272412,1,Colones At 594%,Costa Rica,United States
94,2,1936,3662998,1,Dolares,Costa Rica,United States
94,2,1937,5048075,1,Dolares,Costa Rica,United States
94,2,1938,6194856,1,Dolares,Costa Rica,United States
94,2,1939,9925240,1,Dolares,Costa Rica,United States
94,2,1940,12634553,1,Dolares,Costa Rica,United States
94,2,1941,14414624,1,Dolares,Costa Rica,United States
94,2,1942,8971342,1,Dolares,Costa Rica,United States
94,2,1943,12405333,1,Dolares,Costa Rica,United States
94,2,1944,14437056,1,Dolares,Costa Rica,United States
94,2,1945,18739929,1,Dolares,Costa Rica,United States
94,2,1946,25312606,1,Dolares,Costa Rica,United States
94,2,1947,38692133,1,Dolares,Costa Rica,United States
94,2,1948,32908736,1,Dolares,Costa Rica,United States
94,2,1949,31668247,1,Dolares,Costa Rica,United States
94,4,1915,0,1,,Costa Rica,Hawaii
94,4,1916,0,1,Colones,Costa Rica,Hawaii
94,4,1917,0,1,Colones,Costa Rica,Hawaii
94,4,1919,0,1,Colones,Costa Rica,Hawaii
94,4,1920,0,1,Colones,Costa Rica,Hawaii
94,4,1921,0,1,Colones At 215%,Costa Rica,Hawaii
94,4,1922,0,1,Colones At 215%,Costa Rica,Hawaii
94,4,1923,0,1,Colones At 215%,Costa Rica,Hawaii
94,4,1924,0,1,Colones At 400%,Costa Rica,Hawaii
94,4,1925,0,1,Colones At 400%,Costa Rica,Hawaii
94,4,1926,0,1,Colones At 400%,Costa Rica,Hawaii
94,4,1927,0,1,Colones At 400%,Costa Rica,Hawaii
94,4,1928,0,1,Colones At 400%,Costa Rica,Hawaii
94,4,1929,0,1,Colones At 400%,Costa Rica,Hawaii
94,4,1930,0,1,Colones At 400%,Costa Rica,Hawaii
94,4,1931,0,1,Colones At 400%,Costa Rica,Hawaii
94,4,1932,0,1,Colones At 440%,Costa Rica,Hawaii
94,4,1933,0,1,Colones At 455%,Costa Rica,Hawaii
94,4,1934,0,1,Colones At 425%,Costa Rica,Hawaii
94,4,1935,0,1,Colones At 594%,Costa Rica,Hawaii
94,4,1936,0,1,Dolares,Costa Rica,Hawaii
94,4,1937,0,1,Dolares,Costa Rica,Hawaii
94,4,1938,0,1,Dolares,Costa Rica,Hawaii
94,4,1939,0,1,Dolares,Costa Rica,Hawaii
94,4,1940,0,1,Dolares,Costa Rica,Hawaii
94,4,1941,161,1,Dolares,Costa Rica,Hawaii
94,4,1942,0,1,Dolares,Costa Rica,Hawaii
94,4,1943,0,1,Dolares,Costa Rica,Hawaii
94,4,1944,0,1,Dolares,Costa Rica,Hawaii
94,4,1945,0,1,Dolares,Costa Rica,Hawaii
94,4,1946,0,1,Dolares,Costa Rica,Hawaii
94,4,1947,0,1,Dolares,Costa Rica,Hawaii
94,4,1948,0,1,Dolares,Costa Rica,Hawaii
94,4,1949,0,1,Dolares,Costa Rica,Hawaii
94,6,1915,423.55,1,,Costa Rica,Puerto Rico
94,6,1916,0,1,Colones,Costa Rica,Puerto Rico
94,6,1917,0,1,Colones,Costa Rica,Puerto Rico
94,6,1919,0,1,Colones,Costa Rica,Puerto Rico
94,6,1920,0,1,Colones,Costa Rica,Puerto Rico
94,6,1921,0,1,Colones At 215%,Costa Rica,Puerto Rico
