ccode1,ccode2,year,imp,places,currency,country1,country2
40,2,1912,65416475,,,Cuba,United States
40,2,1914,69304589,,,Cuba,United States
40,2,1915,104723108,,,Cuba,United States
40,2,1916,185337194,,,Cuba,United States
40,2,1919,273202065,1,,Cuba,United States
40,2,1920,405724040,1,,Cuba,United States
40,2,1921,266136523,1,,Cuba,United States
40,2,1922,120713766,1,,Cuba,United States
40,2,1923,181717272,1,,Cuba,United States
40,2,1924,192113060,1,,Cuba,United States
40,2,1925,187223844,1,Pesos Moneda Eua,Cuba,United States
40,2,1926,160051621,1,Pesos Moneda Eua,Cuba,United States
40,2,1927,149597681,1,Pesos Moneda Nacional,Cuba,United States
40,2,1928,122482278,1,Pesos Moneda Nacional,Cuba,United States
40,2,1929,121144815,1,Pesos Moneda Nacional,Cuba,United States
40,2,1930,91872214,1,$,Cuba,United States
40,2,1931,45939647,1,,Cuba,United States
40,2,1932,27653060,1,,Cuba,United States
40,2,1933,22674245,1,,Cuba,United States
40,2,1934,41225012,1,,Cuba,United States
40,2,1935,55686078,1,,Cuba,United States
40,2,1936,66494245,1,,Cuba,United States
40,2,1937,86946267,1,Pesos $,Cuba,United States
40,2,1938,74082921,1,Pesos $,Cuba,United States
40,2,1939,77601267,1,Pesos $,Cuba,United States
40,2,1940,79617444,1,Pesos $,Cuba,United States
40,2,1941,114896782,1,Pesos $,Cuba,United States
40,2,1942,119684238,1,Pesos $,Cuba,United States
40,2,1943,134874974,1,Pesos $,Cuba,United States
40,2,1944,160904016,1,Pesos $,Cuba,United States
40,2,1945,177797106,1,Pesos $,Cuba,United States
40,2,1946,229093749,1,Pesos $,Cuba,United States
40,2,1947,436448370,1,Pesos $,Cuba,United States
40,2,1948,420259968,1,Pesos $,Cuba,United States
40,2,1949,375676478,1,Pesos $,Cuba,United States
40,3,1919,0,1,,Cuba,Alaska
40,3,1920,0,1,,Cuba,Alaska
40,3,1921,0,1,,Cuba,Alaska
40,3,1922,0,1,,Cuba,Alaska
40,3,1923,0,1,,Cuba,Alaska
40,3,1924,0,1,,Cuba,Alaska
40,3,1925,0,1,Pesos Moneda Eua,Cuba,Alaska
40,3,1926,0,1,Pesos Moneda Eua,Cuba,Alaska
40,3,1927,0,1,Pesos Moneda Nacional,Cuba,Alaska
40,3,1928,0,1,Pesos Moneda Nacional,Cuba,Alaska
40,3,1929,0,1,Pesos Moneda Nacional,Cuba,Alaska
40,3,1930,0,1,$,Cuba,Alaska
40,3,1931,0,1,,Cuba,Alaska
40,3,1932,0,1,,Cuba,Alaska
40,3,1933,0,1,,Cuba,Alaska
40,3,1934,0,1,,Cuba,Alaska
40,3,1935,0,1,,Cuba,Alaska
40,3,1936,0,1,,Cuba,Alaska
40,3,1937,0,1,Pesos $,Cuba,Alaska
40,3,1938,0,1,Pesos $,Cuba,Alaska
40,3,1939,0,1,Pesos $,Cuba,Alaska
40,3,1940,0,1,Pesos $,Cuba,Alaska
40,3,1941,0,1,Pesos $,Cuba,Alaska
40,3,1942,0,1,Pesos $,Cuba,Alaska
40,3,1943,0,1,Pesos $,Cuba,Alaska
40,3,1944,0,1,Pesos $,Cuba,Alaska
40,3,1945,0,1,Pesos $,Cuba,Alaska
40,3,1946,0,1,Pesos $,Cuba,Alaska
40,3,1947,0,1,Pesos $,Cuba,Alaska
40,3,1948,610,1,Pesos $,Cuba,Alaska
40,3,1949,0,1,Pesos $,Cuba,Alaska
40,4,1919,0,1,,Cuba,Hawaii
40,4,1920,0,1,,Cuba,Hawaii
40,4,1921,0,1,,Cuba,Hawaii
40,4,1922,0,1,,Cuba,Hawaii
40,4,1923,0,1,,Cuba,Hawaii
40,4,1924,0,1,,Cuba,Hawaii
40,4,1925,0,1,Pesos Moneda Eua,Cuba,Hawaii
40,4,1926,0,1,Pesos Moneda Eua,Cuba,Hawaii
40,4,1927,7116,1,Pesos Moneda Nacional,Cuba,Hawaii
40,4,1928,0,1,Pesos Moneda Nacional,Cuba,Hawaii
40,4,1929,3175,1,Pesos Moneda Nacional,Cuba,Hawaii
40,4,1930,0,1,$,Cuba,Hawaii
40,4,1931,34,1,,Cuba,Hawaii
40,4,1932,0,1,,Cuba,Hawaii
40,4,1933,0,1,,Cuba,Hawaii
40,4,1934,0,1,,Cuba,Hawaii
40,4,1935,350,1,,Cuba,Hawaii
40,4,1936,0,1,,Cuba,Hawaii
40,4,1937,0,1,Pesos $,Cuba,Hawaii
40,4,1938,0,1,Pesos $,Cuba,Hawaii
40,4,1939,0,1,Pesos $,Cuba,Hawaii
40,4,1940,0,1,Pesos $,Cuba,Hawaii
40,4,1941,0,1,Pesos $,Cuba,Hawaii
40,4,1942,0,1,Pesos $,Cuba,Hawaii
40,4,1943,0,1,Pesos $,Cuba,Hawaii
40,4,1944,0,1,Pesos $,Cuba,Hawaii
40,4,1945,0,1,Pesos $,Cuba,Hawaii
40,4,1946,0,1,Pesos $,Cuba,Hawaii
40,4,1947,1687,1,Pesos $,Cuba,Hawaii
40,4,1948,1801,1,Pesos $,Cuba,Hawaii
40,4,1949,3096,1,Pesos $,Cuba,Hawaii
40,6,1912,3305480,,,Cuba,Puerto Rico
40,6,1914,2308842,,,Cuba,Puerto Rico
40,6,1915,2422481,,,Cuba,Puerto Rico
40,6,1916,2508522,,,Cuba,Puerto Rico
40,6,1919,4062036,1,,Cuba,Puerto Rico
40,6,1920,6323273,1,,Cuba,Puerto Rico
40,6,1921,3767438,1,,Cuba,Puerto Rico
40,6,1922,2010254,1,,Cuba,Puerto Rico
40,6,1923,2451334,1,,Cuba,Puerto Rico
40,6,1924,2626151,1,,Cuba,Puerto Rico
40,6,1925,2155740,1,Pesos Moneda Eua,Cuba,Puerto Rico
40,6,1926,2417452,1,Pesos Moneda Eua,Cuba,Puerto Rico
40,6,1927,765056,1,Pesos Moneda Nacional,Cuba,Puerto Rico
40,6,1928,90095,1,Pesos Moneda Nacional,Cuba,Puerto Rico
40,6,1929,34854,1,Pesos Moneda Nacional,Cuba,Puerto Rico
40,6,1930,6937,1,$,Cuba,Puerto Rico
40,6,1931,8974,1,,Cuba,Puerto Rico
40,6,1932,5570,1,,Cuba,Puerto Rico
40,6,1933,1359,1,,Cuba,Puerto Rico
40,6,1934,2132,1,,Cuba,Puerto Rico
40,6,1935,2289,1,,Cuba,Puerto Rico
40,6,1936,16831,1,,Cuba,Puerto Rico
40,6,1937,9566,1,Pesos $,Cuba,Puerto Rico
40,6,1938,5488,1,Pesos $,Cuba,Puerto Rico
40,6,1939,64566,1,Pesos $,Cuba,Puerto Rico
40,6,1940,163653,1,Pesos $,Cuba,Puerto Rico
40,6,1941,29281,1,Pesos $,Cuba,Puerto Rico
40,6,1942,23615,1,Pesos $,Cuba,Puerto Rico
40,6,1943,26530,1,Pesos $,Cuba,Puerto Rico
40,6,1944,64341,1,Pesos $,Cuba,Puerto Rico
40,6,1945,25415,1,Pesos $,Cuba,Puerto Rico
40,6,1946,96483,1,Pesos $,Cuba,Puerto Rico
40,6,1947,258942,1,Pesos $,Cuba,Puerto Rico
40,6,1948,381767,1,Pesos $,Cuba,Puerto Rico
40,6,1949,220696,1,Pesos $,Cuba,Puerto Rico
40,10,1919,0,1,,Cuba,Greenland
40,10,1920,0,1,,Cuba,Greenland
40,10,1921,0,1,,Cuba,Greenland
40,10,1922,0,1,,Cuba,Greenland
40,10,1923,0,1,,Cuba,Greenland
40,10,1924,0,1,,Cuba,Greenland
40,10,1925,0,1,Pesos Moneda Eua,Cuba,Greenland
