ccode1,ccode2,year,imp,places,currency,country1,country2
352,2,1919,12051,1,Pounds,Cyprus,United States
352,2,1920,110029,1,,Cyprus,United States
352,2,1921,53680,1,,Cyprus,United States
352,2,1922,60070,1,,Cyprus,United States
352,2,1923,36434,1,,Cyprus,United States
352,2,1924,84863,1,,Cyprus,United States
352,2,1925,119265,1,,Cyprus,United States
352,2,1926,106750,1,Pounds,Cyprus,United States
352,2,1927,77343,1,Pounds,Cyprus,United States
352,2,1928,66155,1,Pounds,Cyprus,United States
352,2,1929,72114,1,Pounds,Cyprus,United States
352,2,1930,65124,1,Pounds,Cyprus,United States
352,2,1931,28660,1,Pounds,Cyprus,United States
352,2,1932,15554,1,Pounds,Cyprus,United States
352,2,1933,11607,1,,Cyprus,United States
352,2,1934,24641,1,,Cyprus,United States
352,2,1935,33692,1,,Cyprus,United States
352,2,1936,43140,1,,Cyprus,United States
352,2,1937,70102,1,Pounds,Cyprus,United States
352,2,1938,89986,1,Pounds,Cyprus,United States
352,2,1939,71632,1,Pounds,Cyprus,United States
352,2,1940,80369,1,Pounds,Cyprus,United States
352,2,1941,54083,1,Pounds,Cyprus,United States
352,2,1942,56069,1,Pounds,Cyprus,United States
352,2,1943,194731,1,Pounds,Cyprus,United States
352,2,1944,190616,1,Pounds,Cyprus,United States
352,2,1945,383676,1,Pounds,Cyprus,United States
352,2,1946,734946,1,Pounds,Cyprus,United States
352,2,1947,719087,1,Pounds,Cyprus,United States
352,2,1948,674385,1,Pounds,Cyprus,United States
352,2,1949,671115,1,Pounds,Cyprus,United States
352,20,1919,1863,1,Pounds,Cyprus,Canada
352,20,1920,1690,1,,Cyprus,Canada
352,20,1921,14,1,,Cyprus,Canada
352,20,1922,566,1,,Cyprus,Canada
352,20,1923,8951,1,,Cyprus,Canada
352,20,1924,3037,1,,Cyprus,Canada
352,20,1925,10325,1,,Cyprus,Canada
352,20,1926,17608,1,Pounds,Cyprus,Canada
352,20,1927,25801,1,Pounds,Cyprus,Canada
352,20,1928,60989,1,Pounds,Cyprus,Canada
352,20,1929,56197,1,Pounds,Cyprus,Canada
352,20,1930,23486,1,Pounds,Cyprus,Canada
352,20,1931,20375,1,Pounds,Cyprus,Canada
