ccode1,ccode2,year,imp,places,currency,country1,country2
315,2,1920,4111314678,1,Kc,Czechoslovakia,United States
315,2,1921,4547247763,1,Kc,Czechoslovakia,United States
315,2,1922,2286335600,1,Kc,Czechoslovakia,United States
315,2,1923,714637,1000,Tisicich Kc,Czechoslovakia,United States
315,2,1924,889432,1000,Tisicich Kc,Czechoslovakia,United States
315,2,1925,3124290384,1,Tisicich Kc,Czechoslovakia,United States
315,2,1926,2079154,1000,1000 Kc,Czechoslovakia,United States
315,2,1927,2551385,1000,1000 Kc,Czechoslovakia,United States
315,2,1928,2378187,1000,1000 Kc,Czechoslovakia,United States
315,2,1929,2318670,1000,1000 Kc,Czechoslovakia,United States
315,2,1930,1750507,1000,1000 Kc,Czechoslovakia,United States
315,2,1931,1077321,1000,1000 Kc,Czechoslovakia,United States
315,2,1932,923896,1000,1000 Kc,Czechoslovakia,United States
315,2,1933,504101,1000,1000 Kc,Czechoslovakia,United States
315,2,1937,1118746,1000,1000 Kc,Czechoslovakia,United States
315,2,1945,26,1000,Kc,Czechoslovakia,United States
315,2,1946,852782,1000,Kc,Czechoslovakia,United States
315,2,1947,2955310,1000,Kc,Czechoslovakia,United States
315,2,1948,1819738,1000,Kc,Czechoslovakia,United States
315,20,1920,0,1,Kc,Czechoslovakia,Canada
315,20,1921,0,1,Kc,Czechoslovakia,Canada
315,20,1922,0,1,Kc,Czechoslovakia,Canada
315,20,1923,2231,1000,Tisicich Kc,Czechoslovakia,Canada
315,20,1924,0,1000,Tisicich Kc,Czechoslovakia,Canada
315,20,1925,0,1,Tisicich Kc,Czechoslovakia,Canada
315,20,1926,0,1000,1000 Kc,Czechoslovakia,Canada
315,20,1927,326917,1000,1000 Kc,Czechoslovakia,Canada
315,20,1928,326963,1000,1000 Kc,Czechoslovakia,Canada
315,20,1929,195926,1000,1000 Kc,Czechoslovakia,Canada
315,20,1930,0,1000,1000 Kc,Czechoslovakia,Canada
315,20,1931,0,1000,1000 Kc,Czechoslovakia,Canada
315,20,1932,0,1000,1000 Kc,Czechoslovakia,Canada
315,20,1933,0,1000,1000 Kc,Czechoslovakia,Canada
315,20,1937,42390,1000,1000 Kc,Czechoslovakia,Canada
315,20,1945,0,1000,Kc,Czechoslovakia,Canada
315,20,1946,120505,1000,Kc,Czechoslovakia,Canada
315,20,1947,365374,1000,Kc,Czechoslovakia,Canada
315,20,1948,664171,1000,Kc,Czechoslovakia,Canada
315,40,1920,0,1,Kc,Czechoslovakia,Cuba
315,40,1921,0,1,Kc,Czechoslovakia,Cuba
315,40,1922,0,1,Kc,Czechoslovakia,Cuba
315,40,1923,0,1000,Tisicich Kc,Czechoslovakia,Cuba
315,40,1924,0,1000,Tisicich Kc,Czechoslovakia,Cuba
315,40,1925,0,1,Tisicich Kc,Czechoslovakia,Cuba
315,40,1926,0,1000,1000 Kc,Czechoslovakia,Cuba
315,40,1927,0,1000,1000 Kc,Czechoslovakia,Cuba
315,40,1928,0,1000,1000 Kc,Czechoslovakia,Cuba
315,40,1929,0,1000,1000 Kc,Czechoslovakia,Cuba
315,40,1930,0,1000,1000 Kc,Czechoslovakia,Cuba
315,40,1931,0,1000,1000 Kc,Czechoslovakia,Cuba
315,40,1932,0,1000,1000 Kc,Czechoslovakia,Cuba
315,40,1933,0,1000,1000 Kc,Czechoslovakia,Cuba
315,40,1937,4890,1000,1000 Kc,Czechoslovakia,Cuba
315,40,1945,0,1000,Kc,Czechoslovakia,Cuba
315,40,1946,0,1000,Kc,Czechoslovakia,Cuba
315,40,1947,11256,1000,Kc,Czechoslovakia,Cuba
315,40,1948,0,1000,Kc,Czechoslovakia,Cuba
315,70,1920,0,1,Kc,Czechoslovakia,Mexico
315,70,1921,0,1,Kc,Czechoslovakia,Mexico
315,70,1922,0,1,Kc,Czechoslovakia,Mexico
315,70,1923,0,1000,Tisicich Kc,Czechoslovakia,Mexico
315,70,1924,0,1000,Tisicich Kc,Czechoslovakia,Mexico
315,70,1925,15481830,1,Tisicich Kc,Czechoslovakia,Mexico
315,70,1926,14517,1000,1000 Kc,Czechoslovakia,Mexico
315,70,1927,19458,1000,1000 Kc,Czechoslovakia,Mexico
315,70,1928,24993,1000,1000 Kc,Czechoslovakia,Mexico
315,70,1929,34434,1000,1000 Kc,Czechoslovakia,Mexico
315,70,1930,0,1000,1000 Kc,Czechoslovakia,Mexico
315,70,1931,0,1000,1000 Kc,Czechoslovakia,Mexico
315,70,1932,0,1000,1000 Kc,Czechoslovakia,Mexico
315,70,1933,0,1000,1000 Kc,Czechoslovakia,Mexico
315,70,1937,62294,1000,1000 Kc,Czechoslovakia,Mexico
315,70,1945,0,1000,Kc,Czechoslovakia,Mexico
315,70,1946,1270,1000,Kc,Czechoslovakia,Mexico
315,70,1947,18397,1000,Kc,Czechoslovakia,Mexico
315,70,1948,0,1000,Kc,Czechoslovakia,Mexico
315,90,1920,0,1,Kc,Czechoslovakia,Guatemala
315,90,1921,0,1,Kc,Czechoslovakia,Guatemala
315,90,1922,0,1,Kc,Czechoslovakia,Guatemala
315,90,1923,0,1000,Tisicich Kc,Czechoslovakia,Guatemala
315,90,1924,0,1000,Tisicich Kc,Czechoslovakia,Guatemala
315,90,1925,0,1,Tisicich Kc,Czechoslovakia,Guatemala
315,90,1926,0,1000,1000 Kc,Czechoslovakia,Guatemala
315,90,1927,0,1000,1000 Kc,Czechoslovakia,Guatemala
315,90,1928,0,1000,1000 Kc,Czechoslovakia,Guatemala
315,90,1929,0,1000,1000 Kc,Czechoslovakia,Guatemala
315,90,1930,0,1000,1000 Kc,Czechoslovakia,Guatemala
315,90,1931,0,1000,1000 Kc,Czechoslovakia,Guatemala
315,90,1932,0,1000,1000 Kc,Czechoslovakia,Guatemala
315,90,1933,0,1000,1000 Kc,Czechoslovakia,Guatemala
315,90,1937,5472,1000,1000 Kc,Czechoslovakia,Guatemala
315,90,1945,0,1000,Kc,Czechoslovakia,Guatemala
315,90,1946,0,1000,Kc,Czechoslovakia,Guatemala
315,90,1947,0,1000,Kc,Czechoslovakia,Guatemala
315,90,1948,0,1000,Kc,Czechoslovakia,Guatemala
315,100,1920,0,1,Kc,Czechoslovakia,Colombia
315,100,1921,0,1,Kc,Czechoslovakia,Colombia
315,100,1922,0,1,Kc,Czechoslovakia,Colombia
315,100,1923,204,1000,Tisicich Kc,Czechoslovakia,Colombia
315,100,1924,0,1000,Tisicich Kc,Czechoslovakia,Colombia
315,100,1925,6868665,1,Tisicich Kc,Czechoslovakia,Colombia
315,100,1926,3673,1000,1000 Kc,Czechoslovakia,Colombia
315,100,1927,4272,1000,1000 Kc,Czechoslovakia,Colombia
315,100,1928,5149,1000,1000 Kc,Czechoslovakia,Colombia
315,100,1929,5909,1000,1000 Kc,Czechoslovakia,Colombia
315,100,1930,0,1000,1000 Kc,Czechoslovakia,Colombia
315,100,1931,0,1000,1000 Kc,Czechoslovakia,Colombia
315,100,1932,0,1000,1000 Kc,Czechoslovakia,Colombia
315,100,1933,0,1000,1000 Kc,Czechoslovakia,Colombia
315,100,1937,29265,1000,1000 Kc,Czechoslovakia,Colombia
315,100,1945,0,1000,Kc,Czechoslovakia,Colombia
315,100,1946,0,1000,Kc,Czechoslovakia,Colombia
315,100,1947,0,1000,Kc,Czechoslovakia,Colombia
315,100,1948,0,1000,Kc,Czechoslovakia,Colombia
315,101,1920,0,1,Kc,Czechoslovakia,Venezuela
315,101,1921,0,1,Kc,Czechoslovakia,Venezuela
315,101,1922,0,1,Kc,Czechoslovakia,Venezuela
315,101,1923,0,1000,Tisicich Kc,Czechoslovakia,Venezuela
315,101,1924,0,1000,Tisicich Kc,Czechoslovakia,Venezuela
315,101,1925,3390301,1,Tisicich Kc,Czechoslovakia,Venezuela
315,101,1926,3016,1000,1000 Kc,Czechoslovakia,Venezuela
315,101,1927,4721,1000,1000 Kc,Czechoslovakia,Venezuela
315,101,1928,2878,1000,1000 Kc,Czechoslovakia,Venezuela
315,101,1929,6653,1000,1000 Kc,Czechoslovakia,Venezuela
315,101,1930,0,1000,1000 Kc,Czechoslovakia,Venezuela
315,101,1931,0,1000,1000 Kc,Czechoslovakia,Venezuela
315,101,1932,0,1000,1000 Kc,Czechoslovakia,Venezuela
315,101,1933,0,1000,1000 Kc,Czechoslovakia,Venezuela
315,101,1937,4472,1000,1000 Kc,Czechoslovakia,Venezuela
315,101,1945,0,1000,Kc,Czechoslovakia,Venezuela
315,101,1946,0,1000,Kc,Czechoslovakia,Venezuela
315,101,1947,39160,1000,Kc,Czechoslovakia,Venezuela
315,101,1948,0,1000,Kc,Czechoslovakia,Venezuela
315,130,1920,0,1,Kc,Czechoslovakia,Ecuador
315,130,1921,0,1,Kc,Czechoslovakia,Ecuador
315,130,1922,0,1,Kc,Czechoslovakia,Ecuador
315,130,1923,0,1000,Tisicich Kc,Czechoslovakia,Ecuador
315,130,1924,0,1000,Tisicich Kc,Czechoslovakia,Ecuador
315,130,1925,0,1,Tisicich Kc,Czechoslovakia,Ecuador
315,130,1926,0,1000,1000 Kc,Czechoslovakia,Ecuador
315,130,1927,0,1000,1000 Kc,Czechoslovakia,Ecuador
315,130,1928,0,1000,1000 Kc,Czechoslovakia,Ecuador
315,130,1929,0,1000,1000 Kc,Czechoslovakia,Ecuador
315,130,1930,0,1000,1000 Kc,Czechoslovakia,Ecuador
315,130,1931,0,1000,1000 Kc,Czechoslovakia,Ecuador
315,130,1932,0,1000,1000 Kc,Czechoslovakia,Ecuador
315,130,1933,0,1000,1000 Kc,Czechoslovakia,Ecuador
315,130,1937,11992,1000,1000 Kc,Czechoslovakia,Ecuador
315,130,1945,0,1000,Kc,Czechoslovakia,Ecuador
315,130,1946,0,1000,Kc,Czechoslovakia,Ecuador
315,130,1947,2297,1000,Kc,Czechoslovakia,Ecuador
315,130,1948,0,1000,Kc,Czechoslovakia,Ecuador
315,135,1920,0,1,Kc,Czechoslovakia,Peru
315,135,1921,0,1,Kc,Czechoslovakia,Peru
315,135,1922,0,1,Kc,Czechoslovakia,Peru
315,135,1923,0,1000,Tisicich Kc,Czechoslovakia,Peru
315,135,1924,0,1000,Tisicich Kc,Czechoslovakia,Peru
315,135,1925,4494370,1,Tisicich Kc,Czechoslovakia,Peru
315,135,1926,8559,1000,1000 Kc,Czechoslovakia,Peru
315,135,1927,5500,1000,1000 Kc,Czechoslovakia,Peru
315,135,1928,13480,1000,1000 Kc,Czechoslovakia,Peru
315,135,1929,8917,1000,1000 Kc,Czechoslovakia,Peru
315,135,1930,0,1000,1000 Kc,Czechoslovakia,Peru
315,135,1931,0,1000,1000 Kc,Czechoslovakia,Peru
315,135,1932,0,1000,1000 Kc,Czechoslovakia,Peru
315,135,1933,0,1000,1000 Kc,Czechoslovakia,Peru
315,135,1937,24431,1000,1000 Kc,Czechoslovakia,Peru
315,135,1945,0,1000,Kc,Czechoslovakia,Peru
315,135,1946,14227,1000,Kc,Czechoslovakia,Peru
315,135,1947,17195,1000,Kc,Czechoslovakia,Peru
315,135,1948,0,1000,Kc,Czechoslovakia,Peru
315,140,1920,198784959,1,Kc,Czechoslovakia,Brazil
315,140,1921,246024487,1,Kc,Czechoslovakia,Brazil
315,140,1922,138745289,1,Kc,Czechoslovakia,Brazil
315,140,1923,16903,1000,Tisicich Kc,Czechoslovakia,Brazil
315,140,1924,16711,1000,Tisicich Kc,Czechoslovakia,Brazil
315,140,1925,266102992,1,Tisicich Kc,Czechoslovakia,Brazil
315,140,1926,206256,1000,1000 Kc,Czechoslovakia,Brazil
315,140,1927,233144,1000,1000 Kc,Czechoslovakia,Brazil
315,140,1928,244021,1000,1000 Kc,Czechoslovakia,Brazil
315,140,1929,265819,1000,1000 Kc,Czechoslovakia,Brazil
315,140,1930,166625,1000,1000 Kc,Czechoslovakia,Brazil
315,140,1931,129035,1000,1000 Kc,Czechoslovakia,Brazil
315,140,1932,103396,1000,1000 Kc,Czechoslovakia,Brazil
315,140,1933,67187,1000,1000 Kc,Czechoslovakia,Brazil
315,140,1937,179410,1000,1000 Kc,Czechoslovakia,Brazil
315,140,1945,0,1000,Kc,Czechoslovakia,Brazil
315,140,1946,15521,1000,Kc,Czechoslovakia,Brazil
315,140,1947,814353,1000,Kc,Czechoslovakia,Brazil
315,140,1948,558815,1000,Kc,Czechoslovakia,Brazil
315,145,1920,0,1,Kc,Czechoslovakia,Bolivia
315,145,1921,0,1,Kc,Czechoslovakia,Bolivia
315,145,1922,0,1,Kc,Czechoslovakia,Bolivia
315,145,1923,0,1000,Tisicich Kc,Czechoslovakia,Bolivia
315,145,1924,0,1000,Tisicich Kc,Czechoslovakia,Bolivia
315,145,1925,0,1,Tisicich Kc,Czechoslovakia,Bolivia
315,145,1926,0,1000,1000 Kc,Czechoslovakia,Bolivia
315,145,1927,0,1000,1000 Kc,Czechoslovakia,Bolivia
315,145,1928,0,1000,1000 Kc,Czechoslovakia,Bolivia
315,145,1929,0,1000,1000 Kc,Czechoslovakia,Bolivia
315,145,1930,0,1000,1000 Kc,Czechoslovakia,Bolivia
315,145,1931,0,1000,1000 Kc,Czechoslovakia,Bolivia
315,145,1932,0,1000,1000 Kc,Czechoslovakia,Bolivia
315,145,1933,0,1000,1000 Kc,Czechoslovakia,Bolivia
315,145,1937,281,1000,1000 Kc,Czechoslovakia,Bolivia
315,145,1945,0,1000,Kc,Czechoslovakia,Bolivia
315,145,1946,0,1000,Kc,Czechoslovakia,Bolivia
315,145,1947,0,1000,Kc,Czechoslovakia,Bolivia
315,145,1948,0,1000,Kc,Czechoslovakia,Bolivia
315,150,1920,0,1,Kc,Czechoslovakia,Paraguay
315,150,1921,0,1,Kc,Czechoslovakia,Paraguay
315,150,1922,0,1,Kc,Czechoslovakia,Paraguay
315,150,1923,0,1000,Tisicich Kc,Czechoslovakia,Paraguay
315,150,1924,0,1000,Tisicich Kc,Czechoslovakia,Paraguay
315,150,1925,0,1,Tisicich Kc,Czechoslovakia,Paraguay
315,150,1926,0,1000,1000 Kc,Czechoslovakia,Paraguay
315,150,1927,0,1000,1000 Kc,Czechoslovakia,Paraguay
315,150,1928,0,1000,1000 Kc,Czechoslovakia,Paraguay
315,150,1929,0,1000,1000 Kc,Czechoslovakia,Paraguay
315,150,1930,0,1000,1000 Kc,Czechoslovakia,Paraguay
315,150,1931,0,1000,1000 Kc,Czechoslovakia,Paraguay
315,150,1932,0,1000,1000 Kc,Czechoslovakia,Paraguay
315,150,1933,0,1000,1000 Kc,Czechoslovakia,Paraguay
315,150,1937,6783,1000,1000 Kc,Czechoslovakia,Paraguay
315,150,1945,0,1000,Kc,Czechoslovakia,Paraguay
315,150,1946,482,1000,Kc,Czechoslovakia,Paraguay
315,150,1947,6048,1000,Kc,Czechoslovakia,Paraguay
315,150,1948,0,1000,Kc,Czechoslovakia,Paraguay
315,155,1920,33409890,1,Kc,Czechoslovakia,Chile
315,155,1921,151882800,1,Kc,Czechoslovakia,Chile
315,155,1922,41799126,1,Kc,Czechoslovakia,Chile
315,155,1923,41426,1000,Tisicich Kc,Czechoslovakia,Chile
315,155,1924,22850,1000,Tisicich Kc,Czechoslovakia,Chile
315,155,1925,114724257,1,Tisicich Kc,Czechoslovakia,Chile
315,155,1926,98042,1000,1000 Kc,Czechoslovakia,Chile
315,155,1927,113630,1000,1000 Kc,Czechoslovakia,Chile
315,155,1928,116149,1000,1000 Kc,Czechoslovakia,Chile
315,155,1929,186390,1000,1000 Kc,Czechoslovakia,Chile
315,155,1930,59459,1000,1000 Kc,Czechoslovakia,Chile
315,155,1931,14153,1000,1000 Kc,Czechoslovakia,Chile
315,155,1932,13365,1000,1000 Kc,Czechoslovakia,Chile
315,155,1933,30205,1000,1000 Kc,Czechoslovakia,Chile
315,155,1937,75792,1000,1000 Kc,Czechoslovakia,Chile
315,155,1945,0,1000,Kc,Czechoslovakia,Chile
315,155,1946,4620,1000,Kc,Czechoslovakia,Chile
315,155,1947,2,1000,Kc,Czechoslovakia,Chile
315,155,1948,0,1000,Kc,Czechoslovakia,Chile
315,160,1920,197409881,1,Kc,Czechoslovakia,Argentina
315,160,1921,721460066,1,Kc,Czechoslovakia,Argentina
315,160,1922,228308022,1,Kc,Czechoslovakia,Argentina
315,160,1923,33121,1000,Tisicich Kc,Czechoslovakia,Argentina
315,160,1924,76930,1000,Tisicich Kc,Czechoslovakia,Argentina
315,160,1925,397709415,1,Tisicich Kc,Czechoslovakia,Argentina
315,160,1926,245764,1000,1000 Kc,Czechoslovakia,Argentina
315,160,1927,463510,1000,1000 Kc,Czechoslovakia,Argentina
315,160,1928,607099,1000,1000 Kc,Czechoslovakia,Argentina
315,160,1929,433983,1000,1000 Kc,Czechoslovakia,Argentina
315,160,1930,217274,1000,1000 Kc,Czechoslovakia,Argentina
315,160,1931,353665,1000,1000 Kc,Czechoslovakia,Argentina
315,160,1932,208332,1000,1000 Kc,Czechoslovakia,Argentina
315,160,1933,197348,1000,1000 Kc,Czechoslovakia,Argentina
315,160,1937,240603,1000,1000 Kc,Czechoslovakia,Argentina
315,160,1945,0,1000,Kc,Czechoslovakia,Argentina
315,160,1946,140009,1000,Kc,Czechoslovakia,Argentina
315,160,1947,276292,1000,Kc,Czechoslovakia,Argentina
315,160,1948,797049,1000,Kc,Czechoslovakia,Argentina
315,165,1920,0,1,Kc,Czechoslovakia,Uruguay
315,165,1921,0,1,Kc,Czechoslovakia,Uruguay
315,165,1922,0,1,Kc,Czechoslovakia,Uruguay
315,165,1923,0,1000,Tisicich Kc,Czechoslovakia,Uruguay
315,165,1924,0,1000,Tisicich Kc,Czechoslovakia,Uruguay
315,165,1925,32249460,1,Tisicich Kc,Czechoslovakia,Uruguay
315,165,1926,12549,1000,1000 Kc,Czechoslovakia,Uruguay
315,165,1927,42744,1000,1000 Kc,Czechoslovakia,Uruguay
315,165,1928,14876,1000,1000 Kc,Czechoslovakia,Uruguay
315,165,1929,45486,1000,1000 Kc,Czechoslovakia,Uruguay
315,165,1930,0,1000,1000 Kc,Czechoslovakia,Uruguay
315,165,1931,0,1000,1000 Kc,Czechoslovakia,Uruguay
315,165,1932,0,1000,1000 Kc,Czechoslovakia,Uruguay
315,165,1933,0,1000,1000 Kc,Czechoslovakia,Uruguay
315,165,1937,57329,1000,1000 Kc,Czechoslovakia,Uruguay
315,165,1945,0,1000,Kc,Czechoslovakia,Uruguay
315,165,1946,0,1000,Kc,Czechoslovakia,Uruguay
315,165,1947,19615,1000,Kc,Czechoslovakia,Uruguay
315,165,1948,0,1000,Kc,Czechoslovakia,Uruguay
315,200,1920,1009004562,1,Kc,Czechoslovakia,United Kingdom
315,200,1921,1341597601,1,Kc,Czechoslovakia,United Kingdom
315,200,1922,651980681,1,Kc,Czechoslovakia,United Kingdom
315,200,1923,0,1000,Tisicich Kc,Czechoslovakia,United Kingdom
315,200,1924,448043,1000,Tisicich Kc,Czechoslovakia,United Kingdom
315,200,1925,951449847,1,Tisicich Kc,Czechoslovakia,United Kingdom
315,200,1926,679183,1000,1000 Kc,Czechoslovakia,United Kingdom
315,200,1927,847476,1000,1000 Kc,Czechoslovakia,United Kingdom
315,200,1928,888212,1000,1000 Kc,Czechoslovakia,United Kingdom
315,200,1929,916542,1000,1000 Kc,Czechoslovakia,United Kingdom
315,200,1930,619196,1000,1000 Kc,Czechoslovakia,United Kingdom
315,200,1931,445324,1000,1000 Kc,Czechoslovakia,United Kingdom
315,200,1932,311691,1000,1000 Kc,Czechoslovakia,United Kingdom
315,200,1933,239670,1000,1000 Kc,Czechoslovakia,United Kingdom
315,200,1937,614218,1000,1000 Kc,Czechoslovakia,United Kingdom
315,200,1945,422,1000,Kc,Czechoslovakia,United Kingdom
315,200,1946,915508,1000,Kc,Czechoslovakia,United Kingdom
315,200,1947,3376260,1000,Kc,Czechoslovakia,United Kingdom
315,200,1948,3816145,1000,Kc,Czechoslovakia,United Kingdom
315,205,1920,0,1,Kc,Czechoslovakia,Ireland
315,205,1921,0,1,Kc,Czechoslovakia,Ireland
315,205,1922,0,1,Kc,Czechoslovakia,Ireland
315,205,1923,0,1000,Tisicich Kc,Czechoslovakia,Ireland
315,205,1924,0,1000,Tisicich Kc,Czechoslovakia,Ireland
315,205,1925,1329817,1,Tisicich Kc,Czechoslovakia,Ireland
315,205,1926,401,1000,1000 Kc,Czechoslovakia,Ireland
315,205,1927,4151,1000,1000 Kc,Czechoslovakia,Ireland
315,205,1928,3700,1000,1000 Kc,Czechoslovakia,Ireland
315,205,1929,1680,1000,1000 Kc,Czechoslovakia,Ireland
315,205,1930,0,1000,1000 Kc,Czechoslovakia,Ireland
315,205,1931,0,1000,1000 Kc,Czechoslovakia,Ireland
315,205,1932,0,1000,1000 Kc,Czechoslovakia,Ireland
315,205,1933,0,1000,1000 Kc,Czechoslovakia,Ireland
315,205,1937,6012,1000,1000 Kc,Czechoslovakia,Ireland
315,205,1945,0,1000,Kc,Czechoslovakia,Ireland
315,205,1946,1709,1000,Kc,Czechoslovakia,Ireland
315,205,1947,2565,1000,Kc,Czechoslovakia,Ireland
315,205,1948,0,1000,Kc,Czechoslovakia,Ireland
315,210,1920,1316133885,1,Kc,Czechoslovakia,Netherlands
315,210,1921,1106110211,1,Kc,Czechoslovakia,Netherlands
315,210,1922,428359745,1,Kc,Czechoslovakia,Netherlands
315,210,1923,0,1000,Tisicich Kc,Czechoslovakia,Netherlands
315,210,1924,478535,1000,Tisicich Kc,Czechoslovakia,Netherlands
315,210,1925,141046263,1,Tisicich Kc,Czechoslovakia,Netherlands
315,210,1926,147608,1000,1000 Kc,Czechoslovakia,Netherlands
315,210,1927,215061,1000,1000 Kc,Czechoslovakia,Netherlands
315,210,1928,223754,1000,1000 Kc,Czechoslovakia,Netherlands
315,210,1929,264310,1000,1000 Kc,Czechoslovakia,Netherlands
315,210,1930,190168,1000,1000 Kc,Czechoslovakia,Netherlands
315,210,1931,206309,1000,1000 Kc,Czechoslovakia,Netherlands
315,210,1932,170244,1000,1000 Kc,Czechoslovakia,Netherlands
315,210,1933,160150,1000,1000 Kc,Czechoslovakia,Netherlands
315,210,1937,342795,1000,1000 Kc,Czechoslovakia,Netherlands
315,210,1945,9519,1000,Kc,Czechoslovakia,Netherlands
315,210,1946,494098,1000,Kc,Czechoslovakia,Netherlands
315,210,1947,1666511,1000,Kc,Czechoslovakia,Netherlands
315,210,1948,2035364,1000,Kc,Czechoslovakia,Netherlands
315,211,1920,1037859905,1,Kc,Czechoslovakia,Belgium
315,211,1921,447357878,1,Kc,Czechoslovakia,Belgium
315,211,1922,227954496,1,Kc,Czechoslovakia,Belgium
315,211,1923,0,1000,Tisicich Kc,Czechoslovakia,Belgium
315,211,1924,113341,1000,Tisicich Kc,Czechoslovakia,Belgium
315,211,1925,214421332,1,Tisicich Kc,Czechoslovakia,Belgium
315,211,1926,200133,1000,1000 Kc,Czechoslovakia,Belgium
315,211,1927,304064,1000,1000 Kc,Czechoslovakia,Belgium
315,211,1928,290615,1000,1000 Kc,Czechoslovakia,Belgium
315,211,1929,292655,1000,1000 Kc,Czechoslovakia,Belgium
315,211,1930,196062,1000,1000 Kc,Czechoslovakia,Belgium
315,211,1931,156569,1000,1000 Kc,Czechoslovakia,Belgium
315,211,1932,107916,1000,1000 Kc,Czechoslovakia,Belgium
315,211,1933,103270,1000,1000 Kc,Czechoslovakia,Belgium
315,211,1937,278403,1000,1000 Kc,Czechoslovakia,Belgium
315,211,1945,135,1000,Kc,Czechoslovakia,Belgium
315,211,1946,352954,1000,Kc,Czechoslovakia,Belgium
315,211,1947,1323128,1000,Kc,Czechoslovakia,Belgium
315,211,1948,1156821,1000,Kc,Czechoslovakia,Belgium
315,220,1920,955251312,1,Kc,Czechoslovakia,France
315,220,1921,638498203,1,Kc,Czechoslovakia,France
315,220,1922,444943592,1,Kc,Czechoslovakia,France
315,220,1923,0,1000,Tisicich Kc,Czechoslovakia,France
315,220,1924,535773,1000,Tisicich Kc,Czechoslovakia,France
315,220,1925,761863375,1,Tisicich Kc,Czechoslovakia,France
315,220,1926,709753,1000,1000 Kc,Czechoslovakia,France
315,220,1927,811567,1000,1000 Kc,Czechoslovakia,France
315,220,1928,836930,1000,1000 Kc,Czechoslovakia,France
315,220,1929,783102,1000,1000 Kc,Czechoslovakia,France
315,220,1930,577138,1000,1000 Kc,Czechoslovakia,France
315,220,1931,461030,1000,1000 Kc,Czechoslovakia,France
315,220,1932,321010,1000,1000 Kc,Czechoslovakia,France
315,220,1933,345480,1000,1000 Kc,Czechoslovakia,France
315,220,1937,570580,1000,1000 Kc,Czechoslovakia,France
315,220,1945,512,1000,Kc,Czechoslovakia,France
315,220,1946,322145,1000,Kc,Czechoslovakia,France
315,220,1947,1001290,1000,Kc,Czechoslovakia,France
315,220,1948,930807,1000,Kc,Czechoslovakia,France
315,225,1920,624660988,1,Kc,Czechoslovakia,Switzerland
315,225,1921,315587936,1,Kc,Czechoslovakia,Switzerland
315,225,1922,169331893,1,Kc,Czechoslovakia,Switzerland
315,225,1923,0,1000,Tisicich Kc,Czechoslovakia,Switzerland
315,225,1924,369272,1000,Tisicich Kc,Czechoslovakia,Switzerland
315,225,1925,396190451,1,Tisicich Kc,Czechoslovakia,Switzerland
315,225,1926,347961,1000,1000 Kc,Czechoslovakia,Switzerland
315,225,1927,437938,1000,1000 Kc,Czechoslovakia,Switzerland
315,225,1928,470168,1000,1000 Kc,Czechoslovakia,Switzerland
315,225,1929,478144,1000,1000 Kc,Czechoslovakia,Switzerland
315,225,1930,413305,1000,1000 Kc,Czechoslovakia,Switzerland
315,225,1931,358086,1000,1000 Kc,Czechoslovakia,Switzerland
315,225,1932,228382,1000,1000 Kc,Czechoslovakia,Switzerland
315,225,1933,173861,1000,1000 Kc,Czechoslovakia,Switzerland
315,225,1937,356902,1000,1000 Kc,Czechoslovakia,Switzerland
315,225,1945,149890,1000,Kc,Czechoslovakia,Switzerland
315,225,1946,1086961,1000,Kc,Czechoslovakia,Switzerland
315,225,1947,2216202,1000,Kc,Czechoslovakia,Switzerland
315,225,1948,1784185,1000,Kc,Czechoslovakia,Switzerland
315,230,1920,37483014,1,Kc,Czechoslovakia,Spain
315,230,1921,50769310,1,Kc,Czechoslovakia,Spain
315,230,1922,37870291,1,Kc,Czechoslovakia,Spain
315,230,1923,0,1000,Tisicich Kc,Czechoslovakia,Spain
