ccode1,ccode2,year,imp,places,currency,country1,country2
390,2,1900,77839,1000,1000 Kr,Denmark,United States
390,2,1901,86911,1000,1000 Kr,Denmark,United States
390,2,1902,71480,1000,1000 Kr,Denmark,United States
390,2,1903,80391,1000,1000 Kr,Denmark,United States
390,2,1904,74464,1000,1000 Kr,Denmark,United States
390,2,1905,100118,1000,1000 Kr,Denmark,United States
390,2,1906,128613,1000,1000 Kr,Denmark,United States
390,2,1907,124128,1000,1000 Kr,Denmark,United States
390,2,1908,112910,1000,1000 Kr,Denmark,United States
390,2,1909,86196,1000,1000 Kr,Denmark,United States
390,2,1912,0,1000,1000 Kr,Denmark,United States
390,2,1913,86979,1000,1000 Kr,Denmark,United States
390,2,1914,84292,1000,1000 Kr,Denmark,United States
390,2,1915,313742,1000,1000 Kr,Denmark,United States
390,2,1916,311061,1000,1000 Kr,Denmark,United States
390,2,1917,214139,1000,1000 Kr,Denmark,United States
390,2,1918,37557,1000,1000 Kr,Denmark,United States
390,2,1919,599206,1000,1000 Kr,Denmark,United States
390,2,1920,753666,1000,1000 Kr,Denmark,United States
390,2,1921,342597,1000,1000 Kr,Denmark,United States
390,2,1922,223877,1000,1000 Kr,Denmark,United States
390,2,1923,253656,1000,1000 Kr,Denmark,United States
390,2,1924,293538,1000,1000 Kr,Denmark,United States
390,2,1925,336774,1000,1000 Kr,Denmark,United States
390,2,1926,262737,1000,1000 Kr,Denmark,United States
390,2,1927,251482,1000,1000 Kr,Denmark,United States
390,2,1928,227061,1000,1000 Kr,Denmark,United States
390,2,1929,239060,1000,1000 Kr,Denmark,United States
390,2,1930,194240,1000,1000 Kr,Denmark,United States
390,2,1931,154067,1000,1000 Kr,Denmark,United States
390,2,1932,87630,1000,1000 Kr,Denmark,United States
390,2,1933,76004,1000,1000 Kr,Denmark,United States
390,2,1934,82259,1000,1000 Kr,Denmark,United States
390,2,1935,69719,1000,1000 Kr,Denmark,United States
390,2,1936,79013,1000,1000 Kr,Denmark,United States
390,2,1937,87214,1000,1000 Kr,Denmark,United States
390,2,1938,127926,1000,1000 Kr,Denmark,United States
390,2,1939,128124,1000,1000 Kr,Denmark,United States
390,2,1940,93127,1000,1000 Kr,Denmark,United States
390,2,1941,686,1000,1000 Kr,Denmark,United States
390,2,1942,443,1000,1000 Kr,Denmark,United States
390,2,1943,396,1000,1000 Kr,Denmark,United States
390,2,1944,276,1000,1000 Kr,Denmark,United States
390,2,1945,23033,1000,1000 Kr,Denmark,United States
390,2,1946,256267,1000,1000 Kr,Denmark,United States
390,2,1947,605042,1000,1000 Kr,Denmark,United States
390,2,1948,493555,1000,1000 Kr,Denmark,United States
390,2,1949,671693,1000,1000 Kr,Denmark,United States
390,6,1900,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1901,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1902,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1903,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1904,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1905,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1906,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1907,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1908,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1909,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1912,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1913,1,1000,1000 Kr,Denmark,Puerto Rico
390,6,1914,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1915,28,1000,1000 Kr,Denmark,Puerto Rico
390,6,1916,3,1000,1000 Kr,Denmark,Puerto Rico
390,6,1917,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1918,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1919,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1920,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1921,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1922,9,1000,1000 Kr,Denmark,Puerto Rico
390,6,1923,6,1000,1000 Kr,Denmark,Puerto Rico
390,6,1924,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1925,11,1000,1000 Kr,Denmark,Puerto Rico
390,6,1926,27,1000,1000 Kr,Denmark,Puerto Rico
390,6,1927,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1928,29,1000,1000 Kr,Denmark,Puerto Rico
390,6,1929,12,1000,1000 Kr,Denmark,Puerto Rico
390,6,1930,9,1000,1000 Kr,Denmark,Puerto Rico
390,6,1931,27,1000,1000 Kr,Denmark,Puerto Rico
390,6,1932,4,1000,1000 Kr,Denmark,Puerto Rico
390,6,1933,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1934,4,1000,1000 Kr,Denmark,Puerto Rico
390,6,1935,5,1000,1000 Kr,Denmark,Puerto Rico
390,6,1936,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1937,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1938,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1939,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1940,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1941,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1942,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1943,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1944,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1945,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1946,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1947,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1948,0,1000,1000 Kr,Denmark,Puerto Rico
390,6,1949,0,1000,1000 Kr,Denmark,Puerto Rico
390,10,1900,831,1000,1000 Kr,Denmark,Greenland
390,10,1901,814,1000,1000 Kr,Denmark,Greenland
390,10,1902,848,1000,1000 Kr,Denmark,Greenland
390,10,1903,843,1000,1000 Kr,Denmark,Greenland
390,10,1904,733,1000,1000 Kr,Denmark,Greenland
390,10,1905,936,1000,1000 Kr,Denmark,Greenland
390,10,1906,1027,1000,1000 Kr,Denmark,Greenland
390,10,1907,1119,1000,1000 Kr,Denmark,Greenland
390,10,1908,1369,1000,1000 Kr,Denmark,Greenland
390,10,1909,1298,1000,1000 Kr,Denmark,Greenland
390,10,1912,0,1000,1000 Kr,Denmark,Greenland
390,10,1913,1819,1000,1000 Kr,Denmark,Greenland
390,10,1914,1576,1000,1000 Kr,Denmark,Greenland
390,10,1915,1398,1000,1000 Kr,Denmark,Greenland
390,10,1916,2031,1000,1000 Kr,Denmark,Greenland
390,10,1917,2100,1000,1000 Kr,Denmark,Greenland
390,10,1918,4188,1000,1000 Kr,Denmark,Greenland
390,10,1919,2359,1000,1000 Kr,Denmark,Greenland
390,10,1920,4141,1000,1000 Kr,Denmark,Greenland
390,10,1921,2517,1000,1000 Kr,Denmark,Greenland
390,10,1922,2283,1000,1000 Kr,Denmark,Greenland
390,10,1923,4410,1000,1000 Kr,Denmark,Greenland
390,10,1924,5510,1000,1000 Kr,Denmark,Greenland
390,10,1925,7192,1000,1000 Kr,Denmark,Greenland
390,10,1926,6388,1000,1000 Kr,Denmark,Greenland
390,10,1927,5730,1000,1000 Kr,Denmark,Greenland
390,10,1928,5966,1000,1000 Kr,Denmark,Greenland
390,10,1929,7024,1000,1000 Kr,Denmark,Greenland
390,10,1930,8847,1000,1000 Kr,Denmark,Greenland
390,10,1931,4085,1000,1000 Kr,Denmark,Greenland
390,10,1932,4564,1000,1000 Kr,Denmark,Greenland
390,10,1933,2882,1000,1000 Kr,Denmark,Greenland
390,10,1934,4150,1000,1000 Kr,Denmark,Greenland
390,10,1935,4271,1000,1000 Kr,Denmark,Greenland
390,10,1936,2845,1000,1000 Kr,Denmark,Greenland
390,10,1937,6790,1000,1000 Kr,Denmark,Greenland
390,10,1938,5942,1000,1000 Kr,Denmark,Greenland
390,10,1939,8461,1000,1000 Kr,Denmark,Greenland
390,10,1940,20,1000,1000 Kr,Denmark,Greenland
390,10,1941,0,1000,1000 Kr,Denmark,Greenland
390,10,1942,11,1000,1000 Kr,Denmark,Greenland
390,10,1943,0,1000,1000 Kr,Denmark,Greenland
390,10,1944,0,1000,1000 Kr,Denmark,Greenland
390,10,1945,1680,1000,1000 Kr,Denmark,Greenland
390,10,1946,11008,1000,1000 Kr,Denmark,Greenland
390,10,1947,10735,1000,1000 Kr,Denmark,Greenland
390,10,1948,12071,1000,1000 Kr,Denmark,Greenland
390,10,1949,13604,1000,1000 Kr,Denmark,Greenland
390,11,1900,457,1000,1000 Kr,Denmark,Faroe Islands
390,11,1901,313,1000,1000 Kr,Denmark,Faroe Islands
390,11,1902,304,1000,1000 Kr,Denmark,Faroe Islands
390,11,1903,369,1000,1000 Kr,Denmark,Faroe Islands
390,11,1904,320,1000,1000 Kr,Denmark,Faroe Islands
390,11,1905,421,1000,1000 Kr,Denmark,Faroe Islands
390,11,1906,595,1000,1000 Kr,Denmark,Faroe Islands
390,11,1907,684,1000,1000 Kr,Denmark,Faroe Islands
390,11,1908,461,1000,1000 Kr,Denmark,Faroe Islands
390,11,1909,918,1000,1000 Kr,Denmark,Faroe Islands
390,11,1912,0,1000,1000 Kr,Denmark,Faroe Islands
390,11,1913,1883,1000,1000 Kr,Denmark,Faroe Islands
390,11,1914,2156,1000,1000 Kr,Denmark,Faroe Islands
390,11,1915,2739,1000,1000 Kr,Denmark,Faroe Islands
390,11,1916,2212,1000,1000 Kr,Denmark,Faroe Islands
390,11,1917,66,1000,1000 Kr,Denmark,Faroe Islands
390,11,1918,10,1000,1000 Kr,Denmark,Faroe Islands
390,11,1919,3631,1000,1000 Kr,Denmark,Faroe Islands
390,11,1920,2854,1000,1000 Kr,Denmark,Faroe Islands
390,11,1921,3304,1000,1000 Kr,Denmark,Faroe Islands
390,11,1922,2483,1000,1000 Kr,Denmark,Faroe Islands
390,11,1923,2373,1000,1000 Kr,Denmark,Faroe Islands
390,11,1924,4080,1000,1000 Kr,Denmark,Faroe Islands
390,11,1925,1842,1000,1000 Kr,Denmark,Faroe Islands
390,11,1926,1410,1000,1000 Kr,Denmark,Faroe Islands
390,11,1927,1117,1000,1000 Kr,Denmark,Faroe Islands
390,11,1928,1090,1000,1000 Kr,Denmark,Faroe Islands
390,11,1929,706,1000,1000 Kr,Denmark,Faroe Islands
390,11,1930,1115,1000,1000 Kr,Denmark,Faroe Islands
390,11,1931,634,1000,1000 Kr,Denmark,Faroe Islands
390,11,1932,552,1000,1000 Kr,Denmark,Faroe Islands
390,11,1933,466,1000,1000 Kr,Denmark,Faroe Islands
390,11,1934,474,1000,1000 Kr,Denmark,Faroe Islands
390,11,1935,574,1000,1000 Kr,Denmark,Faroe Islands
390,11,1936,675,1000,1000 Kr,Denmark,Faroe Islands
390,11,1937,1257,1000,1000 Kr,Denmark,Faroe Islands
390,11,1938,480,1000,1000 Kr,Denmark,Faroe Islands
390,11,1939,1336,1000,1000 Kr,Denmark,Faroe Islands
390,11,1940,793,1000,1000 Kr,Denmark,Faroe Islands
390,11,1941,1,1000,1000 Kr,Denmark,Faroe Islands
390,11,1942,0,1000,1000 Kr,Denmark,Faroe Islands
390,11,1943,0,1000,1000 Kr,Denmark,Faroe Islands
390,11,1944,0,1000,1000 Kr,Denmark,Faroe Islands
390,11,1945,2143,1000,1000 Kr,Denmark,Faroe Islands
390,11,1946,7168,1000,1000 Kr,Denmark,Faroe Islands
390,11,1947,19567,1000,1000 Kr,Denmark,Faroe Islands
390,11,1948,7304,1000,1000 Kr,Denmark,Faroe Islands
390,11,1949,4785,1000,1000 Kr,Denmark,Faroe Islands
390,20,1900,0,1000,1000 Kr,Denmark,Canada
390,20,1901,0,1000,1000 Kr,Denmark,Canada
390,20,1902,0,1000,1000 Kr,Denmark,Canada
390,20,1903,0,1000,1000 Kr,Denmark,Canada
390,20,1904,0,1000,1000 Kr,Denmark,Canada
390,20,1905,0,1000,1000 Kr,Denmark,Canada
390,20,1906,0,1000,1000 Kr,Denmark,Canada
390,20,1907,0,1000,1000 Kr,Denmark,Canada
390,20,1908,0,1000,1000 Kr,Denmark,Canada
390,20,1909,0,1000,1000 Kr,Denmark,Canada
390,20,1912,0,1000,1000 Kr,Denmark,Canada
390,20,1913,0,1000,1000 Kr,Denmark,Canada
390,20,1914,0,1000,1000 Kr,Denmark,Canada
390,20,1915,0,1000,1000 Kr,Denmark,Canada
390,20,1916,0,1000,1000 Kr,Denmark,Canada
390,20,1917,0,1000,1000 Kr,Denmark,Canada
390,20,1918,0,1000,1000 Kr,Denmark,Canada
390,20,1919,0,1000,1000 Kr,Denmark,Canada
390,20,1920,0,1000,1000 Kr,Denmark,Canada
390,20,1921,0,1000,1000 Kr,Denmark,Canada
390,20,1922,0,1000,1000 Kr,Denmark,Canada
390,20,1923,0,1000,1000 Kr,Denmark,Canada
390,20,1924,0,1000,1000 Kr,Denmark,Canada
390,20,1925,0,1000,1000 Kr,Denmark,Canada
390,20,1926,0,1000,1000 Kr,Denmark,Canada
390,20,1927,0,1000,1000 Kr,Denmark,Canada
390,20,1928,0,1000,1000 Kr,Denmark,Canada
390,20,1929,0,1000,1000 Kr,Denmark,Canada
390,20,1930,0,1000,1000 Kr,Denmark,Canada
390,20,1931,9907,1000,1000 Kr,Denmark,Canada
390,20,1932,11574,1000,1000 Kr,Denmark,Canada
390,20,1933,10045,1000,1000 Kr,Denmark,Canada
390,20,1934,6248,1000,1000 Kr,Denmark,Canada
390,20,1935,3762,1000,1000 Kr,Denmark,Canada
390,20,1936,2397,1000,1000 Kr,Denmark,Canada
390,20,1937,1967,1000,1000 Kr,Denmark,Canada
390,20,1938,1834,1000,1000 Kr,Denmark,Canada
390,20,1939,1525,1000,1000 Kr,Denmark,Canada
390,20,1940,1122,1000,1000 Kr,Denmark,Canada
390,20,1941,2,1000,1000 Kr,Denmark,Canada
390,20,1942,4,1000,1000 Kr,Denmark,Canada
390,20,1943,0,1000,1000 Kr,Denmark,Canada
390,20,1944,0,1000,1000 Kr,Denmark,Canada
390,20,1945,0,1000,1000 Kr,Denmark,Canada
390,20,1946,5995,1000,1000 Kr,Denmark,Canada
390,20,1947,20308,1000,1000 Kr,Denmark,Canada
390,20,1948,20159,1000,1000 Kr,Denmark,Canada
390,20,1949,14300,1000,1000 Kr,Denmark,Canada
390,22,1900,0,1000,1000 Kr,Denmark,British North America
390,22,1901,0,1000,1000 Kr,Denmark,British North America
390,22,1902,143,1000,1000 Kr,Denmark,British North America
390,22,1903,67,1000,1000 Kr,Denmark,British North America
390,22,1904,157,1000,1000 Kr,Denmark,British North America
390,22,1905,223,1000,1000 Kr,Denmark,British North America
390,22,1906,0,1000,1000 Kr,Denmark,British North America
390,22,1907,22,1000,1000 Kr,Denmark,British North America
390,22,1908,0,1000,1000 Kr,Denmark,British North America
390,22,1909,0,1000,1000 Kr,Denmark,British North America
390,22,1912,0,1000,1000 Kr,Denmark,British North America
390,22,1913,1005,1000,1000 Kr,Denmark,British North America
390,22,1914,791,1000,1000 Kr,Denmark,British North America
390,22,1915,1041,1000,1000 Kr,Denmark,British North America
390,22,1916,388,1000,1000 Kr,Denmark,British North America
390,22,1917,79,1000,1000 Kr,Denmark,British North America
390,22,1918,2,1000,1000 Kr,Denmark,British North America
390,22,1919,1724,1000,1000 Kr,Denmark,British North America
390,22,1920,1783,1000,1000 Kr,Denmark,British North America
390,22,1921,20246,1000,1000 Kr,Denmark,British North America
390,22,1922,17200,1000,1000 Kr,Denmark,British North America
390,22,1923,11375,1000,1000 Kr,Denmark,British North America
390,22,1924,21927,1000,1000 Kr,Denmark,British North America
390,22,1925,29245,1000,1000 Kr,Denmark,British North America
390,22,1926,12824,1000,1000 Kr,Denmark,British North America
390,22,1927,26580,1000,1000 Kr,Denmark,British North America
390,22,1928,17081,1000,1000 Kr,Denmark,British North America
390,22,1929,15346,1000,1000 Kr,Denmark,British North America
390,22,1930,7634,1000,1000 Kr,Denmark,British North America
390,22,1931,0,1000,1000 Kr,Denmark,British North America
390,22,1932,0,1000,1000 Kr,Denmark,British North America
390,22,1933,0,1000,1000 Kr,Denmark,British North America
390,22,1934,0,1000,1000 Kr,Denmark,British North America
390,22,1935,0,1000,1000 Kr,Denmark,British North America
390,22,1936,0,1000,1000 Kr,Denmark,British North America
390,22,1937,0,1000,1000 Kr,Denmark,British North America
390,22,1938,0,1000,1000 Kr,Denmark,British North America
390,22,1939,0,1000,1000 Kr,Denmark,British North America
390,22,1940,0,1000,1000 Kr,Denmark,British North America
390,22,1941,0,1000,1000 Kr,Denmark,British North America
