ccode1,ccode2,year,imp,places,currency,country1,country2
130,2,1904,4897848,,,Ecuador,United States
130,2,1905,4542242,,,Ecuador,United States
130,2,1916,11017017,1,Sucres,Ecuador,United States
130,2,1917,12205897,1,Sucres,Ecuador,United States
130,2,1918,9532430,1,Sucres,Ecuador,United States
130,2,1919,16812770,1,Sucres,Ecuador,United States
130,2,1920,25424972,1,Sucres,Ecuador,United States
130,2,1921,8945710,1,Sucres,Ecuador,United States
130,2,1922,15523230,1,Sucres,Ecuador,United States
130,2,1923,14615144,1,Sucres,Ecuador,United States
130,2,1924,20956403,1,Sucres,Ecuador,United States
130,2,1925,24774278,1,Sucres,Ecuador,United States
130,2,1926,19956,1000,Sucres,Ecuador,United States
130,2,1929,34645616,1,,Ecuador,United States
130,2,1930,25685527,1,,Ecuador,United States
130,2,1938,51311200,1,Sucres,Ecuador,United States
130,2,1939,71949632,1,Sucres,Ecuador,United States
130,2,1940,103213884,1,Sucres,Ecuador,United States
130,2,1941,110421800,1,Sucres,Ecuador,United States
130,2,1942,138729163,1,Sucres,Ecuador,United States
130,2,1943,7872136,1,$,Ecuador,United States
130,2,1944,12944967,1,$,Ecuador,United States
130,2,1945,14094376,1,$,Ecuador,United States
130,2,1946,240232.5,1000,Sucres,Ecuador,United States
130,2,1947,429905546,1,Sucres,Ecuador,United States
130,2,1948,412802698,1,Sucres,Ecuador,United States
130,2,1949,421580269,1,Sucres,Ecuador,United States
130,6,1916,0,1,Sucres,Ecuador,Puerto Rico
130,6,1917,0,1,Sucres,Ecuador,Puerto Rico
130,6,1918,0,1,Sucres,Ecuador,Puerto Rico
130,6,1919,0,1,Sucres,Ecuador,Puerto Rico
130,6,1920,0,1,Sucres,Ecuador,Puerto Rico
130,6,1921,0,1,Sucres,Ecuador,Puerto Rico
130,6,1922,0,1,Sucres,Ecuador,Puerto Rico
130,6,1923,0,1,Sucres,Ecuador,Puerto Rico
130,6,1924,0,1,Sucres,Ecuador,Puerto Rico
130,6,1925,0,1,Sucres,Ecuador,Puerto Rico
130,6,1926,0,1000,Sucres,Ecuador,Puerto Rico
130,6,1929,0,1,,Ecuador,Puerto Rico
130,6,1930,0,1,,Ecuador,Puerto Rico
130,6,1938,1740,1,Sucres,Ecuador,Puerto Rico
130,6,1939,648,1,Sucres,Ecuador,Puerto Rico
130,6,1940,503,1,Sucres,Ecuador,Puerto Rico
130,6,1941,1076,1,Sucres,Ecuador,Puerto Rico
130,6,1942,0,1,Sucres,Ecuador,Puerto Rico
130,6,1943,0,1,$,Ecuador,Puerto Rico
130,6,1944,0,1,$,Ecuador,Puerto Rico
130,6,1945,0,1,$,Ecuador,Puerto Rico
130,6,1946,105.9,1000,Sucres,Ecuador,Puerto Rico
130,6,1947,8384,1,Sucres,Ecuador,Puerto Rico
130,6,1948,0,1,Sucres,Ecuador,Puerto Rico
130,6,1949,68793,1,Sucres,Ecuador,Puerto Rico
130,20,1916,0,1,Sucres,Ecuador,Canada
130,20,1917,0,1,Sucres,Ecuador,Canada
130,20,1918,0,1,Sucres,Ecuador,Canada
130,20,1919,0,1,Sucres,Ecuador,Canada
130,20,1920,0,1,Sucres,Ecuador,Canada
130,20,1921,0,1,Sucres,Ecuador,Canada
130,20,1922,0,1,Sucres,Ecuador,Canada
130,20,1923,0,1,Sucres,Ecuador,Canada
130,20,1924,0,1,Sucres,Ecuador,Canada
130,20,1925,0,1,Sucres,Ecuador,Canada
130,20,1926,5,1000,Sucres,Ecuador,Canada
130,20,1929,0,1,,Ecuador,Canada
130,20,1930,0,1,,Ecuador,Canada
130,20,1938,673697,1,Sucres,Ecuador,Canada
130,20,1939,550621,1,Sucres,Ecuador,Canada
130,20,1940,2436489,1,Sucres,Ecuador,Canada
130,20,1941,1814984,1,Sucres,Ecuador,Canada
130,20,1942,3257840,1,Sucres,Ecuador,Canada
130,20,1943,0,1,$,Ecuador,Canada
130,20,1944,165257,1,$,Ecuador,Canada
130,20,1945,159748,1,$,Ecuador,Canada
130,20,1946,12177.5,1000,Sucres,Ecuador,Canada
130,20,1947,20912069,1,Sucres,Ecuador,Canada
130,20,1948,1204925,1,Sucres,Ecuador,Canada
130,20,1949,6449841,1,Sucres,Ecuador,Canada
130,21,1916,0,1,Sucres,Ecuador,Newfoundland
130,21,1917,0,1,Sucres,Ecuador,Newfoundland
130,21,1918,0,1,Sucres,Ecuador,Newfoundland
130,21,1919,0,1,Sucres,Ecuador,Newfoundland
130,21,1920,0,1,Sucres,Ecuador,Newfoundland
130,21,1921,0,1,Sucres,Ecuador,Newfoundland
130,21,1922,0,1,Sucres,Ecuador,Newfoundland
130,21,1923,0,1,Sucres,Ecuador,Newfoundland
130,21,1924,0,1,Sucres,Ecuador,Newfoundland
130,21,1925,0,1,Sucres,Ecuador,Newfoundland
130,21,1926,0,1000,Sucres,Ecuador,Newfoundland
130,21,1929,0,1,,Ecuador,Newfoundland
130,21,1930,0,1,,Ecuador,Newfoundland
130,21,1938,0,1,Sucres,Ecuador,Newfoundland
130,21,1939,0,1,Sucres,Ecuador,Newfoundland
130,21,1940,65413,1,Sucres,Ecuador,Newfoundland
130,21,1941,429289,1,Sucres,Ecuador,Newfoundland
130,21,1942,92748,1,Sucres,Ecuador,Newfoundland
130,21,1943,0,1,$,Ecuador,Newfoundland
130,21,1944,0,1,$,Ecuador,Newfoundland
130,21,1945,0,1,$,Ecuador,Newfoundland
130,21,1946,0,1000,Sucres,Ecuador,Newfoundland
130,21,1947,0,1,Sucres,Ecuador,Newfoundland
130,21,1948,0,1,Sucres,Ecuador,Newfoundland
130,21,1949,0,1,Sucres,Ecuador,Newfoundland
130,40,1904,3741,,,Ecuador,Cuba
130,40,1905,2331,,,Ecuador,Cuba
130,40,1916,16151,1,Sucres,Ecuador,Cuba
130,40,1917,23684,1,Sucres,Ecuador,Cuba
130,40,1918,23759,1,Sucres,Ecuador,Cuba
130,40,1919,16725,1,Sucres,Ecuador,Cuba
130,40,1920,13104,1,Sucres,Ecuador,Cuba
130,40,1921,22626,1,Sucres,Ecuador,Cuba
130,40,1922,454,1,Sucres,Ecuador,Cuba
130,40,1923,2156,1,Sucres,Ecuador,Cuba
130,40,1924,388,1,Sucres,Ecuador,Cuba
130,40,1925,97000,1,Sucres,Ecuador,Cuba
130,40,1926,173,1000,Sucres,Ecuador,Cuba
130,40,1929,0,1,,Ecuador,Cuba
130,40,1930,0,1,,Ecuador,Cuba
130,40,1938,4143697,1,Sucres,Ecuador,Cuba
130,40,1939,3041877,1,Sucres,Ecuador,Cuba
130,40,1940,8384,1,Sucres,Ecuador,Cuba
130,40,1941,98901,1,Sucres,Ecuador,Cuba
130,40,1942,13998,1,Sucres,Ecuador,Cuba
130,40,1943,0,1,$,Ecuador,Cuba
130,40,1944,0,1,$,Ecuador,Cuba
130,40,1945,1754582,1,$,Ecuador,Cuba
130,40,1946,8011,1000,Sucres,Ecuador,Cuba
130,40,1947,209920,1,Sucres,Ecuador,Cuba
130,40,1948,54410,1,Sucres,Ecuador,Cuba
130,40,1949,283359,1,Sucres,Ecuador,Cuba
130,41,1916,0,1,Sucres,Ecuador,Haiti
130,41,1917,0,1,Sucres,Ecuador,Haiti
130,41,1918,0,1,Sucres,Ecuador,Haiti
130,41,1919,0,1,Sucres,Ecuador,Haiti
