ccode1,ccode2,year,imp,places,currency,country1,country2
651,2,1919,2889749,1,,Egypt,United States
651,2,1920,10751055,1,,Egypt,United States
651,2,1921,8355500,1,Egyptian Pounds,Egypt,United States
651,2,1922,1590945,1,Egyptian Pounds,Egypt,United States
651,2,1923,1702765,1,Egyptian Pounds,Egypt,United States
651,2,1924,1798542,1,Egyptian Pounds,Egypt,United States
651,2,1925,2116238,1,Egyptian Pounds,Egypt,United States
651,2,1926,2474217,1,Egyptian Pounds,Egypt,United States
651,2,1927,2274503,1,Egyptian Pounds,Egypt,United States
651,2,1928,2687799,1,Egyptian Pounds,Egypt,United States
651,2,1929,2795965,1,Egyptian Pounds,Egypt,United States
651,2,1930,2209923,1,Egyptian Pounds,Egypt,United States
651,2,1931,1366567,1,Egyptian Pounds,Egypt,United States
651,2,1932,871201,1,Egyptian Pounds,Egypt,United States
651,2,1933,857118,1,Egyptian Pounds,Egypt,United States
651,2,1934,1185871,1,Egyptian Pounds,Egypt,United States
651,2,1935,1666372,1,Egyptian Pounds,Egypt,United States
651,2,1936,1810152,1,Egyptian Pounds,Egypt,United States
651,2,1937,2143206,1,Egyptian Pounds,Egypt,United States
651,2,1938,2456083,1,Egyptian Pounds,Egypt,United States
651,2,1939,2681645,1,Egyptian Pounds,Egypt,United States
651,2,1940,3594673,1,Egyptian Pounds,Egypt,United States
651,2,1941,8092517,1,Egyptian Pounds,Egypt,United States
651,2,1942,13238998,1,Egyptian Pounds,Egypt,United States
651,2,1943,4302952,1,Egyptian Pounds,Egypt,United States
651,2,1944,6727155,1,Egyptian Pounds,Egypt,United States
651,2,1945,8428377,1,Egyptian Pounds,Egypt,United States
651,2,1946,9110895,1,Egyptian Pounds,Egypt,United States
651,2,1947,11658961,1,Egyptian Pounds,Egypt,United States
651,2,1948,12352928,1,Egyptian Pounds,Egypt,United States
651,2,1949,14752070,1,Egyptian Pounds,Egypt,United States
651,20,1919,33520,1,,Egypt,Canada
651,20,1920,244952,1,,Egypt,Canada
651,20,1921,108857,1,Egyptian Pounds,Egypt,Canada
651,20,1922,27631,1,Egyptian Pounds,Egypt,Canada
651,20,1923,28250,1,Egyptian Pounds,Egypt,Canada
651,20,1924,29070,1,Egyptian Pounds,Egypt,Canada
651,20,1925,48293,1,Egyptian Pounds,Egypt,Canada
651,20,1926,26508,1,Egyptian Pounds,Egypt,Canada
651,20,1927,27377,1,Egyptian Pounds,Egypt,Canada
651,20,1928,27692,1,Egyptian Pounds,Egypt,Canada
651,20,1929,158882,1,Egyptian Pounds,Egypt,Canada
651,20,1930,70804,1,Egyptian Pounds,Egypt,Canada
651,20,1931,27104,1,Egyptian Pounds,Egypt,Canada
651,20,1932,49110,1,Egyptian Pounds,Egypt,Canada
651,20,1933,59275,1,Egyptian Pounds,Egypt,Canada
651,20,1934,49447,1,Egyptian Pounds,Egypt,Canada
651,20,1935,47315,1,Egyptian Pounds,Egypt,Canada
651,20,1936,37466,1,Egyptian Pounds,Egypt,Canada
651,20,1937,37675,1,Egyptian Pounds,Egypt,Canada
651,20,1938,51182,1,Egyptian Pounds,Egypt,Canada
651,20,1939,46625,1,Egyptian Pounds,Egypt,Canada
651,20,1940,83469,1,Egyptian Pounds,Egypt,Canada
651,20,1941,311408,1,Egyptian Pounds,Egypt,Canada
651,20,1942,1312925,1,Egyptian Pounds,Egypt,Canada
651,20,1943,531066,1,Egyptian Pounds,Egypt,Canada
651,20,1944,2413001,1,Egyptian Pounds,Egypt,Canada
651,20,1945,4613471,1,Egyptian Pounds,Egypt,Canada
651,20,1946,2961072,1,Egyptian Pounds,Egypt,Canada
651,20,1947,927976,1,Egyptian Pounds,Egypt,Canada
651,20,1948,5388895,1,Egyptian Pounds,Egypt,Canada
651,20,1949,5868461,1,Egyptian Pounds,Egypt,Canada
651,30,1919,0,1,,Egypt,Bermuda
651,30,1920,0,1,,Egypt,Bermuda
651,30,1921,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1922,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1923,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1924,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1925,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1926,1,1,Egyptian Pounds,Egypt,Bermuda
651,30,1927,6,1,Egyptian Pounds,Egypt,Bermuda
651,30,1928,3,1,Egyptian Pounds,Egypt,Bermuda
651,30,1929,1,1,Egyptian Pounds,Egypt,Bermuda
651,30,1930,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1931,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1932,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1933,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1934,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1935,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1936,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1937,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1938,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1939,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1940,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1941,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1942,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1943,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1944,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1945,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1946,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1947,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1948,0,1,Egyptian Pounds,Egypt,Bermuda
651,30,1949,0,1,Egyptian Pounds,Egypt,Bermuda
651,40,1919,0,1,,Egypt,Cuba
651,40,1920,0,1,,Egypt,Cuba
651,40,1921,2196,1,Egyptian Pounds,Egypt,Cuba
651,40,1922,3008,1,Egyptian Pounds,Egypt,Cuba
651,40,1923,1942,1,Egyptian Pounds,Egypt,Cuba
651,40,1924,1638,1,Egyptian Pounds,Egypt,Cuba
651,40,1925,4537,1,Egyptian Pounds,Egypt,Cuba
651,40,1926,2445,1,Egyptian Pounds,Egypt,Cuba
651,40,1927,5045,1,Egyptian Pounds,Egypt,Cuba
651,40,1928,3794,1,Egyptian Pounds,Egypt,Cuba
651,40,1929,5822,1,Egyptian Pounds,Egypt,Cuba
651,40,1930,4407,1,Egyptian Pounds,Egypt,Cuba
651,40,1931,3567,1,Egyptian Pounds,Egypt,Cuba
651,40,1932,2844,1,Egyptian Pounds,Egypt,Cuba
651,40,1933,2421,1,Egyptian Pounds,Egypt,Cuba
651,40,1934,672,1,Egyptian Pounds,Egypt,Cuba
651,40,1935,19462,1,Egyptian Pounds,Egypt,Cuba
651,40,1936,28223,1,Egyptian Pounds,Egypt,Cuba
651,40,1937,1456,1,Egyptian Pounds,Egypt,Cuba
651,40,1938,1423,1,Egyptian Pounds,Egypt,Cuba
651,40,1939,1161,1,Egyptian Pounds,Egypt,Cuba
651,40,1940,55015,1,Egyptian Pounds,Egypt,Cuba
651,40,1941,6282,1,Egyptian Pounds,Egypt,Cuba
651,40,1942,7697,1,Egyptian Pounds,Egypt,Cuba
651,40,1943,6484,1,Egyptian Pounds,Egypt,Cuba
651,40,1944,15554,1,Egyptian Pounds,Egypt,Cuba
651,40,1945,31217,1,Egyptian Pounds,Egypt,Cuba
